string2 0,string 1,string 2,string 3
d140_010_010,char_KUREMI,Я же сказал тебе оставаться на месте!,d140_010_010
d140_010_020,char_KUREMIKYOKO,"Ты правда думаешь, что можешь мне приказывать?",d140_010_020
d140_010_030,char_KUREMIKYOKO,"Насколько я помню, ты сам всегда игнорировал
всё, что говорили мы с мамой.",d140_010_030
d140_010_040,char_KUREMIKYOKO,"И чего ты надеешься добиться в одиночку?
Твои атаки почти не действуют.",d140_010_040
d140_010_050,char_INORI,"Возможно, он вообще не хочет им навредить.",d140_010_050
d140_010_060,char_INORI,"Он использует те самые транквилизаторы, о которых они говорили...",d140_010_060
d140_010_070,char_KUREMIKYOKO,...!,d140_010_070
d140_010_080,char_BLITZGREYMON,"Да, похоже, ты права...
Этот человек пытается помочь нашим друзьям.",d140_010_080
d140_010_090,char_CRESGARURUMON,"Тогда мы не можем просто стоять и смотреть...!
Нужно помочь этому человеку!",d140_010_090
d140_010_100,char_AEGIOMON,"Да, вперёд!
Мы справимся вместе!",d140_010_100
d140_020_010,char_OMEGAMONZWART_D,Нгх!,d140_020_010
d140_020_020,char_BLITZGREYMON,"Приди в себя!
Сейчас не время сражаться друг с другом!",d140_020_020
d140_020_030,char_OMEGAMONZWART_D,Мой партнёр... Мой драгоценный... спутник...,d140_020_030
d140_020_040,char_OMEGAMONZWART_D,Верните мне партнёра... немедленно...!,d140_020_040
d140_020_050,char_CRESGARURUMON,Бесполезно... Он не слышит!,d140_020_050
d140_020_060,char_OMEGAMONZWART_D,Грррааа!,d140_020_060
d140_020_070,char_OMEGAMON_ALTER-B,ГВАААААА!,d140_020_070
d140_020_080,char_KUREMIKYOKO,Хм-?!,d140_020_080
d140_020_090,char_KUREMI,Хгх!,d140_020_090
d140_025_010,char_KUREMI,ГАААХ!,d140_025_010
d140_025_020,char_KUREMIKYOKO,Ч-что?!,d140_025_020
d140_025_030,char_KUREMI,Нгх...!,d140_025_030
d140_025_040,char_KUREMIKYOKO,Что ты вообще пытаешься сделать...?!,d140_025_040
d140_025_050,char_KUREMIKYOKO,"Ты же используешь транквилизаторы...
Ты что, правда решил умереть?!",d140_025_050
d140_025_060,char_KUREMI,"У Дигимонов тоже есть семьи...
Когда думаешь об этом так, я просто не могу им навредить...",d140_025_060
d140_025_070,char_KUREMI,"Поймёшь, когда у тебя будут свои дети.",d140_025_070
d140_025_080,char_KUREMIKYOKO,Т-ты идиот!,d140_025_080
d140_025_090,char_BLITZGREYMON,Ты был готов рисковать собой ради нас...,d140_025_090
d140_025_100,char_BLITZGREYMON,"Ты не ненавидишь Дигимонов?
Даже после того, как они разрушили твой мир?..",d140_025_100
d140_025_110,char_KUREMI,Кёко...,d140_025_110
d140_025_120,char_KUREMI,"Ты пришёл сюда вместе с моей дочерью...
Для меня этого достаточно.",d140_025_120
d140_025_130,char_CRESGARURUMON,Понимаю... Спасибо!,d140_025_130
d140_025_140,char_CRESGARURUMON,"Твоя храбрость и сострадание напоминают нам о том,
что показывают нам наши партнёры.",d140_025_140
d140_025_150,char_BLITZGREYMON,"Да... Пока рядом есть такие люди, как ты,
я уверен: люди и Дигимоны смогут жить вместе.",d140_025_150
d140_026_010,char_BLITZGREYMON,Мы тоже сделаем всё возможное... чтобы быть тебе под стать!,d140_026_010
d140_026_020,char_BLITZGREYMON&CRESGARURUMON,ГРАААААААААА!,d140_026_020
d140_026_030,char_OMEGAMON_ALTER-B,А-ааа!,d140_026_030
d140_026_040,char_OMEGAMON_ALTER-S,"Я заставлю тебя очнуться!
Давай, сейчас! Сделаем это!",d140_026_040
d140_030_010,char_OMEGAMON_ALTER-S,Всё ещё без толку...?!,d140_030_010
d140_030_020,char_KUREMI,Используйте это...!,d140_030_020
d140_030_030,char_OMEGAMON_ALTER-B,УААААХ! Г-Гра...,d140_030_030
d140_030_040,char_OMEGAMON_ALTER-B,Урх...,d140_030_040
d140_030_050,char_OMEGAMON_ALTER-B,...,d140_030_050
d140_030_060,char_OMEGAMON_ALTER-B,Что... я...?,d140_030_060
d140_030_070,char_OMEGAMON_ALTER-B,Я должен извиниться за свои действия.,d140_030_070
