string2 0,string 1
dlc_010_020_1,
dlc_010_030_1,
dlc_010_040_10,"Подобно зверю, тайно устраивающему свое гнездо под землей,
Параллельмоны расширяют свою территорию, прячась в карманах
пространство-время."
dlc_010_040_20,"Можно сказать, что этот обширный коридор — это в буквальном смысле путь.
через само пространство-время. Кажется, оно скрутилось,
словно плетется сквозь самые разрывы во времени и пространстве."
dlc_010_050_10,"Бесконечно расширяясь, соединяясь с бесконечными измерениями...
Думайте об этом как о конечной железнодорожной станции с бесчисленным количеством железнодорожных путей.
линии, сходящиеся в одной точке."
dlc_010_050_20,"Станция в Синдзюку часто кажется лабиринтом тем, кто
посетил его впервые, да? Это очень похоже на это. Я полагаю
разница в том..."
dlc_010_050_30,"...если бы вы когда-нибудь заблудились, мир просто встретил бы свою
конец..."
dlc_010_060_10,"Общность между всеми обломками Акаши, которые мы видели
Пока что все они имеют отношение к отцам этих двух девочек."
dlc_010_060_20,"Если подобные воспоминания продолжат возникать и в будущем, возможно, это
потому что что-то заставляет их это делать."
dlc_010_070_10,"Например, чувства, которые эти девочки испытывают по отношению к своим
отцы — возможно, эти воспоминания рисуются этими
чувства «связи» и «любви»?"
dlc_010_070_20,"Я не думаю, что это относится к девушке по имени Куреми.
Кёко, однако... На самом деле, я бы сказал, что всё совсем наоборот."
dlc_010_080_10,"Куреми Кёко помрачнела, когда рассказала о своем отце.
В тот момент, когда связь между двумя людьми портится, это
становится связью, которую трудно разорвать."
dlc_010_080_20,"Узы, связывающие людей, не всегда приятны. Когда любовь
его больше нет, он уступает место кружащемуся вихрю людей
называть ненавистью."
dlc_010_090_10,"Продолжайте искать Параллельмон. Если так будет продолжаться, мы
быть на пути к хаосу."
