string2 0,string 1
100101,Хигаси-Синдзюку: Площадь Видения
100102,Хигаси-Синдзюку: пересечение Косю-Кайдо
100103,"Синдзюку: Кабукичо, Театральная площадь"
100107,Стена надежды
100110,Станция Синдзюку: Восточные ворота
100301,Здание столичного правительства Токио: внешний вид
100302,Парк Синдзюку: Площадь Водопада
100402,Детективное агентство Мисоно
103004,Лифтовый зал
111002,Гигантская яма
111202,Подземный водный путь Синдзюку: нижний уровень
111204,Деревня Восстания
111303,Подземная база спецназа: лаборатория
111304,Подземная база спецназа: Портал
111401,Здание столичного правительства Токио: вход
111403,"Здание столичного правительства Токио: Северная башня, 36F."
111407,Здание столичного правительства Токио: крыша
115001,Белая комната
115002,Белая комната
115003,Круглый коридор
