string2 0,string 1
char_BANCHOLEOMON_BIG,БанчоЛеомон
char_OMEGAMON_BEMERCIFUL,Омегамон
char_OMEGAMON:MERCIFUL MODE,Омегамон MM
char_OMEGAMON:MERCIFUL MODE_BIG,Омегамон MM
char_PARALLELMON,Параллельмон
char_PARALLELMON_SMALL,Параллельмон
char_PARALLELMON_BIG,Параллельмон
char_BANCHOSTINGMON,БанчоСтингмон
char_BANCHOSTINGMON_BIG,БанчоСтингмон
char_BANCHOLILIMON,БанчоЛилимон
char_BANCHOGOLEMON,БанчоГолемон
char_BANCHOGOLEMON_BIG,БанчоГолемон
char_BANCHOMAMEMON,БанчоМамемон
char_AKASHIC_BACKDOOR,Акашический бэкдор
char_AKASHIC_BACKDOOR_nickname,Путь сквозь пространство-время
