string2 0,string 1,string 2,string 3
dlc003_0000_0010,char_MIREI,...Проснуться.,
dlc003_0000_0020,char_MIREI,"Когда будете готовы, начните расследование заново.
Я верю в тебя.",
dlc003_0000_0030,char_MIREI,,
dlc003_0000_0040,char_MIREI,,
dlc003_0010_0010,char_OMEGAMON-X,Будете ли вы двигаться дальше?,
dlc003_0010_0020,char_NONAME,{следующий}Да.,
dlc003_0010_0021,char_NONAME,{конец}Я еще не готов.,
dlc003_0010_0030,char_OMEGAMON-X,Затем пройдите через дверь.,
dlc003_0010_0040,char_OMEGAMON-X,...Тогда готовься хорошо.,
dlc003_0020_0010,char_OMEGAMON-X,Здесь никого нет... Ни одной души не видно.,
dlc003_0020_0020,char_OMEGAMON-X,"Они, должно быть, где-то еще.
Давайте исследуем дверь впереди.",
dlc003_0030_0010,char_OMEGAMON-X,Будете ли вы двигаться дальше?,
dlc003_0030_0020,char_NONAME,{следующий}Да.,
dlc003_0030_0021,char_NONAME,{конец}Я еще не готов.,
dlc003_0030_0030,char_OMEGAMON-X,Затем пройдите через дверь.,
dlc003_0030_0040,char_OMEGAMON-X,...Тогда готовься хорошо.,
dlc003_0040_0010,char_OMEGAMON-X,"Эти двое, кажется, не собираются слушать.
Давайте искать остальных.",
dlc003_0040_0020,char_OMEGAMON-X,"Они, должно быть, где-то еще.
Давайте исследуем дверь впереди.",
dlc003_0050_0010,char_OMEGAMON-X,Будете ли вы двигаться дальше?,
dlc003_0050_0020,char_NONAME,{следующий}Да.,
dlc003_0050_0021,char_NONAME,{конец}Я еще не готов.,
dlc003_0050_0030,char_OMEGAMON-X,Затем пройдите через дверь.,
dlc003_0050_0040,char_OMEGAMON-X,...Тогда готовься хорошо.,
dlc003_0060_0010,char_OMEGAMON-X,"Я не думаю, что мы найдём что-то ещё.",
dlc003_0060_0020,char_OMEGAMON-X,Нам следует вернуться в предыдущую комнату с двумя дверями.,
dlc003_0070_0010,char_OMEGAMON-X,Готовы ли вы противостоять Параллельмону?,
dlc003_0070_0020,char_OMEGAMON-X,"Мы не можем прийти все, иначе координация окажется слишком сложной.
Выберите бойца, который будет участвовать в битве вместе с нами.",
dlc003_0070_0030,char_OMEGAMON-X,Выберите бойца.,
dlc003_0080_0010,char_ALPHAMON,"...Теперь, когда мы вместе, нам нечего бояться.",
dlc003_0080_0020,char_ALPHAMON,{next}Сделайте Альфамона (Вакцину) своим союзником.,
dlc003_0080_0021,char_ALPHAMON,{конец}Я закончил.,
dlc003_0080_0030,char_ALPHAMON,"Пойдем победим Параллельмона,
и вернёмся в наши изначальные миры!",
dlc003_0080_0040,char_ALPHAMON,"Пойдем победим Параллельмона,
и вернёмся в наши изначальные миры!",
dlc003_0090_0010,char_JESMON_X,"Я хочу компенсировать причиненные мной неприятности...!
Не могли бы вы взять меня с собой?",
dlc003_0090_0020,char_JESMON_X,{next}[Сделайте Джесмон (X-антитело) (Data) своим союзником.],
dlc003_0090_0021,char_JESMON_X,{end}[Не вербовать.],
dlc003_0090_0030,char_JESMON_X,"Что-то даже большее, чем Программа X…
это то, за что я борюсь сейчас.",
dlc003_0090_0040,char_JESMON_X,"Что-то даже большее, чем Программа X…
это то, за что я борюсь сейчас.",
dlc003_0100_0010,char_DUKEMON_X,"Похоже, это мы были эгоистичны.
Мы очень благодарны.",
dlc003_0100_0020,char_DUKEMON_X,{next}[Сделайте Дюкмон (X-антитело) (Virus) своим союзником.],
dlc003_0100_0021,char_DUKEMON_X,{end}[Не вербовать.],
dlc003_0100_0030,char_DUKEMON_X,"Мы смогли вспомнить что-то очень важное
спасибо всем вам. Мы добавим свою силу к вашей.",
dlc003_0100_0040,char_DUKEMON_X,"Похоже, это мы были эгоистичны.
Мы очень благодарны.",
dlc003_0110_0010,char_ULFORCEVDRAMON_X,"Есть вещи гораздо более важные, чем мои собственные
чувство справедливости... и именно за это я хочу бороться.",
dlc003_0110_0020,char_ULFORCEVDRAMON_X,{next}[Сделайте УльфорсV-драмон (X-антитело) (Vaccine) своим союзником.],
dlc003_0110_0021,char_ULFORCEVDRAMON_X,{end}[Не вербовать.],
dlc003_0110_0030,char_ULFORCEVDRAMON_X,"Благодаря нашей совместной силе все будет исправлено.
уверен в этом. И поэтому я останусь стойким до самого горького конца.",
dlc003_0110_0040,char_ULFORCEVDRAMON_X,"Есть вещи гораздо более важные, чем мое собственное чувство справедливости...
Благодаря нашей совместной силе все будет исправлено.",
dlc003_0120_0010,char_MAGNAMON_X,"Я пришел увидеть свет благодаря Альфамону и всем вам.
Я уверен, что смогу быть полезен...!",
dlc003_0120_0020,char_MAGNAMON_X,{next}[Сделайте Магнамона (Антитело X) (Вакцину) своим союзником.],
dlc003_0120_0021,char_MAGNAMON_X,{end}[Не вербовать.],
dlc003_0120_0030,char_MAGNAMON_X,"С моей стороны было высокомерно полагать, что мы избранные.
Теперь я хочу сражаться за своих новых товарищей.",
dlc003_0120_0040,char_MAGNAMON_X,"С моей стороны было высокомерно полагать, что мы избранные...
Я пришел увидеть свет благодаря Альфамону и всем вам.",
dlc003_0130_0010,char_OMEGAMON-X,"Ваши разбросанные сердца объединились в одно...!
Мы победим Параллельмона!",
