string2 0,string 1
530010,Поднимитесь на лифте в Промежуточном театре и войдите в дверь справа.
530020,Исследуйте пространство.
530030,Найдите другого дигимона с помощью Омегамона (антитело X).
530035,Отправляйтесь в следующую локацию.
530040,Ищите другого дигимона с антителами X.
530050,Следуйте за Дигимоном с антителом X.
530060,Откройте цифровую дверь.
530070,Откройте деревянную дверь.
530080,Пройдите через рухнувшее цифровое пространство.
530090,Покиньте рухнувшее цифровое пространство.
530100,Исследуйте исследовательский отдел.
530110,Покиньте исследовательский отдел.
530120,Следуйте за доктором Кугой.
530130,Следуйте за доктором Кугой.
530140,Следуйте за доктором Кугой.
530150,Сделайте Альфамона своим союзником.
530160,Сделайте Джесмон (X-антитело) своим союзником.
530170,Сделайте Дюкмон (X-антитело) своим союзником.
530180,Сделайте УльфорсV-драмон (X-антитело) своим союзником.
530190,Сделайте Магнамона (Антитело X) своим союзником.
530200,Победите Параллельмона.
