string2 0,string 1,string 2,string 3
arena01_f001_001_010,char_ETEMON,"Мы заставили вас ждать достаточно долго! Бойцы выходят на
арену!",m320_020_010
arena01_f001_001_020,char_ETEMON,Всемогущие чемпионы с триумфом возвращаются в Парадайз Колизей!,
arena01_f001_001_030,char_ETEMON,"Эти ребята ""Ищут Нанимон""! И они родом из какого-то неизвестного
цифрового мира!",
arena01_f001_001_040,char_BOTAMON,"Да ладно, разве мы не можем уже прекратить это? Серьезно...",
arena01_f001_001_041,char_DIGITAMAMON,Нанимон... мой друг... Мы будем вместе ... навсегда...,
arena01_f001_001_050,char_ETEMON,А А теперь ... Давайте устроим этот матч ОООООООООООООО!,m320_020_040
arena01_f001_001_060,char_ETEMON,Победителем становится... команда-чемпион!,
arena01_f001_002_010,char_ETEMON,"Мы заставили вас ждать достаточно долго! Бойцы выходят на
арену!",m320_020_010
arena01_f001_002_020,char_ETEMON,Всемогущие чемпионы с триумфом возвращаются в Парадайз Колизей!,
arena01_f001_002_030,char_ETEMON,"Прочность их панцирей сравнима только с их решимостью! Это
""Короли больших плохих жуков""!",
arena01_f001_002_040,char_TENTOMON,"Посмотри на мой панцирь! Посмотри, говорю я! Видишь, какой он
твердый?!",
arena01_f001_002_041,char_FUNBEEMON,"Не говори ""панцирь""! Просто скажи ""панцирь"", как это делают все
остальные! Кого ты пытаешься обмануть, используя подобные ""модные"" слова?",
arena01_f001_002_042,char_TENTOMON,"А? ""Пацан""? Кого ты называешь пацаном? Я не пацан.",
arena01_f001_002_043,char_SNIMON,Просто заткнись.,
arena01_f001_002_050,char_ETEMON,А А теперь ... Давайте устроим этот матч ОООООООООООООО!,m320_020_040
arena01_f001_002_060,char_ETEMON,Победителем становится... команда-чемпион!,
arena01_f001_003_010,char_ETEMON,"Мы заставили вас ждать достаточно долго! Бойцы выходят на
арену!",m320_020_010
arena01_f001_003_020,char_ETEMON,Всемогущие чемпионы с триумфом возвращаются в Парадайз Колизей!,
arena01_f001_003_030,char_ETEMON,"""Монзаэмон и друзья"" уже здесь! Они действительно выглядят
знакомыми, но будь я проклят, если смогу их вспомнить!",
arena01_f001_003_040,char_MONZAEMON,"Эй, у тебя есть что-нибудь из этой вкуснятины? Знаешь... Эта
липкая, клейкая, золотистая, вкусная, сладкая штука.",
arena01_f001_003_041,char_SABERLEOMON,"Я не могу дождаться... Я хочу летать! Я хочу прыгать! Я хочу
прыгать вверх и вниз!",
arena01_f001_003_042,char_YUNIMON,"Хахаха... Я полагаю, это просто то, кем мы являемся как
Дигимоны...",
arena01_f001_003_050,char_ETEMON,А А теперь ... Давайте устроим этот матч ОООООООООООООО!,m320_020_040
arena01_f001_003_060,char_ETEMON,Победителем становится... команда-чемпион!,
arena01_f001_004_010,char_ETEMON,"Мы заставили вас ждать достаточно долго! Бойцы выходят на
арену!",m320_020_010
arena01_f001_004_020,char_ETEMON,Всемогущие чемпионы с триумфом возвращаются в Парадайз Колизей!,
arena01_f001_004_030,char_ETEMON,"Он горит так яростно, что поглощает все на своем пути! Страж
Райского Колизея совершает свое огненное возвращение!",
arena01_f001_004_040,char_DEATHMERAMON,"Моя сотая жертва... Это нужно отпраздновать. Хех. Я всегда
стремлюсь пополнить свою коллекцию.",
arena01_f001_004_041,char_DEATHMERAMON,А? Кто ты такой?!,
