string2 0,string 1,string 2,string 3
1011010001,char_PROTECTED_GIRL,{player}! Возьми!,
1011030002,char_OPERATOR_M,"Боюсь, этот дигимон не похож ни на одного из тех, с кем
мы сталкивались раньше.",1011030002_M 1011030002_F
1011030003,char_OPERATOR_M,"Наша работа - защищать мирных жителей от аномалий. Здесь мы не
можем позволить себе совершать какие-либо ошибки.",1011030003_M 1011030003_F
1011030004,char_OPERATOR_M,"Этот противник явно сильнее других дигимонов...
Тебе разрешено использовать {fc9кросс-арты}.",1011030004_M 1011030004_F
1011030005,char_OPERATOR_M,"Используй Дигивайс как катализатор: сфокусируй энергию
своего дигимона в одной точке и высвободи её.",1011030005_M 1011030005_F
1011030006,char_OPERATOR_M,"Сумеешь ли ты завоевать доверие своих союзников,
зависит только от тебя.",1011030006_M 1011030006_F
1011030007,char_OPERATOR_M,"Все, что мы делаем, мы делаем для защиты человечества от
аномалий. Клянусь честью АДАМАСА, мы должны выстоять!",1011030007_M 1011030007_F
1032010001,char_SIMMONS,Да... да... Невероятно...!,1032010001
1032010002,char_SIMMONS,"Ха... Похоже, влияние больше, чем предполагалось ранее... Мы
получаем отличные данные...!",1032010002
1032010003,char_SIMMONS,"Удивительно...! Удивительно...! Это даст поистине бесценные
данные!",1032010003
1032010004,char_SIMMONS,"Хорошо! Да, именно так! Продолжай! Они могут это вынести! Покажи
мне еще. ЕЩЕ, говорю тебе!",1032010004
1032010005,char_SIMMONS,Следующий!,1032010005
1033010001,char_MINERVAMON,Голова повернулась в эту сторону...?,1033010001
1033010003,char_MINERVAMON,"Мне не нравится, как это выглядит...! Сосредоточьте свои атаки
на их голове и выведите их из равновесия!",1033010003
1033010005,char_MINERVAMON,Я чувствую накопление сил. Остерегайтесь контратаки!,1033010005
1033010006,char_MINERVAMON,"Еще одна атака, прямо сейчас?! Но я думаю, что это всего лишь
часть того, как они используют свои способности...",1033010006
1033010007,char_MINERVAMON,"Было бы разумно предположить, что враг сделает последний ход в
конце...!",1033010007
1033010009,char_MINERVAMON,"Перед большим ходом всегда есть брешь. Сильный удар в то место,
где сосредоточена их сила, должен сорвать атаку!",1033010009
1033010010,char_MINERVAMON,"Греймон, да? Я знаю их слабое место!",1033010010
1033010011,char_MINERVAMON,А теперь... Возьми это!,1033010011
1033010012,char_MINERVAMON,"Я открою для тебя дверь! Я расставлю их, а ты разобьешь их!",1033010012
1033010013,char_MINERVAMON,А вот и большой! Прояви бдительность и защищайся!,1033010013
1033010014,char_MINERVAMON,В противном случае они уничтожат вас одной атакой!,1033010014
1033030001,char_TITAMON,"Я могу покончить с вами, насекомыми, одним ударом! Узрите мощь
титанов!",1033030001
1033030002,char_MINERVAMON,"Черт! Похоже, что ничто из того, что мы делаем, не может даже
поцарапать его!",1033030002
1033030003,char_MINERVAMON,"Ворота вышли из строя...? Это потому, что их открывают силой?",1033030003
1033030004,char_MINERVAMON,Давай! Дела становятся все хуже и хуже!,1033030004
1036010001,char_AEGIOMON,Почему они приземлились?,1036010001
1036010002,char_INORI,Что... происходит?,1036010002
1036010003,char_AEGIOMON,"В перьях на их голове накапливается много энергии... Нам лучше
что-нибудь предпринять!",1036010003
1036010004,char_AEGIOMON,Давайте сосредоточим наши атаки на этих перьях!,1036010004
1036010005,char_AEGIOMON,Сила попугая растет...?,1036010005
1036010006,char_INORI,"Но как...? Значит ли это, что они становятся сильнее во время
битвы...?",1036010006
1036010010,char_PARROTMON,Криииииах!,vo_bmv013_special_001
1036010011,char_MINERVAMON,"Боже! Мы не смогли их остановить! Приготовьтесь... Это будет
грандиозно!",1036010011
1036010019,char_AEGIOMON,Прекратились ли молнии?..,1036010019
1036010020,char_OPERATOR_M,"Пэрротмон, кажется, приходит в себя всякий раз, когда в него
попадает молния. Должен быть какой-то способ остановить это...",1036010020_M 1036010020_F
1036010021,char_OPERATOR_M,Молнии прекратились! Теперь у тебя есть шанс!,1036010021_M 1036010021_F
1036010022,char_OPERATOR_M,"Молния, приближается!",1036010022_M 1036010022_F
1036010023,char_OPERATOR_M,"Похоже, они очень разозлились. Берегись этой молнии!",1036010023_M 1036010023_F
1040010001,char_KOKUWAMON_A,"Будь осторожен! УльтимаБрахиомон устойчив к
{is28}{image(ui_icon_btlStatus_044)} физическим атакам!",
1040010002,char_KOKUWAMON_A,"Здесь новая ситуация! Устойчивость к физическим атакам {is28}{image(ui_icon_btlStatus_044)},
похоже, ослабла, а к магическим атакам {is28}{image(ui_icon_btlStatus_045)} возросла.",
1040010003,char_KOKUWAMON_A,"Похоже, он приобрел устойчивость к магическим атакам {is28}{image(ui_icon_btlStatus_045)}.",
1040020001,char_AEGIOMON,"У тебя наверняка уже не осталось сил сражаться, да?
Ну же, просто выслушай нас!",1040020001
1040020002,char_VULCANUSMON,"За кого ты меня принимаешь? Если что-то сломалось, я просто это
чиню!",1040020002
1040020003,char_VULCANUSMON,"Значит, мои предыдущие руки были слишком большими для тебя? Что
ж, в таком случае...",1040020003
1040020004,char_VULCANUSMON,"И это тебя не остановило, да?.. Тогда я создам оружие,
идеально подходящее твоим способностям!",1040020004
1040020005,char_VULCANUSMON,Совершенство! Теперь все готово!,1040020005
1040020006,char_VULCANUSMON,"Фу, посмотри, что ты наделал! Это все твоя вина!",1040020006
