string2 0,string 1,string 2,string 3
f_d0501_0010_0010,char_GUARDROMON_GL,"О, это вы, ребята! Вы познакомились с лордом Вулканусмоном, не
так ли?",
f_d0501_0010_0020,char_PLAYER_M,{next}Откуда ты знаешь?,
f_d0501_0010_0021,char_PLAYER_M,{next}Да... И мне тоже пришлось нелегко из-за этого…,
f_d0501_0010_0022,char_PLAYER_M,"{next}Нет, пока нет.",
f_d0501_0010_0030,char_GUARDROMON_GL,"Потому что электричество снова включили! Я знал, что вы, ребята,
справитесь!",
f_d0501_0010_0040,char_GUARDROMON_GL,"Держу пари, что это не так! Это было то, чего никто из нас не
мог сделать!",
f_d0501_0010_0050,char_GUARDROMON_GL,"Давай! Кончай прикалываться! Ты разговаривал с Вулканусмоном
там, у реактора, на самом нижнем уровне, не так ли?",
f_d0501_0010_0060,char_GUARDROMON_GL,"Осталось еще несколько Титанов, но мы справимся с остальными!",
f_d0501_0010_0070,char_GUARDROMON_GL,"Теперь, когда вы это сделали, железная дорога Локомон должна
работать! Попробуйте подняться этим путем и направиться к станции!",
f_d0501_0010_0080,char_GUARDROMON_GL,"У нас здесь полно дел, отбиваясь от Титанов, так что не могли бы
вы спуститься на самый нижний уровень самостоятельно?",
f_d0501_0010_0090,char_GUARDROMON_GL,"Вам понадобится помощь Кокувамона здесь, в деревне, чтобы достичь
самого низкого уровня. Сначала поговорите с Кокувамоном, хорошо?",
f_d0501_0010_0100,char_GUARDROMON_GL,"Спасибо за вашу помощь. Дальше мы позаботимся обо всем
остальном!",
f_d0501_0010_0110,char_GUARDROMON_GL,"Железная дорога Локомон уже должна работать! Станция в этой
стороне и чуть впереди. Вам следует направиться туда!",
f_d0501_0020_0010,char_GUARDROMON,"Прошу прощения, но железная дорога Локомона сейчас не работает
из-за нехватки энергии.",
f_d0501_0030_0010,char_GUARDROMON,"Теперь, когда электричество восстановлено, мы готовимся к
отъезду. Пожалуйста, подождите еще немного.",
f_d0501_0040_0010,char_ANDROMON,"К МОЕМУ УЖАСУ, НЕКОТОРЫЕ СТРАЖИ, НАХОДИВШИЕСЯ ПОД МОИМ
КОНТРОЛЕМ, ВЫШЛИ ИЗ СТРОЯ...",
f_d0501_0040_0020,char_ANDROMON,"СТРАЖИ НА НИЖНИХ УРОВНЯХ, СКОРЕЕ ВСЕГО, НАПАДУТ.
ЕСЛИ РЕШИТЕ ИДТИ, ДЕЙСТВУЙТЕ ОСТОРОЖНО.",
f_d0501_0040_0030,char_ANDROMON,"ХОТЯ ОНИ НАШИ ТОВАРИЩИ, СИТУАЦИЯ ЧРЕЗВЫЧАЙНАЯ,
ПОЭТОМУ НЕ НУЖНО СДЕРЖИВАТЬСЯ, ЕСЛИ ОНИ НАПАДУТ.",
f_d0501_0040_0040,char_ANDROMON,"ИНФОРМАЦИЯ БЫЛА ПЕРЕДАНА. ПРОБЛЕМА, ПОХОЖЕ, РЕШЕНА.",
f_d0501_0040_0050,char_ANDROMON,"НО МЫ НЕ ЗНАЕМ, НАПАДУТ ЛИ ТИТАНЫ СНОВА И КОГДА ИМЕННО.
МЫ ДОЛЖНЫ УСИЛИТЬ НАШУ БЕЗОПАСНОСТЬ, ПОКА МОЖЕМ.",
f_d0501_0050_0010,char_KOKUWAMON_A,Нгх... Я не могу пошевелиться...,
f_d0501_0050_0020,char_KOKUWAMON_A,"Если бы у меня был новый предохранитель, я мог бы вам помочь.
Если вас не затруднит, не могли бы вы принести мне его?",
f_d0501_0050_0030,char_KOKUWAMON_A,У одного из моих друзей в деревне должен быть такой же. Спасибо.,
f_d0501_0050_0050,char_KOKUWAMON_A,"О, нет... Ты хочешь сказать, что у продавца закончились
предохранители? Ого. Это все усложняет.",
f_d0501_0050_0060,char_AEGIOMON,"Есть ли какой-нибудь способ снова запустить вас в работу без
предохранителя?",
f_d0501_0050_0070,char_KOKUWAMON_A,"Ну... может быть, скажем, ОГРОМНЫЙ выброс электричества...",
f_d0501_0050_0080,char_KOKUWAMON_A,"Я мог бы прийти в себя, если бы получил мощный толчок, от
которого затрещал бы, как живой провод.",
