string2 0,string 1,string 2,string 3
dlc000_010_010,char_MIREI,"Внутри ждёт новая история об истине этого мира.
Если вам интересно, проходите.",
dlc000_020_010,char_BUTLER,"За этой дверью лежит искажённый мир...
Полагаю, вы ещё не совсем готовы.",
dlc000_020_020,char_NONAME,Открыть {pf(PlayStation®Store/Microsoft Store/Nintendo eShop/the Online Store)}?,
dlc000_020_030,char_NONAME,"Примечание: если вы уже приобрели дополнительный эпизод,
перезапустите игру.",
dlc000_020_040,char_BUTLER,,
dlc000_020_050,char_BUTLER,,
dlc000_020_060,char_NONAME,Открыть {pf(PlayStation®Store/Microsoft Store/Nintendo eShop/the Online Store)}.,
dlc000_020_061,char_NONAME,{end}[Пока не открывать.],
dlc000_030_010,char_BUTLER,"За этой дверью лежит искажённый мир...
Полагаю, вы ещё не совсем готовы.",
dlc000_030_020,char_NONAME,Открыть {pf(PlayStation®Store/Microsoft Store/Nintendo eShop/the Online Store)}?,
dlc000_030_030,char_NONAME,"Примечание: если вы уже приобрели дополнительный эпизод,
перезапустите игру.",
dlc000_030_040,char_BUTLER,,
dlc000_030_050,char_BUTLER,,
dlc000_030_060,char_NONAME,Открыть {pf(PlayStation®Store/Microsoft Store/Nintendo eShop/the Online Store)}.,
dlc000_030_061,char_NONAME,{end}[Пока не открывать.],
dlc000_040_010,char_BUTLER,"За этой дверью лежит искажённый мир...
Полагаю, вы ещё не совсем готовы.",
dlc000_040_020,char_NONAME,Открыть {pf(PlayStation®Store/Microsoft Store/Nintendo eShop/the Online Store)}?,
dlc000_040_030,char_NONAME,"Примечание: если вы уже приобрели дополнительный эпизод,
перезапустите игру.",
dlc000_040_040,char_BUTLER,,
dlc000_040_050,char_BUTLER,,
dlc000_040_060,char_NONAME,Открыть {pf(PlayStation®Store/Microsoft Store/Nintendo eShop/the Online Store)}.,
dlc000_040_061,char_NONAME,{end}[Пока не открывать.],
dlc000_050_010,char_BUTLER,"Дальше начинается искажённый мир...
Удачи в расследовании.",
dlc000_050_020,char_BUTLER,,
dlc000_050_030,char_BUTLER,,
dlc000_050_040,char_BUTLER,"Войти в Акашический бэкдор I?
{fc9*Сложность соответствует финалу основной истории.}",
dlc000_050_050,char_NONAME,[Войти.],
dlc000_050_051,char_NONAME,{end}[Не входить.],
dlc000_050_060,char_BUTLER,"Обращайтесь, если понадобится помощь.
Я могу мгновенно вернуть вас в Театр Между Мирами.",
dlc000_050_070,char_BUTLER,,
dlc000_050_080,char_BUTLER,,
dlc000_050_090,char_BUTLER,"Что ж, прошу, проходите.",
dlc000_050_100,char_BUTLER,"Возвращайтесь, когда будете готовы.",
dlc000_060_010,char_BUTLER,"Дальше начинается искажённый мир...
Удачи в расследовании.",
dlc000_060_020,char_BUTLER,,
dlc000_060_030,char_BUTLER,,
dlc000_060_040,char_BUTLER,"Войти в Акашический бэкдор II?
{fc9*Сложность соответствует финалу основной истории.}",
dlc000_060_050,char_NONAME,[Войти.],
dlc000_060_051,char_NONAME,{end}[Не входить.],
dlc000_060_060,char_BUTLER,"Обращайтесь, если понадобится помощь.
Я могу мгновенно вернуть вас в Театр Между Мирами.",
dlc000_060_070,char_BUTLER,,
dlc000_060_080,char_BUTLER,,
dlc000_060_090,char_BUTLER,"Что ж, прошу, проходите.",
dlc000_060_100,char_BUTLER,"Возвращайтесь, когда будете готовы.",
dlc000_070_010,char_BUTLER,"Дальше начинается искажённый мир...
Удачи в расследовании.",
dlc000_070_020,char_BUTLER,,
dlc000_070_030,char_BUTLER,,
dlc000_070_040,char_BUTLER,"Войти в Акашический бэкдор III?
{fc9*Сложность соответствует финалу основной истории.}",
dlc000_070_050,char_NONAME,[Войти.],
dlc000_070_051,char_NONAME,{end}[Не входить.],
dlc000_070_060,char_BUTLER,"Обращайтесь, если понадобится помощь.
Я могу мгновенно вернуть вас в Театр Между Мирами.",
dlc000_070_070,char_BUTLER,,
dlc000_070_080,char_BUTLER,,
dlc000_070_090,char_BUTLER,"Что ж, прошу, проходите.",
dlc000_070_100,char_BUTLER,"Возвращайтесь, когда будете готовы.",
dlc000_080_010,char_BUTLER,Мы вас ждали.,
dlc000_100_010,char_MIREI,...Просыпайтесь.,
dlc000_100_020,char_MIREI,"Когда будете готовы, начните расследование заново.
Я верю в вас.",
dlc000_100_030,char_MIREI,,
dlc000_100_040,char_MIREI,,
dlc000_110_010,char_BUTLER,"Эта дверь пока никуда не ведёт.
Пожалуйста, подождите ещё немного...",
dlc000_120_010,char_BUTLER,"Эта дверь пока никуда не ведёт.
Пожалуйста, подождите ещё немного...",
