string2 0,string 1,string 2,string 3
10,char_PLAYER_M,"""Введите имя"" (системный экран)",
dummy_locomon_stop,char_PLAYER_M,Звук Остановки/ Прибытия Локомотива,
dummy_blimp_dapature,char_PLAYER_M,Звук отправления МастерБлимпмон,
dummy_blimp_stop,char_PLAYER_M,Звук Прибытия МастерБлимпмон,
dummy_cos_open,char_PLAYER_M,(Предварительно) Откройте экран Костюма.,
dummy_comvert_open,char_PLAYER_M,(Предварительно) Откройте экран преобразования.,
dummy_evolution_open,char_PLAYER_M,(Предварительно) Откройте экран оцифровки / удаления оцифровки.,
dummy_m020_0010,char_PLAYER_M,Руководство по элементам,
dummy_m150_0010,char_PLAYER_M,Мероприятие по Возрождению Кокувамона,
dummy_m160_0010,char_PLAYER_M,"Идентификатор события: m160_010 Группа отправляется из района
фабрики в храм Юномона на локомотиве. (Ранг B)",
dummy_m160_0020,char_PLAYER_M,"Идентификатор события: m160_020 ""Участники ошеломлены видом
Храма Юномон, когда они прибывают на поезде"" (ранг B)",
dummy_m160_0030,char_PLAYER_M,"Идентификатор события: m160_030 Группа прибыла в храм Юномона с
фабрики. (Ранг B)",
dummy_m160_0040,char_PLAYER_M,"Идентификатор мероприятия: m160_040 На вечеринке впервые
присутствует Юномон. (Ранг B)",
dummy_m160_0050,char_PLAYER_M,"Идентификатор события: m160_050 [Легенда о Хрономоне] //
Рассказчик: Юномон (БЫВШИЙ ранг) Видео Макино",
dummy_m170_0010,char_PLAYER_M,"Идентификатор события: m170_010 Группа отправляется в район
Бездны со станции Юномон. (Ранг C)",
dummy_m170_0020,char_PLAYER_M,"Идентификатор события: m170_020 Группа впервые прибыла в район
Бездны. (Ранг B)",
dummy_m170_0030,char_PLAYER_M,"Идентификатор события: m170_030 Группа впервые прибыла в деревню
в районе Бездны. (Ранг B)",
dummy_m170_0040,char_PLAYER_M,"Идентификатор события: m170_040 ""Информация о Доме Шеллмона""
Беседа с НПС.",
dummy_m170_0050,char_PLAYER_M,"Идентификатор события: m170_050 Вечеринка прибыла в дом Шеллмона.
(Ранг C)",
dummy_m170_0060,char_PLAYER_M,"Идентификатор события: m170_060 Вечеринка доставила лекарство в
дом Шеллмона. (Ранг B)",
dummy_m170_0070,char_PLAYER_M,"Идентификатор события: m170_070 Группа прибыла в Океаническая Деревня
после нападения. (Ранг C)",
dummy_m170_0080,char_PLAYER_M,"Идентификатор события: m170_080 ""Участник беседует с выжившими в
Оушен Виллидж"" Беседа НПС.",
dummy_m170_0090,char_PLAYER_M,"Идентификатор события: m170_090 Группа возвращается в дом
Шеллмона после нападения на деревню. (Ранг C)",
dummy_m170_0100,char_PLAYER_M,"Идентификатор события: m170_100 Участник разговаривает с Вамоном
в районе Бездны. (Ранг C)",
dummy_m170_0110,char_PLAYER_M,"Идентификатор события: m170_110 Группа высаживается с Вамона в
районе Бездны. (Ранг C)",
dummy_m170_0130,char_PLAYER_M,"Идентификатор события: m170_130 Группа сталкивается с Шаркмоном
в районе Бездны. (Ранг B)",
dummy_m170_0150,char_PLAYER_M,"Идентификатор события: m170_150 Участник побеждает Шаркмона в
районе Бездны. (Ранг B)",
dummy_m170_0160,char_PLAYER_M,"Идентификатор события: m170_160 Участник сообщает Шеллмону о
победе над Титанами. (Ранг C)",
dummy_m170_0170,char_PLAYER_M,"Идентификатор события: m170_170 Группа отправляется в деревню
после победы над Титанами. (Ранг C)",
dummy_m170_0180,char_PLAYER_M,"Идентификатор события: m170_180 Дивермон провожает группу в
районе Бездны. (Ранг C)",
dummy_m170_0190,char_PLAYER_M,"Идентификатор события: m170_190 Группа узнает судьбу Шаркмона
после прохождения области Бездны. (Ранг B)",
