string2 0,string 1,string 2,string 3
f_h0601_0010_0010,char_LOTOSMON,"Слава богу, вы проснулись! Это Мир грез. Кажется, кто-то сбил
вас с пути истинного.",f_h0601_0010_0010
f_h0601_0010_0020,char_LOTOSMON,Преступник прячется где-то здесь! Вы должны найти его!,f_h0601_0010_0020
f_h0601_0010_0030,char_LOTOSMON,"Похоже, вы вернулись туда, откуда начали. Он не позволит своей
добыче так легко сбежать...",f_h0601_0010_0030
f_h0601_0010_0040,char_LOTOSMON,Снова и снова в одном и том же месте... Какой кошмар...,f_h0601_0010_0040
f_h0601_0010_0050,char_LOTOSMON,"Здесь нет такого понятия, как здравый смысл... Но что-то не так!
Я уверен, вы это чувствуете... Не упустите это.",f_h0601_0010_0050
f_h0601_0010_0060,char_LOTOSMON,"У тебя закончились идеи...? Так, так...",f_h0601_0010_0060
f_h0601_0010_0070,char_LOTOSMON,Попробуйте мыслить нестандартно!,f_h0601_0010_0070
f_h0601_0070_0010,char_BACCHUSMON,"А, это вы, ребята! Хах! Как вас угораздило очутиться в этом
странном старом месте?",
f_h0601_0070_0020,char_BACCHUSMON,"Но сейчас не время капризничать. Мы сможем поговорить, когда
выберемся отсюда!",
f_h0601_0040_0010,char_LOTOSMON,"Способности преступника, похоже, схожи с моими...",
f_h0601_0040_0020,char_LOTOSMON,"Иногда я говорю о снах с лордом Бахусмоном. Лорду Бахусмону,
казалось, снились кошмары.",
f_h0601_0030_0010,char_LOTOSMON,"Должно быть, все дело в защите Мирового Древа...",
f_h0601_0030_0020,char_LOTOSMON,"Каждый должен, по крайней мере, видеть хорошие сны... Сейчас
самое время максимально использовать такой опыт.",
f_h0601_0030_0030,char_LOTOSMON,"Я понимаю, с кем мы имеем дело, потому что мы похожи... Кто-то
должен контролировать это пространство!",
f_h0601_0030_0031,char_LOTOSMON,"Правила реальности не действуют во сне. Даже если вам кажется,
что вы движетесь вперед, на самом деле это может быть движение назад.",
f_h0601_0030_0040,char_LOTOSMON,"Если мы хотим двигаться вперед... мы должны приспособиться к
правилам этого мира грез.",
f_h0601_0030_0050,char_LOTOSMON,"Тот, кто создал это пространство, довольно хитер... У меня
такое чувство, что у нас схожее мышление.",
f_h0601_0030_0060,char_LOTOSMON,"«Правильный» способ, уверена, не сработает.
Так почему бы в этом мире не поступить наоборот?",
f_h0601_0030_0070,char_LOTOSMON,"Нам нужно подвергать сомнению все, что мы видим. Где-то может
быть скрытый путь.",
f_h0601_0050_0010,char_LOTOSMON,"Мы вернулись к тому, с чего начали. Снова и снова возвращаемся в
одно и то же место... Это похоже на ночной кошмар, не так ли?",
f_h0601_0050_0020,char_LOTOSMON,"Однако мы не должны сдаваться, ибо нет таких снов, от которых
человек в конце концов не мог бы пробудиться.",
f_h0601_0060_0010,char_LOTOSMON,"У тебя закончились идеи...? Так, так...",
f_h0601_0060_0020,char_LOTOSMON,Попробуйте мыслить по-новому!,
