string2 0,string 1,string 2,string 3
m390_010_010,char_SIMMONS,Хм? Сегодня ты один? Где остальные двое?,m390_010_010
m390_010_020,char_SIMMONS,"Кукловод Титанов хочет вторгнуться в мир людей, верно? Это
объясняет аномалии в небе.",m390_010_020
m390_010_030,char_SIMMONS,"Должно быть, это признак открытия врат. Уверена, Управление
общественной безопасности тоже заметило... и готовит оружие.",m390_010_030
m390_010_040,char_SIMMONS,"Я слышала, в него внедрили силу пойманного дигимона.",m390_010_040
m390_010_050,char_SIMMONS,"Если это оружие развернут против Титанов, ущерб будет
беспрецедентным. Начнётся война, которая покончит со всеми войнами.",m390_010_050
m390_010_060,char_SIMMONS,"В подземной лаборатории была зона, куда не пускали даже меня.
Возможно, эксперименты проводят именно там.",m390_010_060
m390_010_070,char_SIMMONS,"Я покажу дорогу. Наведаемся в мой старый офис... Пора с этим
покончить.",m390_010_070
m390_020_010,char_SIMMONS,"Этого подопытного... похоже, зовут Вулканусмон.",
m390_020_020,char_SIMMONS,Его ядро уже установили в оружие.,m390_020_020
m390_020_030,char_SIMMONS,"Понимаю... Значит, это дело рук Куги. Вполне в его духе.",m390_020_030
m390_020_040,char_PLAYER_M,Бедный Вулканусмон...{next},
m390_020_041,char_PLAYER_M,"Я помню, Вулканусмон хотел попасть в мир людей...{next}",
m390_020_042,char_PLAYER_M,Этот дигимон так любил фигурки...{next},
m390_020_050,char_SIMMONS,"Согласно записям, его ядро извлекли тридцать минут назад. Мне
жаль, но он уже...",m390_020_050
m390_020_060,char_SIMMONS,"Глупцы! Мне стыдно, что я когда-то на них работала!",m390_020_060
m390_020_070,char_SIMMONS,...Чёрт.,m390_020_070
m390_020_080,char_SIMMONS,"Глупость, как говорится, неизлечима...",m390_020_080
m390_020_090,char_SIMMONS,"Будь я талантливее... разработала бы лекарство от человеческой
глупости...",m390_020_090
m390_020_100,char_SIMMONS,Мне так жаль...!,m390_020_100
m390_020_110,char_SIMMONS,Правда...!,m390_020_110
m390_030_010,char_NARRATION,"Вулканусмон, мастер всех кузнечных искусств и воплощение
бога-кузнеца, мог выковать всё, что только можно вообразить.",m390_030_010
m390_030_020,char_NARRATION,Его неудержимо влекло к тайнам мира людей.,m390_030_020
m390_030_030,char_NARRATION,"Когда Вулканусмон наконец попал в мир людей, он сблизился
с ними: делился знаниями и радовался новой дружбе.",m390_030_030
m390_040_010,char_NARRATION,"Но радость оказалась недолгой. Вулканусмона постигла трагедия:
он попал в плен к людям с гнусными намерениями.",m390_040_010
m390_040_020,char_NARRATION,"Полученные от Вулканусмона знания и мастерство люди обратили
против дигимонов, создав оружие для их уничтожения.",m390_040_020
m390_040_030,char_NARRATION,"В конце концов люди создали огромное человекоподобное оружие
«Убийца гигантов», способное истребить всех дигимонов.",m390_040_030
m390_040_040,char_NARRATION,"Вулканусмона использовали не только как подопытного: в чудовищном
проявлении жестокости его тело соединили с оружием.",m390_040_040
m390_040_050,char_NARRATION,"Вулканусмон искренне поделился знаниями с людьми, надеясь сделать
мир лучше. Но по жестокой иронии сам стал угрозой миру.",m390_040_050
m390_040_060,char_NARRATION,Можно ли было избежать этой трагедии...?,m390_040_060
m390_041_010,char_MIREI,"Странно. После сеансов Акашического видения я всегда ощущала
«сердцебиение» путешествий во времени...",
m390_041_020,char_MIREI,"...но сейчас его нет. Возможно, перемещения во времени не будет.
Хотя крик тёмной тени всё ещё сотрясает Промежуток.",
m390_041_030,char_MIREI,"Она пытается что-то нам сказать...? Может, перед переписыванием
сценария осталось незавершённое дело...?",
m390_050_010,char_SIMMONS,"Мне жаль, но этот дигимон...",m390_050_010
m390_050_020,char_SIMMONS,"Глупцы! Мне стыдно, что я когда-то на них работала!",m390_050_020
m390_050_025,char_PLAYER_M,На этот раз без путешествия во времени...?{next},
m390_050_030,char_SIMMONS,"Лёгок на помине... Похоже, они затеяли очередную глупость.",m390_050_030
m390_050_040,char_TOUDO,"Если бы мне пришлось гадать, я бы сказала, что оружие уже
активировали.",m390_050_040
m390_050_045,char_SIMMONS,"О, доктор Юки... Что бы вы сделали в такой момент?",m390_050_045
m390_050_050,char_PLAYER_M,Мы должны это остановить!{next},
m390_050_051,char_PLAYER_M,Они лишь разожгут ещё больше войн...{next},
m390_050_052,char_PLAYER_M,Мир снова будет разрушен.{next},
m390_050_060,char_SIMMONS,"Человеческая глупость неизлечима... Поэтому нам, людям, самим
придётся за собой убирать.",m390_050_060
m390_050_070,char_SIMMONS,"Если оружие сейчас активируют, это будет не война,
а односторонняя бойня.",m390_050_070
