"string2 0","string 1","string 2","string 3"
"m450_010_004","char_EVERYONE","Ааааааааа!","m450_010_004"
"m450_010_006","char_EVERYONE","Ааааааааа!","m450_010_006"
"m450_010_008","char_JUNOMON","Теперь!","m450_010_008"
"m450_010_010","char_JUPITERMON","Я буду защищать покой Илиады любой ценой. Это не долг
и не судьба.","m450_010_010"
"m450_010_020","char_JUPITERMON","Это моя воля, моя клятва. Будущее нужно брать в свои руки!","m450_010_020"
"m450_010_030","char_JUPITERMON","И пусть имена поддержавших мою клятву воинов — Олимпос XII...","m450_010_030"
"m450_010_040","char_JUPITERMON","...прославятся повсюду! Пусть о них узнают миры далеко
за пределами нашего!","m450_010_040"
"m450_010_050","char_EVERYONE","Рраааааааааа!","m450_010_050"
"m450_020_005","char_YUUTA","...Хм?","m450_020_005"
"m450_020_010","char_YUUTA","Вау! Круто!","m450_020_010"
"m450_020_020","char_YUUTA","Это же фигурка Альфы! Можно подержать её минутку?","m450_020_020"
"m450_020_030","char_YUUTA","Это правда настоящая?","m450_020_030"
"m450_020_040","char_INORI","Ю! Пожалуйста, веди себя прилично, хорошо?","m450_020_040"
"m450_020_041","char_YUUTA","Ох...","m450_020_041"
"m450_020_050","char_INORI","Ой, простите, пожалуйста...","m450_020_050"
"m450_020_060","char_YUUTA","Но Ино-о-ори...!","m450_020_060"
"m450_020_070","char_INORI","Ну же...!","m450_020_070"
"m450_020_071","char_INORI","Ой!","m450_020_071"
"m450_020_080","char_INORI","...А?","m450_020_080"
"m450_020_090","char_INORI","...Ага!","m450_020_090"
"m450_020_100","char_INORI","Хи-хи!","m450_020_100"
