string2 0,string 1,string 2,string 3
r_t0101_0010_0010,char_PASSERBY_MAN,Осталось совсем немного до встречи...,
r_t0101_0010_0020,char_PASSERBY_WOMAN,Хм... Какой из них мне взять?♪,
r_t0101_0010_0030,char_PASSERBY_MAN,"Может быть, я куплю какую-нибудь новую одежду.",
r_t0101_0010_0040,char_PASSERBY_MAN,У нас еще полно времени...,
r_t0101_0010_0050,char_PASSERBY_MAN,"Может быть, я поймаю такси до дома.",
r_t0101_0010_0060,char_PASSERBY_MAN,"Фу, здесь так жарко...",
r_t0101_0010_0070,char_PASSERBY_MAN,Запрещено? Серьезно ?..,
r_t0101_0010_0080,char_PASSERBY_MAN,"Что, мы не можем пройти через...?",
r_t0101_0010_0090,char_PASSERBY_MAN,Этот путь тоже перекрыт...,
r_t0101_0010_0100,char_PASSERBY_MAN,Я начинаю по-настоящему волноваться...,
r_t0101_0010_0110,char_PASSERBY_MAN,"Что, черт возьми, происходит в мире?",
r_t0101_0010_0120,char_PASSERBY_MAN,Я просто хочу вернуться домой...,
r_t0101_0010_0130,char_PASSERBY_MAN,"Это что, Дигимон ?!",
r_t0101_0010_0140,char_PASSERBY_MAN,"Ни в коем случае, Дигимон?!",
r_t0101_0010_0150,char_PASSERBY_WOMAN,Разве это не опасно?..,
r_t0101_0010_0160,char_PASSERBY_MAN,"Что, черт возьми, это за штука?!",
r_t0101_0010_0170,char_PASSERBY_MAN,Косплеишь в Синдзюку? Серьезно?,
r_t0101_0010_0180,char_PASSERBY_MAN,Разве они не похожи?,
r_t0101_0010_0190,char_PASSERBY_MAN,"Привет, красотка. Хочешь пойти куда-нибудь потусоваться?",
r_t0102_0010_0010,char_OPERATOR_M,"До работы еще есть время, так что я вполне могу немного
повеселиться!",
r_t0102_0010_0020,char_OPERATOR_M,Где же была эта станция?,
r_t0102_0010_0030,char_OPERATOR_M,"Я думаю, что заскочу на перерыв в кафе! ♪",
r_t0102_0010_0040,char_OPERATOR_M,Запастись всем этим барахлом - настоящая мука...,
r_t0102_0010_0050,char_OPERATOR_M,Что мне следует сделать сегодня?..,
r_t0102_0010_0060,char_OPERATOR_M,"Эй, у них появился новый десерт! Думаю, я попробую его!",
r_t0102_0010_0070,char_OPERATOR_M,"Привет, красотка... Ты свободна сегодня вечером?",
r_t0102_0010_0080,char_OPERATOR_M,"Что? О, я не знаю...",
r_t0102_0010_0090,char_OPERATOR_M,"Итак, куда же он направился?..",
r_t0102_0010_0100,char_OPERATOR_M,Я... я просто хочу пойти домой...,
r_t0102_0010_0110,char_OPERATOR_M,Я должен догнать остальных членов банды...,
r_t0102_0010_0120,char_OPERATOR_M,"В этом заведении, где подают рамен, всегда полно народу.",
r_t0102_0010_0130,char_OPERATOR_M,Почему он так долго...?,
r_t0102_0010_0140,char_OPERATOR_M,В какую из них я должен сыграть сегодня ...?,
r_t0102_0010_0150,char_OPERATOR_M,Что за безумный протест...,
r_t0102_0010_0160,char_OPERATOR_M,И здесь тоже?,
r_t0102_0010_0170,char_OPERATOR_M,Там что-то случилось?,
r_t0102_0010_0180,char_OPERATOR_M,"Это рисует меня в общих чертах. Возможно, пришло время
уходить...",
r_t0102_0010_0190,char_OPERATOR_M,"Сегодня в театре люди кажутся еще более сумасшедшими, чем
обычно...",
r_t0102_0010_0200,char_OPERATOR_M,Дай мне передохнуть...,
r_t0102_0010_0210,char_OPERATOR_M,"Думаю, мне лучше найти место, где можно убить время...",
r_t0102_0010_0220,char_OPERATOR_M,Путь все еще закрыт?,
r_t0102_0010_0230,char_OPERATOR_M,Что мне следует делать?..,
r_t0102_0010_0240,char_OPERATOR_M,"Что, черт возьми, происходит?",
r_t0102_0010_0250,char_OPERATOR_M,Я просто хочу вернуться домой...,
r_t0102_0010_0260,char_OPERATOR_M,Что происходит?,
r_t0102_0010_0270,char_PASSERBY_WOMAN,Что это с этим парнем?,
r_t0102_0010_0280,char_PASSERBY_WOMAN,Он такой пушистый!,
r_t0102_0010_0290,char_PASSERBY_MAN,Посмотри на эти рога...,
r_t0102_0010_0300,char_PASSERBY_MAN,"Подожди, неужели уже Хэллоуин?",
r_t0102_0010_0310,char_PASSERBY_MAN,Что это за косплей?,
r_t0102_0010_0320,char_CHILD,"Мам, что это?",
r_t0102_0010_0330,char_PASSERBY_WOMAN,Не пялься ...!,
r_t0102_0010_0340,char_PASSERBY_MAN,Это ... Дигимон?,
r_t0102_0010_0350,char_PASSERBY_MAN,Сделай фото! Сделай фото!,
r_t0102_0010_0360,char_PASSERBY_WOMAN,"Эй, это не та самая, из интернета?",
r_t0103_0010_0010,char_PASSERBY_MAN,Куда мне следует пойти ...?,
r_t0103_0010_0020,char_PASSERBY_MAN,Что ее удерживает?..,
r_t0103_0010_0030,char_PASSERBY_MAN,Пора перекусить.,
r_t0103_0010_0040,char_PASSERBY_MAN,Синдзюку слишком велик...,
r_t0103_0010_0050,char_PASSERBY_MAN,"О, чувак! Я отсюда ничего не вижу...",
r_t0103_0010_0051,char_PASSERBY_MAN,Что это за очередь?,
r_t0103_0010_0052,char_PASSERBY_MAN,Здесь слишком много людей!,
r_t0103_0010_0053,char_PASSERBY_MAN,У меня плохое предчувствие по этому поводу...,
r_t0103_0010_0054,char_PASSERBY_MAN,"Возможно, было бы лучше держаться подальше от всего этого...",
r_t0103_0010_0055,char_PASSERBY_MAN,Что-то начинается?,
r_t0103_0010_0056,char_PASSERBY_MAN,"Может быть, я сделаю фото, просто потому что.",
r_t0103_0010_0057,char_PASSERBY_MAN,Что происходит?,
r_t0103_0010_0058,char_PASSERBY_MAN,Это немного жутковато...,
r_t0103_0010_0059,char_PASSERBY_MAN,Я ничего не вижу!,
r_t0103_0010_0060,char_PASSERBY_WOMAN,Что-то случилось?,
r_t0103_0010_0061,char_PASSERBY_MAN,Они снимают фильм?,
r_t0103_0010_0062,char_PASSERBY_MAN,Я выкладываю это в Интернет!,
r_t0103_0010_0063,char_PASSERBY_MAN,Как это работает?,
r_t0103_0010_0064,char_PASSERBY_MAN,Что это?! Что это?!,
r_t0103_0010_0065,char_PASSERBY_MAN,Он просто немного сдвинулся!,
r_t0103_0010_0066,char_PASSERBY_WOMAN,Разве нам не следует держаться на расстоянии?,
r_t0103_0010_0067,char_PASSERBY_MAN,Эта штука огромная!,
r_t0103_0010_0068,char_PASSERBY_MAN,Это безумие!,
r_t0103_0010_0069,char_PASSERBY_WOMAN,Потрясающе!,
r_t0103_0010_0070,char_PASSERBY_MAN,Перестань пихаться!,
r_t0103_0010_0080,char_PASSERBY_WOMAN,Я хочу подойти ближе!,
r_t0103_0010_0090,char_PASSERBY_MAN,"Кажется, я успел кое-что разглядеть...",
r_t0103_0010_0100,char_PASSERBY_WOMAN,Там что-то плавает ...?,
r_t0103_0010_0110,char_PASSERBY_WOMAN,Там происходит что-то странное...,
r_t0103_0010_0120,char_PASSERBY_MAN,Цифра... мон?,
r_t0103_0010_0130,char_PASSERBY_MAN,"Удивлен, что он может вот так разгуливать...",
r_t0103_0010_0140,char_PASSERBY_MAN,"Это что, Дигимон?..",
r_t0103_0010_0150,char_PASSERBY_MAN,Эй! Это Дигимон!,
r_t0103_0010_0160,char_PASSERBY_MAN,"Хмм? Это то, о чем я думаю ...?",
r_t0103_0010_0170,char_PASSERBY_MAN,"Эй, ты там! Есть минутка?",
r_t0103_0010_0175,char_PASSERBY_MAN,Ты игнорируешь меня?,
r_t0103_0010_0180,char_PASSERBY_MAN,Я хочу спросить тебя о Дигимоне!,
r_t0103_0010_0185,char_PASSERBY_MAN,"Эй, давай! Это займет всего секунду!",
r_t0103_0010_0190,char_PASSERBY_MAN,Просто выслушай меня!,
r_t0103_0010_0195,char_PASSERBY_MAN,"Эй, не игнорируй меня! Это больно!",
r_t0103_0010_0200,char_PASSERBY_MAN,Это всего лишь краткое интервью! Давай!,
r_t0103_0010_0210,char_PASSERBY_MAN,"Ты только что сказал ""Дигимон""?",
r_t0103_0010_0220,char_PASSERBY_MAN,Что здесь происходит?,
r_t0103_0010_0230,char_PASSERBY_MAN,Дигимон...?,
r_t0103_0010_0240,char_PASSERBY_MAN,Это какое-то мероприятие?,
r_t0103_0010_0250,char_PASSERBY_MAN,Я уже видел этого человека раньше!,
r_t0104_0010_0010,char_PASSERBY_MAN,"Билетные кассы находятся внизу по этой лестнице, верно?",
r_t0104_0010_0020,char_PASSERBY_WOMAN,Добро пожаловать!,
r_t0104_0010_0030,char_PASSERBY_MAN,"Интересно, заплатили ли мне уже?..",
r_t0104_0010_0040,char_PASSERBY_WOMAN,Моя очередь уже пришла? Я умираю с голоду...,
r_t0104_0010_0050,char_PASSERBY_MAN,"Эй, у них на складе появилась эта новая книга!",
r_t0104_0010_0060,char_PASSERBY_WOMAN,Что я должен получить сегодня? ♪,
r_t0104_0010_0070,char_PASSERBY_MAN,"Итак, где я оставил свои вещи ...?",
r_t0104_0010_0080,char_PASSERBY_MAN,Эта станция слишком сложна ...!,
r_t0104_0010_0090,char_PASSERBY_MAN,Есть видеозаписи каких-то странных явлений...,
r_t0104_0010_0095,char_PASSERBY_MAN,Только не это снова...,
r_t0104_0010_0100,char_PASSERBY_WOMAN,"О, да ладно тебе...",
r_t0104_0010_0110,char_SPECIAL_FORCES,Эвакуируйтесь сюда!,
r_t0104_0010_0120,char_PASSERBY_WOMAN,"Что, черт возьми, происходит?",
r_t0104_0010_0130,char_PASSERBY_MAN,Что это за машина?!,
r_t0104_0010_0140,char_PASSERBY_MAN,"Я хочу точно знать, что происходит!",
r_t0104_0010_0150,char_PASSERBY_WOMAN,"Что они имеют в виду под ""эвакуацией""?..",
r_t0104_0010_0160,char_PASSERBY_MAN,А? Что там насчет жуков?,
r_t0105_0010_0010,char_SPECIAL_FORCES,Сюда!,
r_t0105_0010_0020,char_PASSERBY_MAN,Ч-что это?!,
r_t0105_0010_0030,char_PASSERBY_MAN,Куда мы направляемся?,
r_t0105_0010_0040,char_PASSERBY_MAN,Что это?,
r_t0107_0010_0010,char_PASSERBY_MAN,Скажи нам правду!,
r_t0107_0010_0020,char_PASSERBY_MAN,"Что там, за Стеной?!",
r_t0107_0010_0030,char_PASSERBY_MAN,Чего добивается правительство?!,
r_t0107_0010_0040,char_PASSERBY_MAN,Там есть ... вход с той стороны?,
r_t0107_0010_0050,char_PASSERBY_MAN,Ч-что это было?!,
r_t0107_0010_0060,char_PASSERBY_MAN,Грохот! Что случилось?!,
r_t0107_0010_0070,char_PASSERBY_MAN,Что?! Землетрясение?!,
r_t0107_0010_0080,char_PASSERBY_MAN,Вам нас не одурачить!,
r_t0107_0010_0090,char_PASSERBY_MAN,Дайте нам несколько ответов!,
r_t0107_0010_0100,char_PASSERBY_MAN,"Мы знаем, что ты что-то скрываешь!",
r_t0107_0010_0110,char_PASSERBY_MAN,Правда должна выйти наружу!,
r_t0107_0010_0120,char_PASSERBY_MAN,"Если все в порядке, то зачем это скрывать?!",
r_t0107_0010_0130,char_PASSERBY_MAN,Прислушайтесь к людям!,
r_t0107_0010_0140,char_PASSERBY_MAN,Вот что вызвало рецессию!,
r_t0107_0010_0150,char_PASSERBY_MAN,Просто признайся уже во всем!,
r_t0107_0010_0160,char_PASSERBY_MAN,Ты не можешь вечно скрывать правду!,
r_t0107_0010_0170,char_PASSERBY_MAN,Правительству это не сойдет с рук!,
r_t0107_0010_0180,char_PASSERBY_MAN,Объяснитесь!,
r_t0107_0010_0190,char_PASSERBY_MAN,Мы не собираемся мириться с этим!,
r_t0107_0020_0010,char_PASSERBY_WOMAN,Почему ты ничего не говоришь?!,
r_t0107_0020_0020,char_PASSERBY_MAN,С меня этого почти достаточно!,
r_t0107_0020_0030,char_PASSERBY_MAN,Немедленно прекратите блокаду!,
r_t0107_0020_0040,char_PASSERBY_MAN,Уважайте наши права как граждан!,
r_t0107_0020_0050,char_PASSERBY_MAN,Не игнорируйте нас!,
r_t0107_0020_0060,char_PASSERBY_MAN,Не игнорируйте волю народа!,
r_t0107_0020_0070,char_PASSERBY_MAN,Что случилось с демократией?!,
r_t0107_0020_0080,char_PASSERBY_MAN,Лжецы!,
r_t0107_0020_0090,char_PASSERBY_WOMAN,Верните нам наш город!,
r_t0107_0020_0100,char_PASSERBY_MAN,Политика и город принадлежат народу!,
r_t0107_0020_0110,char_PASSERBY_MAN,Мы заставим правительство действовать!,
r_t0107_0020_0120,char_PASSERBY_MAN,"Сделайте так, чтобы вас услышали, все!",
r_t0107_0020_0130,char_PASSERBY_MAN,"Мы будем сражаться столько, сколько потребуется!",
r_t0107_0020_0140,char_PASSERBY_WOMAN,Ради нашего будущего!,
r_t0107_0020_0150,char_PASSERBY_MAN,Мы можем добиться перемен!,
