string2 0,string 1,string 2,string 3
s110_113_010,char_GANKOOMON,"А, вот и ты. Я так долго ждал.",
s110_113_020,char_JESMON,"Учитель, что это за место?..",
s110_113_030,char_GANKOOMON,"Внутри мой друг. Я подумываю о том, чтобы зайти и проверить, как
у него дела.",
s110_113_040,char_PLAYER_M,"{next}Ты уверен, что так можно?",
s110_113_041,char_PLAYER_M,{next}Что за друг?,
s110_113_042,char_PLAYER_M,{next}Здесь? Не лучшее место...,
s110_113_050,char_GANKOOMON,"Нормально, что у меня есть друг-человек? На самом деле, у меня
много друзей-людей. Без проблем.",
s110_113_060,char_GANKOOMON,"Он человек, но его настоящее имя не совсем понятно. Он
использует всевозможные вымышленные имена.",
s110_113_070,char_GANKOOMON,"Не для обычного человека, но мой друг - один из самых крутых. Я
уверен, что с ним все в порядке.",
s110_113_080,char_GANKOOMON,Мы встретились случайно и каким-то странным образом поладили.,
s110_113_090,char_GANKOOMON,"В конце концов, он стал человеком, которого я знаю лучше всего,
так что я хочу посмотреть, как у него дела.",
s110_113_100,char_GANKOOMON,"Я выберу, на чью сторону встать, в зависимости от результата —
на Альфамона, который оценивает людей, или на короля Драсила, который хочет их защитить.",
s110_113_110,char_GANKOOMON,{next}Ясно.,
s110_113_111,char_GANKOOMON,{next}На этом человеке большая ответственность.,
s110_113_112,char_GANKOOMON,{next}Дикий способ принимать решения.,
s110_113_140,char_GANKOOMON,"Вы с Джесмоном будете свидетелями, представляющими стороны людей
и Дигимонов!",
s110_113_150,char_GANKOOMON,"О. Кстати, не рассказывай об этом моему другу. Я хочу увидеть
его истинную реакцию.",
s110_113_160,char_GANKOOMON,"Мне нравится быть смелым. Наверное, поэтому я так хорошо ладил с
этим человеком.",
s110_113_170,char_GANKOOMON,"Теперь ты понимаешь, что происходит? Тогда пошли.",
s110_113_180,,Уйти?,
s110_113_190,char_PLAYER_M,[Не уходи.],
s110_113_191,char_PLAYER_M,{end}[Уйти.],
s110_113_200,char_GANKOOMON,Теперь вы готовы? Тогда пошли.,
s110_113_210,char_ARCHNEMON,С возвращением! Этот бар стоит 4000 диги в час! Хочешь зайти?,
s110_113_220,char_PLAYER_M,{next}Четыре тысячи «диги»?,
s110_113_221,char_PLAYER_M,"{next}Понятно. Значит, такая у бара тема?",
s110_113_222,char_PLAYER_M,{next}Я лучше уйду.,
s110_113_230,char_ARCHNEMON,"Также известен как ""ИЕН""! Но мы должны сохранить мечту живой, не
так ли? Поэтому мы называем это ""диги"" здесь!",
s110_113_240,char_ARCHNEMON,"Ой, не излагай все это так! Это скучно! ♪",
s110_113_250,char_ARCHNEMON,"Ой, как жаль! Боюсь, ты не можешь уйти, ничего не заказав! ♪",
s110_113_260,char_GANKOOMON,"Извините, что прерываю вас. Нам просто нужно осмотреть бар.",
s110_113_270,char_ARCHNEMON,"Подождите. Что это, какой-то рейд?..",
s110_113_280,char_GANKOOMON,"Не, ничего подобного. Я просто хочу кое-что увидеть... Эй, это
тот парень!",
s110_113_290,char_MISTER,"Ууу! Какой ты хочешь выпить, розовый или золотой? Я открою тот,
который ты захочешь!",
s110_113_300,char_JESMON,"Я не знаком с подобными местами, но... Я чую опасность!",
s110_113_310,char_LADYDEVIMON,"О, как любезно! Но почему бы нам не заказать еще,
после того как ты оплатишь счет?",
s110_113_320,char_MISTER,"Оки-доки! Без проблем! Я самый богатый парень в городе! *
иккинг*",
s110_113_330,char_LADYDEVIMON,Хорошо! Ваш счет на данный момент составляет 48 000 диги! ♪,
s110_113_340,char_MISTER,"Конечно, 48 000 цифровых. Это ерунда—",
s110_113_350,char_MISTER,Подожди. Что?!,
s110_113_360,char_PLAYER_M,{next}Он выглядит удивлённым...,
s110_113_361,char_PLAYER_M,"{next}Он, наверное, не сможет заплатить.",
s110_113_362,char_PLAYER_M,{next}Человечество погибнет...,
s110_113_370,char_GANKOOMON,Он точно не разочаровывает. Дай-ка я с ним немного поговорю.,
s110_113_380,char_GANKOOMON,Это кажется странным... Пойду спрошу его об этом.,
s110_113_390,char_GANKOOMON,"Теперь тебе лучше держаться от этого подальше. Мое решение должно
быть беспристрастным.",
s110_113_400,char_GANKOOMON,Привет всем. Как дела?,
s110_113_410,char_MISTER,"Довольно неплохо... Подожди! Ты тот парень с прошлой ночи! ...
Эм, могу я занять немного денег?",
s110_113_420,char_GANKOOMON,"Ну, это зависит от причины. Для чего тебе это нужно?",
s110_113_430,char_MISTER,С этими барменшами так весело... Я хочу остаться здесь подольше!,
s110_113_440,char_GANKOOMON,"Это так? Ну, сколько у тебя сейчас есть?",
s110_113_450,char_MISTER,2000 ИЕН!,
s110_113_460,char_GANKOOMON,"Это странно. Это действительно все, что у тебя есть?",
s110_113_470,char_GANKOOMON,"На днях ты крупно выиграл на арене благодаря мне. Что случилось
с теми деньгами?",
s110_113_480,char_MISTER,"Ну, я проводил их здесь, но не успел я опомниться, как все
закончилось вот так...",
s110_113_490,char_MISTER,"Эти деньги должны были пойти на обучение моего ребенка... Моя
жена убьет меня!",
s110_113_500,char_MISTER,"Эй, тебе стоит провести фиксированный матч на арене! Мы можем
разделить прибыль. Неплохо, а?",
s110_113_510,char_GANKOOMON,Хм... Это довольно...,
s110_113_520,char_PLAYER_M,{next}Отличный пример ужасного человека.,
s110_113_521,char_PLAYER_M,"{next}Похоже, оправданий у него нет.",
s110_113_522,char_PLAYER_M,{next}Люди всё-таки глупы...,
s110_113_530,char_JESMON,"Идти по пути наслаждения, пока у тебя дома семья... Это довольно
серьезно...",
s110_113_540,char_JESMON,"Учитель, похоже, вы выбрали совершенно неординарного человека
для страшного суда.",
s110_113_550,char_JESMON,"Почему ты выглядишь таким счастливым ?! Вы и все остальное
человечество сейчас в большой беде!",
s110_113_560,char_GANKOOMON,"Что ж, я принял решение. Я узнал все, что мне нужно было знать о
людях.",
s110_113_570,char_JESMON,"П-подождите, мастер! Пожалуйста, передумайте! Знаете, есть
разные люди!",
s110_113_580,char_JESMON,"Этот человек был достаточно любезен, чтобы рассказать мне,
например, как заказать рамен!",
s110_113_590,char_GANKOOMON,"Я знаю это, идиот. Я говорю, что не могу оставить таких слабых
существ на произвол судьбы!",
s110_113_600,char_JESMON,...Что?,
s110_113_610,char_GANKOOMON,"Легко уничтожить человечество, но гораздо интереснее воспитывать
из таких парней настоящих мужчин!",
s110_113_620,char_JESMON,Что?!,
s110_113_630,char_PLAYER_M,{next}Человечество только что спасли?,
s110_113_631,char_PLAYER_M,{next}Забавный у тебя мастер.,
s110_113_632,char_PLAYER_M,{next}Неожиданный оправдательный приговор?,
s110_113_640,char_JESMON,"Очевидно, он был настолько ужасен, что в голове моего хозяина
щелкнул выключатель.",
s110_113_650,char_JESMON,"Что ж, в конце концов, мой хозяин из тех, кто может подружиться
с этим странным парнем...",
s110_113_660,char_JESMON,"Я искренне думаю, что его признали виновным. Правильно ли
поступает мой хозяин здесь ...?",
s110_113_670,char_GANKOOMON,"Люди - такие забавные существа. Я не могу позволить Дигимону
уничтожить их.",
s110_113_680,char_GANKOOMON,"Я помогу тебе, приятель. Давай разрушим это место!",
s110_113_690,char_MISTER,"У-у-у! Давайте сделаем это! Не нужно будет оплачивать мой счет,
если это заведение закроют!",
s110_113_700,char_LADYDEVIMON,"Ни за что! Эти ребята сумасшедшие! Помоги мне, Кузухамон!",
s110_113_710,char_KUZUHAMON,"Джентльмены. Вы ведете себя слишком непослушно. Плохих мальчиков
нужно наказывать, верно?",
s110_113_720,char_KUZUHAMON,"Я вселю в тебя столько страха, что ты больше никогда не будешь
плохо себя вести!",
s110_113_730,char_MISTER,"С-спасибо, что помог мне... Хе-хе...",
s110_113_740,char_GANKOOMON,"Если ты сегодня усвоил урок, пусть он будет заключаться в том,
чтобы никогда больше не пользоваться деньгами своего ребенка.",
s110_113_750,char_MISTER,"Я обещаю. Извини, что спрашиваю, но могу ли я занять денег на
поезд? Я скоро верну тебе деньги...",
s110_113_760,char_GANKOOMON,"Конечно. Но тебе лучше вернуть деньги, или я приду к тебе домой,
чтобы забрать их, когда твоя жена будет дома.",
s110_113_770,char_GANKOOMON,"Фух. Я не ожидаю, что когда-нибудь снова увижу эти деньги, но я
не говорю ему об этом.",
s110_113_780,char_GANKOOMON,"В любом случае, я решил поддержать человечество. А это значит,
что я тоже поддержу ТЕБЯ!",
s110_113_790,char_GANKOOMON,"Что ж, Джесмон, давай перейдем к месту встречи. Я заметил, что в
том бою ты сильно вырос.",
s110_113_800,char_JESMON,"С-спасибо, учитель! Возможно, рамен, который я ел в Акихабаре,
помог!",
s110_113_810,char_GANKOOMON,"Я и не знал, что рамен оказывает такое действие. Полагаю,
человеческая пища обладает непредсказуемой силой.",
