string2 0,string 1,string 2,string 3
f_t0301_0010_0010,char_TOUDO,"Да, это Широки.",f_t0301_0010_0010
f_t0301_0010_0020,char_TOUDO,"Странный свет в переулке торгового района? Поняла. Мы немедленно
всё проверим.",f_t0301_0010_0020
f_t0302_0010_0010,char_MAN,"Что это за люди такие? Чего они суетятся из-за какого-то
транспортного средства на площади?",
f_t0302_0020_0010,char_YOUNG_MAN,"Что с этим транспортом и этими людьми? Никогда их раньше не
видел... Толпа собирается, чтобы поглазеть.",
f_t0302_0040_0010,char_PUBLIC_SECURITY_PERSONNEL,Цель в подземке... Всем занять позиции.,
f_t0302_0040_0020,char_SPECIAL_FORCES,"Сэр! Есть, сэр!",
f_t0302_0050_0010,char_TOUDO,"Слушай, тот мужчина только что...",
f_t0302_0050_0020,char_TOUDO,"Возможно, нам стоит приглядеть за ним.",
f_t0302_0060_0010,char_SUMERAGI,"Да... Он сказал: «Эта организация никогда не меняется!», не так
ли?",
f_t0302_0060_0020,char_SUMERAGI,Неужели он знает про Отдел Аномальных Происшествий...?,
f_t0302_0070_0010,char_WOMAN_LIKE_MOTHER,"Куда это подевались те дети? Я просто надеюсь, что с ними всё в
порядке...",
f_t0302_0080_0010,char_PUBLIC_SECURITY_PERSONNEL,Эта территория сейчас закрыта. Немедленно развернитесь.,
f_t0302_0090_0010,char_AEGIOMON,"Так-с... Мы ещё не проверяли в ту сторону, так что давай
посмотрим.",
f_t0302_0100_0010,char_YOUNG_WOMAN,"Здание столичного правительства Токио такое огромное! Только
посмотри, какое оно высокое!",
f_t0302_0100_0020,char_YOUNG_WOMAN,"А? Что значит «Оно ещё стоит?»? Если бы здание такого размера
рухнуло, здесь был бы хаос.",
f_t0302_0100_0030,char_YOUNG_WOMAN,"Закон и порядок ещё живы здесь, в Японии, знаешь ли! В последнее
время происходит много странного, но всё же...",
f_t0302_0110_0010,char_PUBLIC_SECURITY_PERSONNEL,"Я вас, ребят, помню с прошлого раза. Что вы тут делаете?",
f_t0302_0110_0020,,{next}Мы ищем доктора Симмонс.,
f_t0302_0110_0021,,Ничего особенного.{end},
f_t0302_0110_0030,char_PUBLIC_SECURITY_PERSONNEL,Доктора Симмонс?,
f_t0302_0110_0040,char_PUBLIC_SECURITY_PERSONNEL,Тогда вам лучше убраться.,
f_t0302_0110_0050,char_PUBLIC_SECURITY_PERSONNEL,Вы её здесь не найдёте.,
f_t0302_0110_0060,char_PUBLIC_SECURITY_PERSONNEL,"Хм. Роется в запчастях в Акихабаре в такое время... Кто знает,
что творится в голове у этой дамы?",
f_t0302_0110_0070,char_AEGIOMON,Акихабара?,
f_t0302_0110_0080,char_PUBLIC_SECURITY_PERSONNEL,Ой. Я сказал лишнее...,
