string2 0,string 1
2,"У вас больше не будет ни одного Дигимона, который мог бы сражаться!"
3,Можно заменить только нокаутированного Дигимона.
4,Все враги
5,Все союзники
6,Все
100004,Все враги
100005,Все союзники
100006,Все подразделения
7,Случайный
8,{d0} собирается с силами!
9,{d0} и команда собираются с силами!
10,Враг разбит!
11,Связь в режиме ожидания...
12,Невозможно сбежать!
13,До гибели: {d0} ход(а)...
14,Ваши союзники нанесут удар первыми!
15,Враг наносит удар первым...!
16,Союзник
100016,Союзник
17,Нет доступных целей для атаки...
18,{d0} нокаутирован!
19,Замена: {d0}!
20,Превращение в {d0}!
21,{d0}: деволюция!
100021,{d0}: деволюция!
22,{d0}: поколение понижено на 1 ступень!
100022,{d0}: поколение понижено на 1 ступень!
23,Усиления и ослабления характеристик {d0} поменялись местами!
24,Изменения характеристик {d0} поглощены!
25,Внезапная боль в спине!
