string2 0,string 1
"0",""
"1","Марионетка"
"2","Млекопитающее"
"3","Человек-Зверь"
"4","Волшебник"
"5","Минерал"
"6","Нежить"
"9","Машина"
"10","Огонь"
"11","Мифический Зверь"
"12","Зверь"
"13","Призрак"
"14","Мутант"
"15","Гигантская Птица"
"16","Человек - дракон"
"17","Человек-Зверь"
"19","Зверь - Дракон"
"20","Зверь"
"21","Морское животное"
"23","Мутант"
"24","Пикси"
"25","Андройд"
"26","Воин"
"27","Человек - дракон"
"28","Мутант"
"30","Темный Зверь"
"31","Нежить"
"32","Темный Зверь"
"33","Цератопсианский"
"34","Злой Король"
"35","Злой Король"
"36","Злой Король"
"37","Злой Король"
"38","Злой Король"
"39","Злой Король"
"40","Злой Король"
"41","Марионетка"
"42","Насекомоидный"
"43","Темный Зверь"
"44","Мутант"
"45","Человек-птица"
"46","Человек - дракон"
"47","Злой Дракон"
"48","Святой Дракон"
"49","Человек-Зверь"
"50","Рептилия"
"51","Андройд"
"52","Андройд"
"53","Священный Зверь"
"54","Динозавр"
"55","Зверь"
"56","Растительность"
"57","Пикси"
"58","Растительность"
"59","Андройд"
"60","Андройд"
"61","Марионетка"
"68","Зверь"
"69","Мутант"
"70","Моллюск"
"71","Андройд"
"72","Человек-Зверь"
"73","Пикси"
"74","Андройд"
"75","Божество"
"76","Волшебник"
"77","Священный Зверь"
"78","Темный Дракон"
"79","Мутант"
"80","Божество"
"81","Маленький Дьяволенок"
"82","Мифический Зверь"
"83","Мифический Зверь"
"84","Священный Зверь"
"85","Нежить"
"86","Святой Рыцарь"
"87","Ангел"
"88","Святой Рыцарь"
"90","Рептилия"
"91","Насекомоидный"
"92","Священный Зверь"
"93","Темный Ангел"
"94","Сияющий Дракон"
"95","Рыцарь - Зверь"
"96","Млекопитающее"
"97","Маленький Дьяволенок"
"98","Андройд"
"100","Человек-Зверь"
"101","Высокий Ангел"
"102","Человек-Зверь"
"103","Ракообразное"
"104","Божество"
"105","Святой Рыцарь"
"106","Неопознанный"
"107","Темный Ангел"
"111","Демон"
"112","Зверь"
"113","Мутант"
"114","Мини-Дракон"
"115","Динозавр"
"116","Человек - дракон"
"117","Святая Птица"
"118","Уникальный"
"126","Святой Рыцарь"
"127","Марионетка"
"128","Насекомоидный"
"129","Человек - Водный Зверь"
"130","Древняя Рыба"
"132","Водный"
"133","Водный"
"134","Андройд"
"135","Андройд"
"136","Зверь"
"137","Зверь"
"138","Человек-Зверь"
"139","Зверь"
"140","Человек-Зверь"
"141","Зверь"
"142","Мутант"
"143","Рептилия"
"144","Насекомоидный"
"145","Водный"
"146","Священный Зверь"
"147","Священный Зверь"
"148","Высокий Ангел"
"149","Темный Дракон"
"150","Темный Рыцарь"
"151","Рептилия"
"162","Пикси"
"163","Водный"
"168","Божество"
"169","Божество"
"170","Божество"
"171","Божество"
"172","Божество"
"173","Божество"
"174","Божество"
"175","Человек - дракон"
"176","Божество"
"177","Огонь"
"178","Божество"
"179","Божество"
"180","Божество"
"181","Божество"
"182","Андройд"
"183","Божество"
"184","Божество"
"185","Божество"
"186","Божество"
"187","Божество"
"188","Божество"
"189","Божество"
"190","Зверь"
"191","Зверь - Дракон"
"192","Зверь - Дракон"
"193","Зверь - Дракон"
"194","Машина"
"195","Волшебник"
"196","Мутант"
"197","Гигантская Птица"
"198","Машина"
"199","Темный Зверь"
"208","Дракон"
"209","Дракон"
"210","Небесный Дракон"
"211","Земной Дракон"
"213","Человек - дракон"
"214","Машинный Дракон"
"215","Святой Рыцарь"
"217","Мутант"
"218","Дракон"
"219","Рептилия"
"220","Волшебник"
"222","Темный Зверь"
"223","Темный Зверь"
"224","Волшебник"
"225","Волшебник"
"226","Нежить"
"227","Волшебник"
"228","Составной"
"229","Составной"
"230","Составной"
"231","Священный Зверь"
"232","Божество"
"233","Злой Король"
"234","Зверь"
"235","Зверь"
"237","Волшебник"
"239","Нежить"
"240","Моллюск"
"241","Машина"
"242","Малый"
"301","Андройд"
"302","Андройд"
"303","Насекомоидный"
"304","Насекомоидный"
"305","Насекомоидный"
"306","Насекомоидный"
"307","Птенец"
"308","Гигантская Птица"
"309","Человек-птица"
"310","Священный Зверь"
"311","Марионетка"
"312","Андройд"
"313","Ненормальный"
"314","Плотоядная Растительность"
"315","Серафим"
"316","Слизь"
"317","Слизь"
"320","Слизь"
"321","Малый"
"322","Малый"
"325","Малый"
"326","Динозавр"
"327","Андройд"
"328","Неопознанный"
"329","Древний Дракон"
"331","Древний Зверь"
"338","Древний Мутант"
"341","Машина"
"342","Андройд"
"343","Морской Зверь"
"344","Морской Зверь"
"345","Морской Зверь"
"346","Человек-Зверь"
"347","Водный"
"348","Растительность"
"349","Растительность"
"357","Святой Рыцарь"
"358","Святой Рыцарь"
"359","Пикси"
"361","Млекопитающее"
"363","Динозавр"
"364","Андройд"
"365","Мифический Дракон"
"367","Насекомоидный"
"368","Моллюск"
"369","Бронированный Дракон"
"370","Лед-Снег"
"371","Редкое Животное"
"372","Человек-Зверь"
"373","Зверь"
"374","Идеальный"
"375","Захватчик"
"376","Амфибия"
"377","Волшебник"
"378","Птица"
"379","Растительность"
"380","Мутант"
"382","Святой Рыцарь"
"383","Андройд"
"385","Машина"
"387","Слизь"
"388","Малый"
"389","Амфибия"
"390","Ангел"
"391","Человек-Зверь"
"392","Личинка"
"393","Растительность"
"394","Демон"
"395","Таинственный Зверь"
"396","Зверь - Дракон"
"397","Мифический Дракон"
"398","Машина"
"399","Амфибия"
"400","Святой Дракон"
"401","Насекомоидный"
"402","Андройд"
"403","Человек-Зверь"
"404","Нежить"
"405","Волшебник"
"406","Огонь"
"407","Зверь - Дракон"
"408","Человек - дракон"
"409","Человек-Зверь"
"410","Пикси"
"411","Чужой"
"412","Мутант"
"413","Андройд"
"414","Гигантская Птица"
"416","Святой Рыцарь"
"417","Святой Рыцарь"
"418","Святой Рыцарь"
"419","Древний Человек - Дракон"
"420","Древний Святой Рыцарь"
"421","Супер - Ангел"
"422","Машина"
"423","Насекомоидный"
"424","Древний Зверь"
"425","Божество"
"426","Андройд"
"427","Волшебник"
"428","Марионетка"
"429","Мутант"
"431","Андройд"
"432","Святой Рыцарь"
"434","Андройд"
"435","Бог- Демон"
"437","Слизь"
"438","Малый"
"439","Злой Король"
"440","Божество"
"448","Святой Рыцарь"
"449","Мутант"
"450","Плезиозавр"
"451","Андройд"
"452","Человек - дракон"
"453","Святой Дракон"
"454","Андройд"
"455","Ракообразное"
"456","Мутант"
"457","Нежить"
"458","Мини-Дракон"
"459","Малый"
"461","Нежить"
"463","Машина"
"464","Машина"
"465","Машина"
"466","Малый"
"468","Святой Рыцарь"
"474","Человек - дракон"
"477","Священный Зверь"
"478","Священный Зверь"
"479","Машина"
"484","Насекомоидный"
"485","Насекомоидный"
"486","Пикси"
"487","Минерал"
"488","Мутант"
"489","Неопознанный"
"490","Неопознанный"
"491","Человек-Зверь"
"492","Темный Зверь"
"494","Святой Рыцарь"
"510","Лампочка накаливания"
"512","Лампочка накаливания"
"514","Малый"
