string2 0,string 1
"0","В Бесконечный Мир"
"1","Агент Альфа"
"2","где бы ты ни был (JPN Версия.)"
"4","где бы ты ни был (англ. Вер.)"
"101","Процветающий Центральный город"
"104","Солнечный Зубчатый Лес"
"106","Труднодоступная Факторная область"
"108","Небесные Врата"
"111","Таинственное Пространство"
"112","Мир грез"
"113","Воля Высшего Существа"
"114","Промежуточный театр"
"116","БОЛЬШАЯ ВЫСОТА НАД УРОВНЕМ МОРЯ"
"117","Деревня Восстания"
"119","УЛИЧНАЯ СУЕТА"
"120","Неиспользуемый текст"
"121","Отдых воинов"
"124","В пропасть"
"125","Остров на Другой Стороне"
"126","Неиспользуемый текст"
"127","Неиспользуемый текст"
"128","Неиспользуемый текст"
"129","Вестибюль Парадизского Колизея"
"130","Лесной Праздник"
"133","Тихая Тюрьма"
"201","Наслаждайся Боем"
"202","Городская война"
"204","Борьба с судебными испытаниями"
"205","На заре Абсолютного Зла"
"206","Нисхождение Злого Божества"
"207","Столп зла"
"215","Неиспользуемый текст"
"301","Мой Дом"
"303","НЕБОЛЬШАЯ ПАМЯТЬ"
"305","Аромат тайны"
"306","Краткое Облегчение"
"307","Надвигающаяся Угроза"
"308","Аномальное Пространство"
"309","Состояние: В процессе разработки"
"310","Противостояние с Судьбой"
"311","Силуэт"
"312","ВЫСШИЙ РАЗУМ"
"314","После битвы"
"315","Во время Путешествия"
"317","Время разрушения Мира"
"319","Силуэт (Фортепианная версия)"
"320","Надвигающаяся Угроза"
"321","Высший Разум"
"322","Неиспользуемый текст"
"323","Неиспользуемый текст"
"401","Миссия в процессе выполнения"
"402","Молитва"
"404","В офисе"
"405","Общественная безопасность"
"406","Встреча с Божествами"
"501","Цифровая Планета"
"505","Карточные сражения"
"506","Масляная муха (Из приключения Дигимона)"
"507","храброе сердце (Из приключения Дигимона)"
"508","Цель～Акаи Шугеки～ (Из Digimon Adventure 02)"
"509","Расстаемся! (Из Digimon Adventure 02)"
"510","Самый Большой мечтатель (От Digimon Tamers)"
"511","УДАР!! (От Digimon Tamers)"
"512","ОГОНЬ!! (С границы Дигимона)"
"513","С Завещанием (Из Digimon Frontier)"
"514","Гоуинг! Ухожу! Душа моя!! (От Digimon Savers - Digimon Data Squad)"
"515","Верующий (От Digimon Savers - Digimon Data Squad)"
"516","Небагиба! (Из Digimon Xros Wars - Битв Digimon Fusion Battles)"
"517","МЫ - сердце Xros! (Из Digimon Xros Wars - Digimon Fusion Battles)"
"518","Микакунин Хикоусен (Из приключения Дигимона:)"
"519","Разорвать цепь (Из Digimon Adventure:)"
"520","ФРАКЦИЯ (Из игры Digimon Ghost)"
"521","Первые всадники (Из игры Digimon Ghost)"
"522","Неиспользуемый текст"
"523","Мчащийся через Коулун (От Cyber Sleuth)"
"524","ЦИФРОВАЯ ЛАБОРАТОРИЯ (От Cyber Sleuth)"
"525","Неиспользуемый текст"
"526","Неиспользуемый текст"
"527","Неиспользуемый текст"
"528","ЦИФРОВЫЕ ВОЙНЫ (От Cyber Sleuth)"
"529","Песня Победителя (из Cyber Sleuth)"
"530","Подключайся, прыгай! (От Cyber Sleuth)"
"531","День в определенном детективном агентстве (От Cyber Sleuth)"
"532","Неиспользуемый текст"
"533","ХОУП СТЕР (Из Cyber Sleuth)"
"534","Блуждающий в Майохиге (Из Cyber Sleuth)"
"535","Неиспользуемый текст"
