string2 0,string 1
1,{d0}: нокаут!
2,{d0}: мгновенная смерть!
3,{d0}: {is28}{image(ui_icon_btlStatus_000)} отравление!
4,
5,{d0}: {is28}{image(ui_icon_btlStatus_002)} смятение!
6,{d0}: {is28}{image(ui_icon_btlStatus_003)} паралич!
7,{d0}: {is28}{image(ui_icon_btlStatus_004)} сон!
8,{d0}: {is28}{image(ui_icon_btlStatus_005)} смертельное отравление!
9,
10,{d0}: {is28}{image(ui_icon_btlStatus_007)} хаос!
11,{d0}: {is28}{image(ui_icon_btlStatus_008)} обездвиживание!
12,{d0}: {is28}{image(ui_icon_btlStatus_009)} глубокий сон!
13,"{d0}: {is28}{image(ui_icon_btlStatus_010)} кристаллизация, навыки недоступны!"
14,{d0}: {is28}{image(ui_icon_btlStatus_011)} совместимости обращены!
15,{d0}: {fc9восстановление HP} увеличено!
16,{d0}: {fc9восстановление HP} снижено!
17,{d0}: {fc9восстановление SP} увеличено!
18,{d0}: {fc9восстановление SP} снижено!
19,{d0}: {is28}{image(ui_icon_btlStatus_032)} {fc9макс. HP} увеличено!
20,{d0}: {is28}{image(ui_icon_btlStatus_034)} {fc9макс. SP} увеличено!
21,Туман Жнеца: {d0}: {is28}{image(ui_icon_btlStatus_033)} {fc9макс. HP} снижено!
22,{d0}: {is28}{image(ui_icon_btlStatus_035)} {fc9макс. SP} снижено!
23,{d0}: {is28}{image(ui_icon_btlStatus_014)} {fc9HP} восстанавливаются каждый ход!
24,{d0}: {is28}{image(ui_icon_btlStatus_015)} {fc9SP} восстанавливаются каждый ход!
25,{d0}: {is28}{image(ui_icon_btlStatus_016)} {fc9АТК} повышена!
26,{d0}: {is28}{image(ui_icon_btlStatus_018)} {fc9ЗАЩ} повышена!
27,{d0}: {is28}{image(ui_icon_btlStatus_020)} {fc9ИНТ} повышена!
28,{d0}: {is28}{image(ui_icon_btlStatus_022)} {fc9ДУХ} повышена!
29,{d0}: {is28}{image(ui_icon_btlStatus_024)} {fc9СКР} повышена!
30,{d0}: {is28}{image(ui_icon_btlStatus_026)} {fc9МЕТ} повышена!
31,{d0}: {is28}{image(ui_icon_btlStatus_028)} {fc9УКЛ} повышена!
32,{d0}: {is28}{image(ui_icon_btlStatus_030)} {fc9шанс крита} повышен!
33,{d0}: {is28}{image(ui_icon_btlStatus_017)} {fc9АТК} снижена!
34,{d0}: {is28}{image(ui_icon_btlStatus_019)} {fc9ЗАЩ} снижена!
35,{d0}: {is28}{image(ui_icon_btlStatus_021)} {fc9ИНТ} снижена!
36,{d0}: {is28}{image(ui_icon_btlStatus_023)} {fc9ДУХ} снижена!
37,{d0}: {is28}{image(ui_icon_btlStatus_025)} {fc9СКР} снижена!
38,{d0}: {is28}{image(ui_icon_btlStatus_027)} {fc9МЕТ} снижена!
39,{d0}: {is28}{image(ui_icon_btlStatus_029)} {fc9УКЛ} снижена!
40,{d0}: {is28}{image(ui_icon_btlStatus_031)} {fc9шанс крита} снижен!
41,{d0}: {is28}{image(ui_icon_btlStatus_059)} {fc9сопр. нейтр.} повышено!
42,{d0}: {is28}{image(ui_icon_btlStatus_049)} {fc9сопр. огню} повышено!
43,{d0}: {is28}{image(ui_icon_btlStatus_052)} {fc9сопр. льду} повышено!
44,{d0}: {is28}{image(ui_icon_btlStatus_051)} {fc9сопр. растениям} повышено!
45,{d0}: {is28}{image(ui_icon_btlStatus_050)} {fc9сопр. воде} повышено!
46,{d0}: {is28}{image(ui_icon_btlStatus_053)} {fc9сопр. электричеству} повышено!
47,{d0}: {is28}{image(ui_icon_btlStatus_056)} {fc9сопр. стали} повышено!
48,{d0}: {is28}{image(ui_icon_btlStatus_055)} {fc9сопр. ветру} повышено!
49,{d0}: {is28}{image(ui_icon_btlStatus_054)} {fc9сопр. земле} повышено!
50,{d0}: {is28}{image(ui_icon_btlStatus_057)} {fc9сопр. свету} повышено!
51,{d0}: {is28}{image(ui_icon_btlStatus_058)} {fc9сопр. тьме} повышено!
52,{d0}: {is28}{image(ui_icon_btlStatus_059)} {fc9сопр. нейтр.} повышено!
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,{d0}: {is28}{image(ui_icon_btlStatus_070)} {fc9сопр. нейтр.} снижено!
64,{d0}: {is28}{image(ui_icon_btlStatus_060)} {fc9сопр. огню} снижено!
65,{d0}: {is28}{image(ui_icon_btlStatus_063)} {fc9сопр. льду} снижено!
66,{d0}: {is28}{image(ui_icon_btlStatus_062)} {fc9сопр. растениям} снижено!
67,{d0}: {is28}{image(ui_icon_btlStatus_061)} {fc9сопр. воде} снижено!
68,{d0}: {is28}{image(ui_icon_btlStatus_064)} {fc9сопр. электричеству} снижено!
69,{d0}: {is28}{image(ui_icon_btlStatus_067)} {fc9сопр. стали} снижено!
70,{d0}: {is28}{image(ui_icon_btlStatus_066)} {fc9сопр. ветру} снижено!
71,{d0}: {is28}{image(ui_icon_btlStatus_065)} {fc9сопр. земле} снижено!
72,{d0}: {is28}{image(ui_icon_btlStatus_068)} {fc9сопр. свету} снижено!
73,{d0}: {is28}{image(ui_icon_btlStatus_069)} {fc9сопр. тьме} снижено!
74,{d0}: {is28}{image(ui_icon_btlStatus_070)} {fc9сопр. нейтр.} снижено!
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,{d0} готов к {is28}{image(ui_icon_btlStatus_036)} контратаке против физических атак!
86,{d0} готов к {is28}{image(ui_icon_btlStatus_037)} контратаке против магических атак!
87,"{d0} получил {is28}{image(ui_icon_btlStatus_038)} барьер, отражающий физические атаки!"
88,"{d0} получил {is28}{image(ui_icon_btlStatus_039)} барьер, отражающий магические атаки!"
89,{d0} больше не подвержен {is28}{image(ui_icon_btlStatus_040)} аномалиям состояния!
90,{d0} больше не подвержен {is28}{image(ui_icon_btlStatus_041)} снижению характеристик!
91,{d0} получил {is28}{image(ui_icon_btlStatus_042)} защиту от одного нокаута!
92,{d0} поднял {is28}{image(ui_icon_btlStatus_043)} защиту!
93,{d0}: получаемый {is28}{image(ui_icon_btlStatus_044)} физический урон увеличен!
94,"{d0} получил {is28}{image(ui_icon_btlStatus_044)} барьер, уменьшающий физический урон!"
95,{d0}: получаемый {is28}{image(ui_icon_btlStatus_045)} магический урон увеличен!
96,"{d0} получил {is28}{image(ui_icon_btlStatus_045)} барьер, уменьшающий магический урон!"
97,{d0}: наносимый {is28}{image(ui_icon_btlStatus_044)} физический урон увеличен!
98,{d0}: наносимый {is28}{image(ui_icon_btlStatus_044)} физический урон снижен!
99,{d0}: наносимый {is28}{image(ui_icon_btlStatus_045)} магический урон увеличен!
100,{d0}: наносимый {is28}{image(ui_icon_btlStatus_045)} магический урон снижен!
101,{d0}: сила {is28}{image(ui_icon_btlStatus_046)} физической атаки увеличена!
102,{d0}: сила {is28}{image(ui_icon_btlStatus_047)} магической атаки увеличена!
103,{d0} применил {is28}{image(ui_icon_btlStatus_048)} провокацию!
105,{d0} потерял равновесие от отдачи навыка и не может двигаться!
106,{d0} будет действовать первым в следующем раунде!
107,{d0} будет действовать последним в следующем раунде!
108,{d0} теперь может действовать несколько раз за раунд!
109,{d0} теперь может выполнить несколько действий сразу!
110,
111,
112,{d0}: усиления характеристик сняты!
113,{d0}: ослабления характеристик сняты!
114,"{d0} излечен от {is28}{image(ui_icon_btlStatus_000)} отравления, {is28}{image(ui_icon_btlStatus_002)} смятения, {is28}{image(ui_icon_btlStatus_003)} паралича и {is28}{image(ui_icon_btlStatus_004)} сна!"
115,{d0}: особые аномалии состояния сняты!
116,{d0}: все аномалии состояния сняты!
117,
118,{d0} получил {is28}{image(ui_icon_btlStatus_012)} травму и не может восстанавливать HP!
119,{d0} получил {is28}{image(ui_icon_btlStatus_013)} болезнь и не может восстанавливать SP!
120,{d0} не может двигаться после блокировки заряда!
124,Обратный отсчет до смерти...
125,Обратный отсчет до смерти...
126,{d0}: мотивация потеряна!
132,{d0} дрожит от страха...
133,CP больше нельзя получить!
10003,{d0}: {is28}{image(ui_icon_btlStatus_000)} отравление снято!
10005,{d0}: {is28}{image(ui_icon_btlStatus_002)} смятение снято!
10006,{d0}: {is28}{image(ui_icon_btlStatus_003)} паралич снят!
10007,{d0}: {is28}{image(ui_icon_btlStatus_004)} сон снят!
10008,{d0}: {is28}{image(ui_icon_btlStatus_005)} смертельное отравление снято!
10010,{d0}: {is28}{image(ui_icon_btlStatus_007)} хаос снят!
10011,{d0}: {is28}{image(ui_icon_btlStatus_008)} обездвиживание снято!
10012,{d0}: {is28}{image(ui_icon_btlStatus_009)} глубокий сон снят!
10013,{d0}: {is28}{image(ui_icon_btlStatus_010)} кристаллизация снята!
10014,{d0}: {is28}{image(ui_icon_btlStatus_011)} совместимости больше не обращены!
10015,{d0}: {is28}{image(ui_icon_btlStatus_012)} травма снята!
10016,{d0}: {is28}{image(ui_icon_btlStatus_013)} болезнь снята!
100001,{d0}: нокаут!
100002,{d0}: мгновенная смерть!
100003,{d0}: {is28}{image(ui_icon_btlStatus_000)} отравление!
100004,
100005,{d0}: {is28}{image(ui_icon_btlStatus_002)} смятение!
100006,{d0}: {is28}{image(ui_icon_btlStatus_003)} паралич!
100007,{d0}: {is28}{image(ui_icon_btlStatus_004)} сон!
100008,{d0}: {is28}{image(ui_icon_btlStatus_005)} смертельное отравление!
100009,
100010,{d0}: {is28}{image(ui_icon_btlStatus_007)} хаос!
100011,{d0}: {is28}{image(ui_icon_btlStatus_008)} обездвиживание!
100012,{d0}: {is28}{image(ui_icon_btlStatus_009)} глубокий сон!
100013,"{d0}: {is28}{image(ui_icon_btlStatus_010)} кристаллизация, навыки недоступны!"
100014,{d0}: {is28}{image(ui_icon_btlStatus_011)} совместимости обращены!
100015,{d0}: {fc9восстановление HP} увеличено!
100016,{d0}: {fc9восстановление HP} снижено!
100017,{d0}: {fc9восстановление SP} увеличено!
100018,{d0}: {fc9восстановление SP} снижено!
100019,{d0}: {is28}{image(ui_icon_btlStatus_032)} {fc9макс. HP} увеличено!
100020,{d0}: {is28}{image(ui_icon_btlStatus_034)} {fc9макс. SP} увеличено!
100021,Туман Жнеца: {d0}: {is28}{image(ui_icon_btlStatus_033)} {fc9макс. HP} снижено!
100022,{d0}: {is28}{image(ui_icon_btlStatus_035)} {fc9макс. SP} снижено!
100023,{d0}: {is28}{image(ui_icon_btlStatus_014)} {fc9HP} восстанавливаются каждый ход!
100024,{d0}: {is28}{image(ui_icon_btlStatus_015)} {fc9SP} восстанавливаются каждый ход!
100025,{d0}: {is28}{image(ui_icon_btlStatus_016)} {fc9АТК} повышена!
