string2 0,string 1
2,Мгновенная смерть
3,{is28}{image(ui_icon_btlStatus_000)} Отравление
4,
5,{is28}{image(ui_icon_btlStatus_002)} Смятение
6,{is28}{image(ui_icon_btlStatus_003)} Паралич
7,{is28}{image(ui_icon_btlStatus_004)} Сон
8,{is28}{image(ui_icon_btlStatus_005)} Смертельное отравление
9,
10,{is28}{image(ui_icon_btlStatus_007)} Хаос
11,{is28}{image(ui_icon_btlStatus_008)} Обездвиживание
12,{is28}{image(ui_icon_btlStatus_009)} Глубокий сон
13,{is28}{image(ui_icon_btlStatus_010)} Кристаллизация
14,{is28}{image(ui_icon_btlStatus_011)} Реверс
15,Восстановление ОЗ +
16,Восстановление ОЗ -
17,Восстановление ОС +
18,Восстановление ОС -
19,{is28}{image(ui_icon_btlStatus_032)} Макс. ОЗ +
20,{is28}{image(ui_icon_btlStatus_034)} Макс. ОЗ -
21,{is28}{image(ui_icon_btlStatus_033)} Макс. ОС +
22,{is28}{image(ui_icon_btlStatus_035)} Макс. ОС -
23,{is28}{image(ui_icon_btlStatus_014)} Восстановление ОЗ за ход
24,{is28}{image(ui_icon_btlStatus_015)} Восстановление ОС за ход
25,{is28}{image(ui_icon_btlStatus_016)} АТК +
26,{is28}{image(ui_icon_btlStatus_018)} ЗАЩ +
27,{is28}{image(ui_icon_btlStatus_020)} ИНТ +
28,{is28}{image(ui_icon_btlStatus_022)} ДУХ +
29,{is28}{image(ui_icon_btlStatus_024)} СКР +
30,{is28}{image(ui_icon_btlStatus_026)} МЕТ +
31,{is28}{image(ui_icon_btlStatus_028)} УКЛ +
32,{is28}{image(ui_icon_btlStatus_030)} шанс крита +
33,{is28}{image(ui_icon_btlStatus_017)} АТК -
34,{is28}{image(ui_icon_btlStatus_019)} ЗАЩ -
35,{is28}{image(ui_icon_btlStatus_021)} ИНТ -
36,{is28}{image(ui_icon_btlStatus_023)} ДУХ -
37,{is28}{image(ui_icon_btlStatus_025)} СКР -
38,{is28}{image(ui_icon_btlStatus_027)} МЕТ -
39,{is28}{image(ui_icon_btlStatus_029)} УКЛ -
40,{is28}{image(ui_icon_btlStatus_031)} шанс крита -
41,{is28}{image(ui_icon_btlStatus_059)} Сопр. нейтр. +
42,{is28}{image(ui_icon_btlStatus_049)} Сопр. огню +
43,{is28}{image(ui_icon_btlStatus_050)} Сопр. льду +
44,{is28}{image(ui_icon_btlStatus_051)} Сопр. растениям +
45,{is28}{image(ui_icon_btlStatus_052)} Сопр. воде +
46,{is28}{image(ui_icon_btlStatus_053)} Сопр. электричеству +
47,{is28}{image(ui_icon_btlStatus_056)} Сопр. стали +
48,{is28}{image(ui_icon_btlStatus_055)} Сопр. ветру +
49,{is28}{image(ui_icon_btlStatus_054)} Сопр. земле +
50,{is28}{image(ui_icon_btlStatus_057)} Сопр. свету +
51,{is28}{image(ui_icon_btlStatus_058)} Сопр. тьме +
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,{is28}{image(ui_icon_btlStatus_070)} Сопр. нейтр. -
64,{is28}{image(ui_icon_btlStatus_060)} Сопр. огню -
65,{is28}{image(ui_icon_btlStatus_061)} Сопр. льду -
66,{is28}{image(ui_icon_btlStatus_062)} Сопр. растениям -
67,{is28}{image(ui_icon_btlStatus_063)} Сопр. воде -
68,{is28}{image(ui_icon_btlStatus_064)} Сопр. электричеству -
69,{is28}{image(ui_icon_btlStatus_067)} Сопр. стали -
70,{is28}{image(ui_icon_btlStatus_066)} Сопр. ветру -
71,{is28}{image(ui_icon_btlStatus_065)} Сопр. земле -
72,{is28}{image(ui_icon_btlStatus_068)} Сопр. свету -
73,{is28}{image(ui_icon_btlStatus_069)} Сопр. тьме -
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,{is28}{image(ui_icon_btlStatus_036)} Физическая контратака
86,{is28}{image(ui_icon_btlStatus_037)} Магическая контратака
87,{is28}{image(ui_icon_btlStatus_038)} Физическое отражение
88,{is28}{image(ui_icon_btlStatus_039)} Магическое отражение
89,{is28}{image(ui_icon_btlStatus_040)} Иммунитет к аномалиям
90,{is28}{image(ui_icon_btlStatus_041)} Иммунитет к снижению характеристик
91,{is28}{image(ui_icon_btlStatus_042)} Стойкость
92,{is28}{image(ui_icon_btlStatus_043)} Защита
93,{is28}{image(ui_icon_btlStatus_044)} Получаемый физ. урон +
94,{is28}{image(ui_icon_btlStatus_044)} Получаемый физ. урон -
95,{is28}{image(ui_icon_btlStatus_045)} Получаемый маг. урон +
96,{is28}{image(ui_icon_btlStatus_045)} Получаемый маг. урон -
97,{is28}{image(ui_icon_btlStatus_044)} Наносимый физ. урон +
98,{is28}{image(ui_icon_btlStatus_044)} Наносимый физ. урон -
99,{is28}{image(ui_icon_btlStatus_045)} Наносимый маг. урон +
100,{is28}{image(ui_icon_btlStatus_045)} Наносимый маг. урон -
101,{is28}{image(ui_icon_btlStatus_046)} Физический заряд
102,{is28}{image(ui_icon_btlStatus_047)} Магический заряд
103,{is28}{image(ui_icon_btlStatus_048)} Провокация
105,Обездвижен на следующий ход.
106,Действует первым
107,Действует последним
108,
109,
110,
111,
112,усиления характеристик
113,снижения характеристик
114,аномалии состояния
115,{is28}{image(ui_icon_btlStatus_012)} Травма/{is28}{image(ui_icon_btlStatus_013)} Болезнь
116,Все аномалии состояния
117,
118,{is28}{image(ui_icon_btlStatus_012)} Травма
119,{is28}{image(ui_icon_btlStatus_013)} Болезнь
120,Смятение
