string2 0,string 1,empty 2
char_EX-TYRANOMON,Экс-Тираномон,
char_LUNAMON,Лунамон,
char_LEKISMON,Лексимон,
char_CRESCEMON,Крескемон,
char_GOLEMON,Големон,
char_SKULLSATAMON,Скалл Сатамон,
char_HAGURUMON,Хагурумон,
char_MERAMON,Мерамон,
char_AIRDRAMON,Эйрдрамон,
char_GARURUMON,Гарурумон,
char_BAKEMON,Бакэмон,
char_STARMON,Стармон,
char_AQUILAMON,Аквиламон,
char_STRIKEDRAMON,Страйкдрамон,
char_MINOTAURMON,Минотарумон,
char_DORUGORAMON,ДОРУгорамон,
char_TYUMON,Тюмон,
char_WHAMON,Уэмон,
char_DINOBEEMON,Динобимон,
char_MARINEANGEMON,Маринангемон,
char_RAPTORDRAMON,Раптордрамон,
char_GRADEMON,Градемон,
char_WARGREYMON,Вор Греймон,
char_BIGMAMEMON,Биг Мамемон,
char_SANGLOUPMON,Сулюпмон,
char_MATADRMON,Матадормон,
char_GRANDDRACUMON,Гранд Дракумон,
char_TRICERAMON,Трицерамон,
char_LILITHMON,Лилитмон,
char_BEELZEBUMON,Вельзевумон,
char_BARBAMON,Барбамон,
char_BARBAMON_BIG,Барбамон,
char_LEVIAMON,Левиамон,
char_LEVIAMON_BIG,Левиамон,
char_DEMON,Демон,
char_DEMON_BIG,Демон,
char_LUCEMON_FM,Люцимон: Падший режим,
char_BELPHEMON_RM,Бельфемон: Режим ярости,
char_BELPHEMON_RM_BIG,Бельфемон: Режим ярости,
char_PANDAMON,Пандамон,
char_FUNBEEMON,Фанбимон,
char_BLACKTAILMON,Блэк Теилмон,
char_CATCHMAMEMON,КатчМамаемон,
char_CHRONOMON,Хрономон в священном режиме,
char_CHRONOMON_DESTROY,Хрономон: Режим разрушения,
char_MEGIDRAMON,Мегидрамон,
char_MEGIDRAMON_BIG,Мегидрамон,
char_GODDRAMON,Годдрамон,
char_BANCHOLEOMON,БанхоЛеомон,
char_AGUMON,Агумон,
char_GAWAPPAMON,Гаваппамон,
char_KAMEMON,Камемон,
char_KUDAMON,Кудамон,
char_GEOGREYMON,Гео Греймон,
char_GAOMON,Гаомон,
char_LALAMON,Лаламон,
char_ROSEMON,Роузмон,
char_SUNFLOWMON,Санфлаумон,
char_VOLCAMON,Волканомон,
char_PILEVOLCAMON,ПилеВолканомон,
char_MONZAEMON,Мондзаэмон,
char_GAOGAMON,Гаогамон,
char_PLATINUMNUMEMON,ПлатинаНумемон,
char_NUMEMON,Нумемон,
char_RIZEGREYMON,Райз Греймон,
char_LEOMON,Леомон,
char_LILAMON,Лиламон,
char_MACHGAOGAMON,Мах Гаогамон,
char_NEPTUNEMON,Нептунмон,
char_SHAWUJINMON,Шауджинмон,
char_REPPAMON,Реппамон,
char_GROWMON,Граумон,
char_SUPERSTARMON,Суперстармон,
char_MERCURYMON,Мерукимон,
char_IMPMON,Импмон,
char_HIPPOGRIFFOMON,Гиппогрифомон,
char_GRIFFOMON,Гриффомон,
char_TYILINMON,Цилиньмон,
char_VAMDEMON,Вамдемон,
char_SLEIPMON,Слейпмон,
char_SLEIPMON_BIG,Слейпмон,
char_ANGEMON,Ангемон,
char_OMEGAMON,Омегамон,
char_GUILMON,Гилмон,
char_STINGMON,Стингмон,
char_TAILMON,Тейлмон,
char_DEVIMON,Девимон,
char_SHINEGREYMON,Шайн Греймон,
char_SHINEGREYMON_BIG,Шайн Греймон,
char_MIRAGEGAOGAMON,Мираж Гаогамон,
char_PATAMON,Патамон,
char_PICODEVIMON,Пико Девимон,
char_JUMBOGAMEMON,ДжамбоГамемон,
char_WENDIMON,Вендимон,
char_HOLYANGEMON,Холи Ангемон,
char_TURUIEMON,Туруйемон,
char_GANIMON,Ганимон,
char_SUSANOOMON,Сусаноомон,
char_DUKEMON_CM,Дюкмон: Багровый режим,
char_ARMAGEMON,Армагемон,
char_LADYDEVIMON,Леди Девимон,
char_GOBURIMON,Гобуримон,
char_DORUMON,Дорумон,
char_GOLDNUMEMON,ГолдНумемон,
char_V-MON,Ви-мон,
char_BAOHUCKMON,Бао Хакмон,
char_SAVIORHUCKMON,Сэйвиор Хакмон,
char_VALDURMON,Вальдурмон,
char_CHAOSMONVALDURARM,Хаосмон: Рука Валдура,
char_DUKEMON,Дюкмон,
char_DUKEMON_BIG,Дюкмон,
char_KINGETEMON,КингЕтемон,
char_TYRANTKABUTERIMON,Тиран Кабутеримон,
char_TYRANTKABUTERIMON_BIG,Тиран Кабутеримон,
char_DAGOMON,Дагомон,
char_COELAMON,Целамон,
char_MEGASEADRAMON,Мега Сидрамон,
char_WARUSEADRAMON,ВарСидрамон,
char_MEGAGROWLMON,Мегало Граумон,
char_METALGARURUMON,Метал Гарурумон,
char_CORONAMON,Коронамон,
char_FIRAMON,Фирамон,
char_FLAREMON,Флэремон,
char_LIGHDRAMON,Лайдрамон,
char_WEREGARURUMON,ВерГарурумон,
char_HOLSMON,Холсмон,
char_SHURIMON,Сюримон,
char_DIGMON,Дигмон,
char_SABMARIMON,Субмаримон,
char_PEGASMON,Пегасмон,
char_NEFERTIMON,Нефертимон,
char_ANGEWOMON,Ангевумон,
char_OROCHIMON,Оротимон,
char_CHAOSDUKEMON,ХаосГаллантмон,
char_GABUMON,Габумон,
char_RANAMON,Ранамон,
char_CALAMARAMON,Кальмарамон,
char_CALAMARAMON_ADD,Кальмарамон (Мантия),
char_JUPITERMON,Юпитермон,
char_JUPITERMON_WRATHMODE,Юпитермон: Режим гнева,
char_JUPITERMON_WRATHMODE_SUB,Юпитермон: Режим гнева,
char_JUNOMON,Юномон,
char_JUNOMON_HYSTERICMODE,Юномон: Истерический режим,
char_JUNOMON_HYSTERICMODE_ADD,Юномон: Истерический режим (копья),
char_VENUSMON,Венусмон,
char_APOLLOMON,Аполломон,
char_APOLLOMON_ADD,Аполломон (огненная сфера),
char_MARSMON,Марсмон,
char_CERESMON,Церемон,
char_BLUEMERAMON,Блю Мерамон,
char_VULCANUSMON,Вулканусмон,
char_VULCANUSMON_BIG,Вулканусмон,
char_VULCANUSMON_GUEST_BIG,Вулканусмон,
char_BACCHUSMON,Вакхмон,
char_PLUTOMON,Плутомон,
char_MERVAMON,Мервамон,
char_AEGIOMON,Эгиомон,
char_AEGIOMON_PLAIN_CLOTHES,Эгиомон (уличная одежда),
char_AEGIOMON_NO_CAP,Эгиомон (уличная одежда без головного убора),
char_AEGIOCHUSMON,Эгиохмон,
char_AEGIOCHUSMON_DARK,Эгиохмон: Тёмный,
char_AEGIOCHUSMON_HOLLY,Эгиохмон: Святой,
char_AEGIOCHUSMON_BLUE,Эгиохмон: Синий,
char_AEGIOCHUSMON_GREEN,Эгиохмон: Зелёный,
char_CERESMON_MEDIUM,Сересмон Медиум,
char_RYUDAMON,Рюдамон,
char_GINRYUMON,Джинрюмон,
char_HISYARYUMON,Хисьярюмон,
char_OURYUMON,Оурюмон,
char_GUNDRAMON,Гандрамон,
char_GUNDRAMON_BIG,Гандрамон,
char_BEELSTARMON,Вель Стармон,
char_PUKUMON,Пукумон,
char_CROSSMON,Кроссмон,
char_LOCOMON,Локомон,
char_ARCHNEMON,Арукенимон,
char_DRACOMON,Дракомон,
char_COREDRAMON_GR,Кордрамон (Зелёный),
char_WINGDRAMON,Вингдрамон,
char_GROUNDRAMON,Граундрамон,
char_SLAYERDRAMON,Слейердрамон,
char_BREAKDRAMON,Брейкдрамон,
char_BREAKDRAMON_BIG,Брейкдрамон,
char_EXAMON,Эксамон,
char_EXAMON_SMALL,Эксамон,
char_EXAMON_BIG,Эксамон,
char_DARKSUPERSTARMON,Дарк Суперстармон,
char_COREDRAMON_BL,Кордрамон (Синий),
char_KOTEMON,Котэмон,
char_MUSYAMON,Мусямон,
char_DOBERMON,Добермон,
char_CERBERUMON,Церберумон,
char_CERBERUMON_WEREWOLFMODE,Церберумон: режим оборотня,
char_ZANBAMON,Дзанбамон,
char_ZANBAMON_BIG,Дзанбамон,
char_MUMMYMON,Мумимон,
char_PHARAOHMON,Фараомон,
char_PHARAOHMON_BIG,Фараомон,
char_DELTAMON,Дельтамон,
char_CHIMAIRAMON,Химерамон,
char_MILLENNIUMON,Милленниумон,
char_MILLENNIUMON_BIG,Милленниумон,
char_BAKUMON,Бакумон,
char_SIRENMON,Сиренмон,
char_BELIALVAMDEMON,Маломиотизмон,
char_BEARMON,Бермон,
char_GRYZMON,Гризмон,
char_ASTAMON,Астамон,
char_SKULLBALUCHIMON,Скалл Балухимон,
char_OCTMON,Октомон,
char_CHOROMON,Торомон,
char_CAPROMON,Капримон,
char_MEGADRAMON,Мегадрамон,
char_METALGREYMON,Металл Греймон,
char_TENTOMON,Тентомон,
char_KABUTERIMON,Кабутеримон,
char_ATLURKABUTERIMON,МегаКабутеримон,
char_HERCULESKABUTERIMON,ГеркулесКабутеримон,
char_HERCULESKABUTERIMON_BIG,ГеркулесКабутеримон,
char_PIYOMON,Пиёмон,
char_BIRDRAMON,Бёрдрамон,
char_GARUDAMON,Гарудамон,
char_HOUOUMON,Фениксмон,
char_ETEMON,Этемон,
char_METALETEMON,Металл Этемон,
char_SUKAMON,Сукамон,
char_VEGIMON,Вегимон,
char_SERAPHIMON,Серафимон,
char_DODOMON,Додомон,
char_BOTAMON,Ботамон,
char_POYOMON,Поёмон,
char_WANYAMON,Ванямон,
char_KOROMON,Коромон,
char_TOKOMON,Токомон,
char_GREYMON,Греймон,
char_APOCLYMON,Апокалимон,
char_ANCIENTWISETMON,Древний Вайзмон,
char_GUARDROMON,Гардромон,
char_ANDROMON,Андромон,
char_GOMAMON,Гомамон,
char_IKKAKUMON,Иккакумон,
char_ZUDOMON,Зудомон,
char_VIKEMON,Викемон,
char_SEADRAMON,Сидрамон,
char_PALMON,Пальмон,
char_TOGEMON,Тогэмон,
char_EXSAON_BOSS,Эксамон (босс),
char_LILLYMON,Лиллимон,
char_PLOTMON,Плотмон,
char_TYRANNOMON,Тиранномон,
char_METALTYRANNOMON,МеталлТиранномон,
char_XV-MON,ИксВи-мон,
char_KUWAGAMON,Кувагамон,
