string2 0,string 1
100,ОЗ
101,ОС
102,Ур.
103,В группе
104,Инвентарь
105,На ферме {d0}
106,Группа
107,Инвентарь
108,Ферма {d0}
109,Все
110,Очки агента
111,ТП
112,ЙЕН
113,x
114,－
115,###
116,　
117,Деньги
118,Описание
119,Вкл.
120,Выкл.
121,{d0}%
122,Состояние
123,{d0}/{d1}
124,{fc2{n0}}/{n1}
125,{fc9 {d0}}/{d1}
126,?
127,%
128,Уровень
129,ЙЕН
130,Гости
131,Уровень
132,Боевой состав
133,Гость
134,?
135,Ранг агента
136,{d0}%
137,　
138,Дигимон под анализом
139,Резерв
150,В процессе
151,Выполнено
152,Выбрано
153,Боевой состав
154,Резерв
200,Новый
201,Восстановление
202,Экипировка
203,Материалы
204,Ферма
205,Костюмы/Аксессуары
206,Ценности
207,Карты
208,Навыки
209,Диски навыков
210,Улучшения
211,Особый
400,Купить
401,Продать
402,Магазин
403,№ покупки
404,№ продажи
405,Всего
406,Предметов на продажу
407,Купить
408,Продать
409,Денег требуется
410,Кол-во для создания
411,№ для разбора
412,Материалов нужно
413,Предметы после разборки
414,Создать
415,Разобрать
601,Бой
602,Резерв
603,Инвентарь
604,Основной
605,Второстепенный
606,Ферма
700,　
701,　
702,　
703,　
704,Система
705,　
710,Настройка
712,ДигиБанк
720,Диски навыков
721,Карты
730,Навыки агента
731,Информация агента
733,Костюмы
740,Список миссий
741,Полевой справочник
750,Сохранить
751,Загрузить
752,Настройки
753,Обучение
754,Тренировка
755,Исследование
770,Эволюция
771,Усиление синтезом
772,Конвертация
773,Возврат к данным
800,Эволюция/Деволюция
801,Навыки/Снаряжение
802,Усиление синтезом
803,История эволюций
811,Подтвердить
812,По умолчанию
813,Назад
814,Закрыть
1000,Пусто
1001,Игровое время
1002,Часов
1003,Минут
1004,{n1}/{n2}/{n0}
1005,{n0}:{n1}
1006,{n0}:{n1}
1007,{n1}/{n2}/{n0} {n3}:{n4}
1008,Данные {n0}
1009,Автосохранение
1010,!
1011,Пусто
1012,Повреждено
1013,Данные
1014,{n0}
1015,Локация
1016,Дата
1030,Автосохранение…
1100,Полная карта
1101,Закрыть
1102,Навигация
1110,{d0} {fs30}{d1}
1200,Группа
1213,Пусто
1250,Уровень {d0} и выше
1251,{d0} Макс ОЗ и выше
1252,{d0} Макс ОС и выше
1253,{d0} АТК и выше
1254,{d0} ЗАЩ и выше
1255,{d0} ИНТ и выше
1256,{d0} ДУХ и выше
1257,{d0} СКР и выше
1258,{d0} Талант и выше
1259,{d0}% Связи и выше
1260,{d0} в распоряжении
1261,В списке есть {d0} со связью 100%
1262,Целевой дигимон уже встречался
1263,Условия эволюции
1264,Условия деволюции
1265,OK
1266,Неудача
1267,Выберите дигимона для джогресс-эволюции.
1268,Указанный ниже дигимон будет помещён в бокс после джогресс-деволюции:
1269,Ранг агента {d0} и выше
1270,Возможна эволюция
1271,Эволюция
1272,Эволюция невозможна
1273,Возможна деволюция
1274,Деволюция
1275,Деволюция невозможна
1276,Возможна джогресс-эволюция
1277,Джогресс-эволюция
1278,Джогресс-эволюция невозможна
1279,Возможна джогресс-деволюция
1280,Выбрать как основную цель джогресс-деволюции
1281,Джогресс-деволюция невозможна
1282,Доступна смена режима
1283,Выполнить смену режима
1284,Базовая личность цели совпадает с текущей
1285,Личность {d0}: {d1}
1300,Заказчик
1301,Следующая цель
1302,Награда
1303,Рекомендуемый уровень
1304,Денежная награда
1310,История
1311,Основной
1312,Дополнительный
1313,{fc12Заказчик} {image(ui_digivice_quest_point)} {d0}
1314,Рекомендуемый ур.
1315,Следующая цель
1316,Очки аномалий
1317,{image(ui_icon_guideCheck_0)} {d0}
1318,{image(ui_icon_guideCheck_1)} {d0}
1319,Квест {fc10з}авершён
1400,Сортировка
1401,Получено
1402,Имя
1403,Уровень
1404,Поколение
1405,АТК
1406,ИНТ
1407,ОЗ
1408,ОС
1409,ЗАЩ
1410,ДУХ
1411,СКР
1412,Талант
1413,Получено ОПТ
1414,Прогресс сканирования
1415,Тип
1416,Сила
1417,Размер
1418,Позиция
1419,Элемент
1420,Земля/Море
1421,Происхождение
1422,№
1423,
1424,
1450,Возможна эволюция
1451,Защищено
1452,Экипировано
1453,
1500,
1501,
1704,Специальные навыки
3209,Повышение уровня
3300,Пусто
3400,Пусто
4000,・
4001,　
5000,0
5001,1
5002,2
5003,3
5004,4
5005,5
5006,6
5007,7
5008,8
5009,9
5010,.
5011,－
5020, ({n0}/{n1})
6000,A
6001,B
6002,C
6003,D
6004,E
6005,F
6006,G
6007,H
6008,I
6009,J
6010,K
6011,L
6012,M
6013,N
6014,O
6015,P
6016,Q
6017,R
6018,S
6019,T
6020,U
6021,V
6022,W
6023,X
6024,Y
6025,Z
9014,Элемент:
9015,Атрибут:
9016,Поколение:
9017,Состояние:
9018,{d0}  /  {d1}  /  {d2}
9019,Сопротивление атрибутам
9020,Сопротивление стихиям
10000,Неиспользованный текст
10003,Атрибут
10004,Элемент
10005,Поколение
10006,Другое
10007,Выбрать все/Отменить все
10008,Автовыбор
10009,Синтез
10010,Ур.
10011,ОПТ
10012,ОПТ до следующего ур.
10013,Получено ОПТ
10014,Элемент
10015,Атрибут
10016,Поколение
10017,Состояние
10018,(Макс. ур. {n0})
10019,АТК
10020,ЗАЩ
10021,ИНТ
10022,ДУХ
10023,СКР
10024,Связь
10025,Личность
10026,Талант
10027,История эволюций
10028,Получить навык
10029,Характеристики
10030,Усилено!
10031,(
10032,)
10033,+
10034,-
10035,/
10036,Дополнительные навыки
10037,Эволюция/Деволюция
10038,Эволюция
10039,Деволюция
10040,Исходный дигимон    ур. {n0}
10041,Результат эволюции    ур. {n0}
10042,Помощь
10043,Закрыть
10045,Миссия
10046,Прогресс сканирования: {d0}
10047,Макс
10048,Ур. изучения
10049,Характеристики
10050,Следующий
10052,Экипировка
10053,Особые условия
10054,Физический
10055,ИНТ
10056,Восстановление
10057,Усиление
10058,Ослабление
10059,Специальный
10060, 
10061, 
10068,Выбранный дигимон
10069,( +{n0} )
10070,Доска
10071,Спешиться
10072,Изменения характеристик
10073,Личн. навык
10074,Тип
10075,Только ур. 1
10076,Нет накопительного бонуса
10080,Нет дигимона
10090,Фильтр
10091,Фильтр применён
10092,Мощность (по возрастанию)
10093,Мощность (по убыванию)
10094,Синтез
10095,Восстановить настройки по умолчанию
10096,Применить настройки
10097,Навык получен
10098,Принять
11108,Кол-во
10200,Среда фермы
10201,Дигимон
10202,Команды
10300,Получить предмет
10301,Диалог
10400,Результат деволюции    ур. {n0}
10401,Результат смены режима ур. {n0}
10402,"{fc1Режим можно свободно менять в обе стороны.

Примечание: уровень, личность, талант и связь не меняются.}"
10403,Выполняется одно из следующих условий:
10404,"{fc1Получите} {fc9{d0}} {fc1, чтобы разблокировать смену режима.
Режим можно свободно менять в обе стороны.

Примечание: уровень, личность, талант и связь не изменятся.}"
10500,История диалогов
10501,Перевернуть страницу
10502,Воспроизвести
10503,Назад
10600,Ур. {n0}
10850,Настройки игры
10851,Язык и звук
10852,Графика
10853,Настройка кнопок (клавиатура и мышь)
10854,Настройка кнопок
