string2 0,string 1
digimon_0001_profile,"Марионеточный дигимон, скрывающийся внутри
плюшевой игрушки в форме Тиранномона. Почему
именно этот загадочный дигимон выбрал
плюшевого Тиранномона — неясно, но, вероятно,
он просто спрятался в ближайшей игрушке. Как
бы то ни было, этот плюшевый Тиранномон
обладает всей наступательной и оборонительной
мощью Монзаемона, а значит, обычный дигимон не
может с ним сравниться. Однако, как и
Монзаемон, он не более чем украшение, если
некому дергать его ниточки. Его особый приём — «Претти Атак», исходящее от его
очаровательного тела."
digimon_0002_profile,"Млекопитающий дигимон, напоминающий кролика,
рожденный из слияния данных наблюдения за
луной. Его большие уши могут распознавать
звуки на любом расстоянии. Хотя Лунамон робок,
он часто чувствует себя одиноким и легко
привязывается к другим. Он использует свое
особый приём «Тиринг Шот», чтобы
сконцентрировать энергию в антенне на лбу и
выстрелить в врага красивым шаром воды."
digimon_0003_profile,"Зверолюд-дигимон с потрясающими прыгучими
способностями, который любит дразнить врагов с
помощью быстрых движений. Природа Лекисмона
мимолетна, как фазы луны, и его внешность
несколько мистична. Он использует свое
особый приём «Мун Найт Бомб», чтобы
метать гипнотические пузыри воды, создаваемые
его «Лунными Перчатками», и усыплять врага."
digimon_0004_profile,"Дигимон-волшебник с гибким телом, позволяющим
ему расправляться с врагами грациозными
движениями. Он специализируется на
высокоподвижных стилях боя, и говорят, что его
сила удваивается, когда он купается в лунном
свете. Его особый приём «Лунатик Данс»
зачаровывает противников ритмичными шагами,
позволяя ему приблизиться и нанести двуручный
удар своими оружиями «Нова Луна»."
digimon_0005_profile,"Каменный/минеральный дигимон, обнаруженный при
проведении цифрового анализа древнего
проклятия. На его спине выгравированы
запретные заклинания архаичным шрифтом,
означающие «чума», «проклятие» и «зло»,
по-видимому, предназначенные для защиты от
газа, который он испускает. Примерно 90% его
тела состоит из каменных данных, и он
выживает, связывая свои конечности.
Безэмоциональный дигимон, который действует
только по приказу."
digimon_0006_profile,"Древние руины того, что когда-то было Темным
Ангелом-дигимоном, павшим в Темную Зону в
погоне за силой и разрушением. Злая природа
СкаллСатамона усилилась, и теперь его темные
силы непостижимы. Его ДигиЯдро,
сконцентрировавшее эти темные силы,
превратилось в ДаркКор, что есть только у
дигимонов Злого вида. Особый приём
СкаллСатамона «Нейл Боун» — ужасная техника,
испускающая интенсивный свет из камня на
кончике его посоха, нарушающая и уничтожающая
данные противника."
digimon_0009_profile,"Мутантный машинный дигимон в форме шестеренки.
В его теле также встроены бесчисленные другие
шестерни, которые постоянно вращаются. Если
удалить хотя бы одну шестерню, все остальные
останавливаются, и Хагурумон перестает
функционировать. Хагурумон обладает
способностью заражать врагов компьютерным
вирусом, позволяющим ему их контролировать.
Таким образом, дигимоны с дурными намерениями
часто стремятся использовать силы Хагурумона.
Но поскольку у него нет чувства собственного
«я», он не знает, что его используют для зла.
Его особый приём «Ког Крашер» внедряет
черную шестерню, заряженную компьютерным
вирусом, в тело противника, заставляя его
беситься."
digimon_0010_profile,"Огненный дигимон, тело которого окутано
багровым пламенем. Созданный из Межсетевого
экрана, построенного для защиты от незаконных
вторжений из Интернета, этот дигимон обладает
буйным нравом, отражающим его пылающую
внешность, и стремится испепелить все, к чему
прикасается. Его пламя горит интенсивнее, чем
у его сородичей на Файл Айленд, что делает его
чрезвычайно трудным для приручения дигимоном.
Но даже если приручить, нельзя сказать, когда
Мерамон обратится против своего хозяина.
Мерамон использует свое особый приём
«Бернинг Фист», чтобы заставить свои руки
вспыхнуть, прежде чем ударить врага."
digimon_0011_profile,"Мифический зверь-дигимон с гигантскими
крыльями. Эйрдрамон — исключительно ценный
монстр, считающийся по статусу близким к богу.
Он специализируется на воздушном бою, вызывая
бури своим ревом и создавая колоссальные
вихри, взмахивая крыльями. Хотя по натуре он
довольно свиреп, Эйрдрамон также очень умен.
Тем не менее, обычному Объединителю будет
почти невозможно его контролировать. Эйрдрамон
взмахивает своими огромными крыльями, чтобы
выпустить режущую вакуумную лопасть своим
специальным движением «Спиннинг Нидл»."
digimon_0012_profile,"Зверь-дигимон, похожий на волка, с
бледно-серебристой шерстью. Говорят, что мех
Гарурумона тверд, как легендарный редкий
металл Мифрил, а лезвия, выступающие из его
плеч, достаточно остры, чтобы разрезать все, к
чему они прикасаются. Обладая телом,
закаленным в замерзшей тундре, и свирепым
инстинктом к конфликту, Гарурумон внушает
страх другим дигимонам своей хищной ловкостью
и безошибочной точностью в поражении добычи.
Однако он также невероятно умен и непоколебимо
предан тем, кого признает своим лидером.
Гарурумон использует свое особый приём
«Фокс Файр», чтобы извергнуть поток
интенсивного синего пламени."
digimon_0013_profile,"Призрак-дигимон, накрытый тканью. Бакемон —
злое существо, рожденное из тьмы, и говорят,
что он мгновенно разрушает системы любых
компьютеров, которыми овладевает. То, что
лежит под тканью, — полная загадка, и есть
теории, что тень, отбрасываемая под его телом,
— это черная дыра. Бакемон не обладает боевой
мощью и поэтому предпочитает не атаковать
врагов напрямую. Его особый приём «Дез
Чарм» накладывает мощное проклятие. Те, у кого
нет сильной психической стойкости, умирают за
несколько секунд под его воздействием."
digimon_0014_profile,"Звездообразный дигимон, случайно обнаруженный
в программном обеспечении для анализа планет в
центре космических разработок. Стармон —
космический воин со звездной броней, в
перчатках и ботинках, украшенных звездами. Его
потрепанный желтый шарф говорит о многих
битвах, которые он пережил, а его глаза горят
боевым духом. Его глаза можно использовать
даже более продвинутым образом для гипноза
противников. Этот пылкий дигимон сильно
восхищается храбрым Леомоном. Особый приём Стармона «Метеор Шауэр» обрушивает на
головы врагов маленькие метеоры."
digimon_0015_profile,"Гигантская птица-дигимон с парой огромных
рогов на голове. Известный как «Великий Орел
Пустыни», Аквиламон парит в небе на скорости
Маха и может заметить далеких врагов своим
острым зрением. Его рога демонстрируют
огромную силу, когда Аквиламон пикирует, чтобы
врезаться во врагов. В то время как многие
птичьи дигимоны дико жестоки, Аквиламон ценит
приличия и безоговорочно подчиняется тем, кому
присягнул на верность. Он врезается во врагов
сверху своим специальным движением «Глайд
Хорн»."
