string2 0,string 1
10001,Знакомый Рынок
10101,Хигаси-Синдзюку: Площадь Видения
10102,Хигаси-Синдзюку: Перекресток Кошу-Кайдо
10103,"Синдзюку: Кабукичо, Театральная площадь"
10104,Подземный город Синдзюку: Подземная дорога
10105,Линия Марунонака: Станция Синдзюку
10106,Изысканный Кофе Наказава
10107,Стена надежды
10108,Сейбу-Синдзюку: Перекресток над мостом
10109,Синдзюку: переулок
10110,Станция Синдзюку: Восточные ворота
10111,Метро Синдзюку: Набережная
10121,Подземная Арена Синдзюку
10131,Хигаси-Синдзюку: Площадь Видения
10132,Хигаси-Синдзюку: Перекресток Кошу-Кайдо
10133,"Синдзюку: Кабукичо, Театральная площадь"
10136,Изысканный Кофе Кудабуцу
10138,Сейбу-Синдзюку: Перекресток над мостом
10139,Синдзюку: переулок
10173,Подземная арена Синдзюку: Ринг
10201,Станция Акихабара: Южный выход Электрического городка
10203,Акихабара: переулок
10301,Здание правительства Токио: снаружи
10302,Парк Синдзюку: Площадь у водопада
10303,Парк Синдзюку: Общественный Лес
10304,Ниси-Синдзюку: Проспект Точо Тюо-дори
10401,Синдзюку: Восточный Торговый район
10402,Детективное Агентство Мисоно
10403,Дом Мисоно: Гостиная
10404,Дом Мисоно: Мансарда
10408,Дом Мисоно: Крыша
10409,
13001,Промежуточный театр
13002,Промежуточный театр: Театр
13003,ВИП - Зал
13004,Лифтовой Холл
20000,
20001,
20002,
20003,
20004,
20005,
20006,
20007,
20008,
20009,
20010,
20101,Космический Терминал
20102,Космическая Жара: Зона Красного Пламени
20103,Космическая Жара: Район Жёлтого Пламени
20104,Космическая Жара: Область Белого Пламени
20105,Космический Жар: Тронный зал
20106,Холодный космос: Область Новолуния
20107,Холодный космос: Область Полумесяца
20108,Холодный космос: Область Полумесяца
20109,Холодный космос: Тронный зал
20201,Центральный город
20202,Центральный город: Даунтаун
20203,Центральный город: Трущобы
20204,Водопой Воина
20205,Центральный Остров
20206,Центральная башня: Вход
20207,Центральная башня: Стальной Лабиринт
20208,Центральная башня: Стальная Периферия
20209,Центральная башня: Стальной Лабиринт
20210,Центральная башня: Стальная точка
20211,Центральный город: Трущобы
20212,Центральный город: Трущобы
20213,Центральный город: Трущобы
20215,Центральный город: Трущобы
20216,Странный Подземный ход
20217,Центральный город: Спиральный водный путь
20301,Поверхность Бездны
20302,Пляж Бездны
20303,Глубины Бездны
20304,Святилище Бездны
20305,Святилище Бездны: Тронный зал
20306,Мастер-блимпмон: Гондола
20308,Дом в Лагуне
20401,Зубчатый лес: Равнины Плавучих Островов
20402,Зубчатый лес: Плавучие Скалистые Острова
20403,Зубчатый Лес: Тенистые Леса
20404,Деревня Зубчатых Колес В Лесу
20405,Зубчатый Лес: Пирс из Тенистого Дерева
20406,Зубчатый лес: Святилище
20407,Зубчатый лес: Густой Лес
20501,Фабричный город
20502,Факториальная область
20503,Факториальный туннель: Шахты
20504,Факторный туннель: Шахты рядом с Ядром
20505,Факторное Ядро
20506,Райский Колизей
20507,Райский Колизей: Первое кольцо
20508,Райский колизей: Второе кольцо
20509,Райский колизей: Второе кольцо
