string2 0,string 1
1,Расходные материалы
2,Оборудование
3,Товары для фермы
4,Ключевые предметы
5,Карты
6,/Оборудование
7,/Товар для обмена
8,/Товар для фермы
9,/ Для использования на Дигиферме
10,Бой / поле
11,Используется в бою
12,Используется в поле
13,"
Восстанавливает HP на {d0}."
14,"
Восстанавливает SP на {d0}."
15,Опыт +{d0}
16,Связь +{d0}
17,Возврат на базу * Не используется
18,Переход ко входу в подземелье * Не используется
19,"
Восстанавливает HP на {d0}%."
20,"
Восстанавливает SP на {d0}%."
21,Меняет личность на «{d0}» * Не используется
22,
23,
24,
25,
26,Повышает предел уровня на {d0}
27,Повышает предел характеристик на {d0}
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,Увеличивает прирост HP от тренировки на {d0}
39,Увеличивает прирост SP от тренировки на {d0}
40,Увеличивает прирост ATK от тренировки на {d0}
41,Увеличивает прирост DEF от тренировки на {d0}
42,Увеличивает прирост INT от тренировки на {d0}
43,Увеличивает прирост SPI от тренировки на {d0}
44,Увеличивает прирост SPD от тренировки на {d0}
45,
46,
47,Редкость:
48,★
49,{d0} +{d1}.
50,{d0} -{d1}.
51,{d0} +{d1}%.
52,{d0} -{d1}%.
53,{d0}
54,Сила элемента {d0}
55,Нейтрализует {d0}.
56,Повышает сопротивление {d0}.
57,Стоимость SP навыков элемента {d0}: -{d1}%
58,Получаемый опыт +{d0}.
59,Получаемая связь +{d0}.
60,Шанс выпадения предметов +{d0}%.
61,Получаемые деньги +{d0}%.
62,Восстанавливает {d0}% HP в начале каждого хода.
63,Восстанавливает {d0}% SP в начале каждого хода.
64,Восстанавливает {d0}% HP после победы в бою.
65,Восстанавливает {d0}% SP после победы в бою.
66,Эффекты восстановления HP в бою +{d0}%.
67,Эффекты восстановления SP в бою +{d0}%.
68,Получаемый урон при защите -{d0}%.
69,Шанс {d0}% полностью отменить урон при защите.
70,Восстанавливает HP в размере {d0}% нанесённого урона при атаке.
71,Восстанавливает SP в размере {d0}% нанесённого урона при атаке.
72,Даёт шанс {d0} наложить {d1} при атаке.
73,Атака наносит магический урон.
74,Атака наносит урон от скорости.
75,"Атаки с шансом {d0}% срабатывают
{d1} раз(а)."
76,Стоимость SP -{d0}%
77,"Стоимость SP навыка {d1}%, урон +{d0}%"
78,"Тратит {d0}% SP, чтобы полностью
поглотить урон"
79,"Преобразует {d0}% физического урона
в SP"
80,"Преобразует {d0}% магического урона
в SP"
81,Обнуляет входящий урон ниже {d0}% макс. HP.
82,Критический урон +{d0}%.
83,Эффект пробития +{d0}%
84,Урон по слабости элемента +{d0}%
85,Урон кросс-арта +{d0}%
86,Урон рывка атаки +{d0}%
87,Начальное значение шкалы рывка +{d0}%
88,"Усиливает эффект улучшения на {d0}% во время
пробития."
89,Урон от атрибута {d0}: -{d1}%
90,Накладывает {d1} на пользователя в начале боя.
91,　
92,/
