string2 0,string 1,empty 2
1,Капсула ОЗ I,
2,Капсула ОЗ II,
3,Капсула ОЗ III,
4,Спрей ОЗ I,
5,Спрей ОЗ II,
6,Спрей ОЗ III,
7,Капсула ОС I,
8,Капсула ОС II,
9,Капсула ОС III,
10,Спрей ОС I,
11,Спрей ОС II,
12,Спрей ОС III,
13,Медицинский спрей,
14,Медицинский спрей DX,
15,Средство от отравления,
16,Средство от паники,
17,Средство от паралича,
18,Средство от сна,
19,Средство от пикселизации,
20,Средство от бага,
21,Средство от боли,
22,Средство от болезни,
23,Восстановление характеристик,
24,Мульти-восстановление,
25,Мульти-восстановление DX,
26,Капсула возрождения,
27,Капсула возрождения DX,
28,Второе дыхание,
29,Спрей полного возрождения,
30,Усиление АТК,
31,Усиление ЗАЩ,
32,Усиление ИНТ,
33,Усиление ДУХ,
34,Усиление СКР,
35,Усиление МЕТ,
36,Усиление УКЛ,
37,Усиление КРТ,
38,Мульти-усиление α,
39,Мульти-усиление β,
40,Очко мужества I,
41,Очко мужества II,
42,Очко мужества III,
43,Очко мужества IV,
44,Очко мужества V,
45,Дружба,
46,Дружба DX,
47,Дружба C,
48,Совершенно секретный файл об Аномалиях,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,Устройство смены режима,
57,,
58,,
59,Ускоритель пробуждения таланта,
60,Ускоритель пробуждения таланта DX,
61,Чип усиления ОЗ I,
62,Чип усиления ОЗ II,
63,Чип усиления ОЗ III,
64,Чип усиления ОС I,
65,Чип усиления ОС II,
66,Чип усиления ОС III,
67,Чип усиления АТК I,
68,Чип усиления АТК II,
69,Чип усиления АТК III,
70,Чип усиления ЗАЩ I,
71,Чип усиления ЗАЩ II,
72,Чип усиления ЗАЩ III,
73,Чип усиления ИНТ I,
74,Чип усиления ИНТ II,
75,Чип усиления ИНТ III,
76,Чип усиления ДУХ I,
77,Чип усиления ДУХ II,
78,Чип усиления ДУХ III,
79,Чип усиления СКР I,
80,Чип усиления СКР II,
81,Чип усиления СКР III,
82,Топаз,
83,Жемчужина,
84,Аквамарин,
85,Нефрит,
86,Александрит,
87,Рубин,
88,Сапфир,
89,Изумруд,
90,Бриллиант,
91,Диги-самоцвет,
92,Рисовый шарик в мясной обертке,
93,Набор шашлычков для барбекю,
94,Клубничное парфе,
95,Фруктовый тарт,
96,Лечебный напиток,
99,Врата побега,
101,Дезинфицирующее средство,
102,Успокоительное,
103,Витамины,
104,Напиток для пробуждения,
105,Приготовленное мясо,
106,Свежая рыба,
107,Яблоко,
108,Морковь,
109,Банан,
110,Добавка,
201,,
202,,
203,Цифровой продукт,
204,,
205,,
206,,
207,,
208,,
209,,
210,Цифровое яблоко,
211,Копченый картофель,
212,,
213,ДигиБанана,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,ЦифрОвая рыба,
223,ДигиПротеин,
301,Набор данных: гравий,
302,Фрагмент модели камня,
303,Минеральный текстурный материал,
311,Цилиндрическая модель,
312,Ржавый железный текстурный материал,
313,Железный текстурный материал,
321,Модель кристаллической структуры,
322,Сферическая модель,
323,Небесно-голубой текстурный материал,
331,Модель жидкой формы,
332,Данные анимации жидкости,
333,Темный текстурный материал,
341,Коричневый текстурный материал,
342,Серый текстурный материал,
343,Арочная модель,
351,Текстурный материал под дерево,
352,Модель дерева,
353,Модель листа,
354,Бессмертное яйцо,
361,Фрагмент памяти: Меркуримон,
362,Фрагмент памяти: Вулканусмон,
363,Фрагмент памяти: Нептунемон,
364,Фрагмент памяти: Венусмон,
365,Фрагмент памяти: Бахусмон,
366,Фрагмент памяти: Цересмон,
367,Фрагмент памяти: Марсмон,
368,Фрагмент памяти: Юнономон,
369,Фрагмент памяти: Плутомон,
370,Фрагмент памяти: Аполломон,
371,Фрагмент памяти: Дианамон,
372,Фрагмент памяти: Минервамон,
373,Фрагмент памяти: Юпитермон,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
501,,
502,,
503,,
504,,
505,,
506,,
507,,
508,,
509,,
701,,
702,,
703,,
704,,
705,,
706,,
707,,
708,,
709,,
710,,
711,,
712,,
713,,
714,,
715,,
716,,
717,,
718,,
719,,
720,,
721,Мини-Генератор Электромагнитной сети,
722,,
723,Фрагмент данных Багрового дракона,
724,Фрагмент данных Изумрудной рощи,
725,Фрагмент данных Синей стали,
726,Фрагмент данных Святого света,
727,Батарея,
728,Морская лекарственная трава,
729,Раковина,
730,Фрагмент коралла,
731,Плод Карпоса Хуле,
732,Билет на Кокувамон,
733,Бессрочный пропуск,
734,Специальный ремонтный инструмент,
750,ДигиКросс,
759,Изящная бутылочка,
760,Неиспользуемые тексты,
761,Неиспользуемые тексты,
762,Кольцо Нептунемона,
763,Лекарство Венусмон,
764,Неиспользуемый текст,
765,Перо Парротмона,
766,Ключ-карта фабрики,
767,Драгоценность ПлатинумНумемона,
768,Зеленое водное растение,
769,Розовое водное растение,
770,Желтое водное растение,
771,Фиолетовое водное растение,
772,Неиспользуемый текст,
773,Семя духа,
774,Хромдигизоид,
775,Неиспользуемый текст,
776,Неиспользуемый текст,
777,Неиспользуемый текст,
778,Неиспользуемый текст,
779,Охладитель,
780,Нагреватель,
781,Большой запас металла,
782,Рука фигурки,
783,Неиспользуемый текст,
784,Подвижная фигурка,
785,Неиспользуемый текст,
786,Неиспользуемый текст,
787,Неиспользуемый текст,
788,Неиспользуемый текст,
789,Шарф Нептунемона,
790,Вино мира,
791,Тепловое Семя,
792,Охлажденное Семя,
793,Запоминающее устройство с идентификатором супервизора,
794,Идентификатор лаборатории,
795,Специальная батарея,
796,Специальная батарея B,
797,Прозвище Хироко Сагисаки,
798,Душа Этемона Укусила,
799,Основная свалка доктора Куги,
800,Пустая карточка,
801,По умолчанию,
802,Простая футболка,
803,Цветная футболка ADAMAS,
804,Футболка с пиксельной графикой Дигимон (Агумон),
805,Униформа определенной школы,
806,Костюм Общественной безопасности,
807,Футболка Дигимон с пиксельной графикой (Габумон),
808,Футболка с пиксельной графикой Дигимон (Гомамон),
809,Футболка с пиксельной графикой Дигимон (Гатомон),
810,Футболка Дигимон с пиксельной графикой (Тентомон),
811,Футболка с пиксельной графикой Дигимон (Патамон),
812,Футболка с пиксельной графикой Дигимон (Пиёмон),
813,Футболка с пиксельной графикой Дигимон (Палмон),
814,Футболка для персонала ресторана Ramen,
815,"Сувенирная футболка ""Планетарий""",
816,Сувенирная футболка игрового центра,
817,Футболка для сотрудников Хобби-магазина,
818,Футболка с изображением Артхаусного фильма,
819,Памятная футболка с Изображением Аниме-фильма,
820,Рекламная футболка с аниме,
821,Футболка сотрудника игрового магазина,
822,Винтажная футболка с классическим фильмом,
823,Футболка бургерной,
824,Костюм Cyber Sleuth,
825,Наряд Избранных детей,
826,Купальник,
827,Костюм Дигимона,
828,Футболка TEKKEN 8,
829,Футболка TEKKEN 8 (Лили),
830,Футболка к 45-летию PAC-MAN,
831,Футболка Taiko no Tatsujin,
832,Футболка Tales of Arise (Hootle),
833,Футболка The Idolmaster (Харука Амами),
834,Футболка с логотипом ADAMAS,
835,Футболка DIGIMON BEATBREAK,
901,Дигиментал мужества,
902,Дигиментал дружбы,
903,Дигиментал любви,
904,Дигиментал искренности,
905,Дигиментал знаний,
906,Дигиментал надежности,
907,Дигиментал надежды,
908,Дигиментал света,
909,Дигиментал чудес,
910,Дигиментал судьбы,
911,Дигиментал доброты,
912,Человеческий Дух пламени,
913,Звериный Дух Пламени,
914,Человеческий Дух Света,
915,Звериный Дух Света,
916,Омни Блейд,
1001,Модуль ОЗ I,
1002,Модуль ОЗ II,
1003,Модуль ОЗ III,
1004,Модуль ОС I,
1005,Модуль ОС II,
1006,Модуль ОС III,
1007,Модуль АТК I,
1008,Модуль АТК II,
1009,Модуль АТК III,
1010,Модуль ЗАЩ I,
1011,Модуль ЗАЩ II,
1012,Модуль ЗАЩ III,
1013,Модуль ИНТ I,
1014,Модуль ИНТ II,
1015,Модуль ИНТ III,
1016,Модуль ДУХ I,
1017,Модуль ДУХ II,
1018,Модуль ДУХ III,
1019,Модуль СКР I,
1020,Модуль СКР II,
1021,Модуль СКР III,
1022,Модуль МЕТ I,
1023,Модуль МЕТ II,
1024,Модуль УКЛ I,
1025,Модуль УКЛ II,
1026,Модуль КРТ I,
1027,Модуль КРТ II,
1028,Модуль энергии I,
1029,Модуль энергии II,
1030,Физический модуль I,
1031,Физический модуль II,
1032,Модуль разрушения I,
1033,Модуль разрушения II,
1034,Модуль души I,
1035,Модуль души II,
1036,Модуль бодрости I,
1037,Модуль бодрости II,
1038,Модуль пера I,
1039,Модуль пера II,
1040,Смертельный модуль I,
1041,Смертельный модуль II,
1042,Модуль проклятия I,
1043,Модуль проклятия II,
1044,Атакующий модуль I,
1045,Атакующий модуль II,
1046,Защитный модуль I,
1047,Защитный модуль II,
1048,Защита от огня,
1049,,
1050,Защита от воды,
1051,,
1052,Защита от льда,
1053,,
1054,Защита от растений,
1055,,
1056,Защита от электричества,
1057,,
1058,Защита от земли,
1059,,
1060,Защита от стали,
1061,,
1062,Защита от ветра,
1063,,
1064,Защита от света,
1065,,
1066,Защита от тьмы,
1067,,
1068,Защита от нейтрали,
1069,,
1070,Защита огня и растений,
1071,Защита воды и льда,
1072,Защита электричества и ветра,
1073,Защита земли и стали,
1074,Защита света и тьмы,
1075,,
1076,,
1077,,
1078,,
1079,,
1080,,
1081,,
1082,,
1083,,
1084,,
1085,,
1086,,
1087,,
1088,,
1089,,
1090,,
1091,Ядовитая Стена I,
1092,Стена Паники I,
1093,Парализующая стена I,
1094,Стена Сна I,
1095,Хрустальная Стена,
1096,Стена Жуков,
1097,Стена Смерти,
1098,Стена Статистики,
1099,Многостенный,
1100,,
1101,,
1102,,
1103,,
1104,,
1105,,
1106,,
1107,,
1108,,
1109,,
1110,,
1111,,
1112,,
1113,,
1114,Ядовитая атака,
1115,Паническая атака,
1116,Приступ паралича,
1117,Атака во сне,
1118,Атака Кристалла,
1119,,
1120,,
1121,,
1122,,
1123,,
1124,,
1125,,
1126,,
1127,,
1128,,
1129,Нанесенный Урон Уменьшен,
1130,,
1131,,
1132,,
1133,,
1134,,
1135,,
1136,,
1137,,
1138,,
1139,,
1140,,
1141,,
1142,Известная ошибка,
1143,Украшение Этемона,
1144,Стержни для горячей химической завивки Хироко,
1145,Зависть доктора Куги,
1146,Очарование Клавизанджемона,
1151,Ботинки бога скорости,
1152,Молот Бога-кузнеца,
1153,Красный шарф Морского Бога,
1154,Раковина богини Милосердия,
1155,Бог бочонка с ликером,
1156,Саженец богини Плодородия,
1157,Кастет Бога Войны,
1158,Любовная цепь Королевы-богини,
1159,Плащ Бога Тьмы,
1160,Горящая Стрела Бога Солнца,
1161,Лунный лук Богини Луны,
1162,Двуручный меч Богини-Хранительницы,
1163,Удар Молнии Небесного Бога,
1171,Ядовитая Стена II,
1172,Стена Паники II,
1173,Парализующая Стена II,
1174,Стена для сна II,
1175,Точная Копия Значка Исследователя,
10001,Карта: Экс-Тираномон,
10002,Карта: Лунамон,
10003,Карта: Лексимон,
10004,Карта: Крескемон,
10005,Карта: Големон,
10006,Карта: Скалл Сатамон,
10009,Карта: Хагурумон,
10010,Карта: Мерамон,
10011,Карта: Эйрдрамон,
10012,Карта: Гарурумон,
10013,Карта: Бакэмон,
10014,Карта: Стармон,
10015,Карта: Аквиламон,
10016,Карта: Страйкдрамон,
10017,Карта: Минотарумон,
10019,Карта: ДОРУгорамон,
10020,Карта: Тюмон,
10021,Карта: Уэмон,
10023,Карта: Динобимон,
10024,Карта: Маринангемон,
10025,Карта: Раптордрамон,
10026,Карта: Градемон,
10027,Карта: Вор Греймон,
10028,Карта: Биг Мамемон,
10030,Карта: Сулюпмон,
10031,Карта: Матадормон,
10032,Карта: Гранд Дракумон,
10033,Карта: Трицерамон,
10034,Карта: Лилитмон,
10035,Карта: Вельзевумон,
10036,Карта: Барбамон,
10037,Карта: Левиамон,
10038,Карта: Демон,
10039,Карта: Люцимон: Падший режим,
10040,Карта: Бельфемон: Режим ярости,
10041,Карта: Пандамон,
10042,Карта: Фанбимон,
10043,Карта: Блэк Теилмон,
10044,Карта: КатчМамаемон,
10045,Карта: Хрономон в священном режиме,
10046,Карта: Хрономон: Режим разрушения,
10047,Карта: Мегидрамон,
10048,Карта: Годдрамон,
10049,Карта: БанхоЛеомон,
10050,Карта: Агумон,
10051,Карта: Гаваппамон,
10052,Карта: Камемон,
10053,Карта: Кудамон,
10054,Карта: Гео Греймон,
10055,Карта: Гаомон,
10056,Карта: Лаламон,
10057,Карта: Роузмон,
10058,Карта: Санфлаумон,
10059,Карта: Волкамон,
10060,Карта: ПайлВолкамон,
10061,Карта: Мондзаэмон,
10068,Карта: Гаогамон,
10069,Карта: ПлатинаНумемон,
10070,Карта: Нумемон,
10071,Карта: Райз Греймон,
10072,Карта: Леомон,
10073,Карта: Лиламон,
10074,Карта: Мах Гаогамон,
10075,Карта: Нептунмон,
10076,Карта: Шауджинмон,
10077,Карта: Реппамон,
10078,Карта: Граумон,
10079,Карта: Суперстармон,
10080,Карта: Меркуримон,
10081,Карта: Импмон,
10082,Карта: Гиппогрифомон,
10083,Карта: Гриффомон,
10084,Карта: Цилиньмон,
10085,Карта: Вамдемон,
10086,Карта: Слейпмон,
10087,Карта: Ангемон,
10088,Карта: Омегамон,
10090,Карта: Гилмон,
10091,Карта: Стингмон,
10092,Карта: Тейлмон,
10093,Карта: Девимон,
10094,Карта: Шайн Греймон,
10095,Карта: Мираж Гаогамон,
10096,Карта: Патамон,
10097,Карта: Пико Девимон,
10098,Карта: ДжамбоГамемон,
10100,Карта: Вендимон,
10101,Карта: Холи Ангемон,
10102,Карта: Туруйемон,
10103,Карта: Ганимон,
10104,Карта: Сусаноомон,
10105,Карта: Дюкмон: Багровый режим,
10106,Карта: Армагемон,
10107,Карта: Леди Девимон,
10111,Карта: Гобуримон,
10112,Карта: Дорумон,
10113,Карта: ГолдНумемон,
10114,Карта: Ви-мон,
10115,Карта: Бао Хакмон,
10116,Карта: Сэйвиор Хакмон,
10117,Карта: Вальдурмон,
10118,Карта: Хаосмон: Рука Валдура,
10126,Карта: Дюкмон,
10127,Карта: КингЕтемон,
10128,Карта: Тиран Кабутеримон,
10129,Карта: Дагомон,
10130,Карта: Целамон,
10132,Карта: Мега Сидрамон,
10133,Карта: ВарСидрамон,
10134,Карта: Мегало Граумон,
10135,Карта: Метал Гарурумон,
10136,Карта: Коронамон,
10137,Карта: Фирамон,
10138,Карта: Флэремон,
10139,Карта: Лайдрамон,
10140,Карта: ВерГарурумон,
10141,Карта: Холсмон,
10142,Карта: Сюримон,
10143,Карта: Агумон (чёрный),
10144,Карта: Дигмон,
10145,Карта: Субмаримон,
10146,Карта: Пегасмон,
10147,Карта: Нефертимон,
10148,Карта: Ангевумон,
10149,Карта: Оротимон,
10150,Карта: ХаосДюкмон,
10151,Карта: Габумон,
10162,Карта: Ранамон,
10163,Карта: Кальмарамон,
10168,Карта: Юпитермон,
10169,Карта: Юпитермон: Режим гнева,
10170,Карта: Юномон,
10171,Карта: Юномон: Истерический режим,
10172,Карта: Венусмон,
10173,Карта: Аполломон,
10174,Карта: Марсмон,
10175,Карта: БлэкВарГреймон,
10176,Карта: Церемон,
10177,Карта: Блю Мерамон,
10178,Карта: Вулканусмон,
10179,Карта: Вакхмон,
10180,Карта: Плутомон,
10181,Карта: Мервамон,
10182,Карта: Метал Гарурумон (чёрный),
10183,Карта: Эгиомон,
10184,Карта: Эгиохмон,
10185,Карта: Эгиохмон: Тёмный,
10186,Карта: Эгиохмон: Святой,
10187,Карта: Эгиохмон: Синий,
10188,Карта: Эгиохмон: Зелёный,
10189,Карта: Сересмон Медиум,
10190,Карта: Рюдамон,
10191,Карта: Джинрюмон,
10192,Карта: Хисьярюмон,
10193,Карта: Оурюмон,
10194,Карта: Гандрамон,
10195,Карта: Вель Стармон,
10196,Карта: Пукумон,
10197,Карта: Кроссмон,
10198,Карта: Локомон,
10199,Карта: Арахнемон,
10208,Карта: Дракомон,
10209,Карта: Кордрамон (Зелёный),
10210,Карта: Вингдрамон,
10211,Карта: Граундрамон,
10213,Карта: Слейердрамон,
10214,Карта: Брейкдрамон,
10215,Карта: Эксамон,
10217,Карта: Дарк Суперстармон,
10218,Карта: Кордрамон (Синий),
10219,Карта: Котэмон,
10220,Карта: Мусямон,
10222,Карта: Добермон,
10223,Карта: Церберумон,
10224,Карта: Церберумон: режим оборотня,
10225,Карта: Дзанбамон,
10226,Карта: Мумимон,
10227,Карта: Фараомон,
10228,Карта: Дельтамон,
10229,Карта: Химерамон,
10230,Карта: Милленниумон,
10231,Карта: Бакумон,
10232,Карта: Сиренмон,
