string2 0,string 1
1,Капсула HP I
2,Капсула HP II
3,Капсула HP III
4,HP Спрей I
5,HP Spray II
6,HP Спрей III
7,SP Капсула I
8,Капсула SP II
9,Капсула SP III
10,SP Спрей I
11,SP Спрей II
12,SP Спрей III
13,Медицинский Спрей
14,Медицинский Спрей DX
15,Восстановление после Отравления
16,Восстановление Паники
17,Восстановление после Паралича
18,Восстановление сна
19,Восстановление спрайтов
20,Восстановление ошибок
21,Восстановление После боли
22,Выздоровление от Болезни
23,Восстановление статистики
24,Множественное восстановление
25,DX с несколькими режимами восстановления
26,Капсула Возрождения
27,Капсула Возрождения DX
28,Возрождение Мужества
29,Спрей Для Полного Возрождения
30,Ускорение ATK
31,Усиление Защиты
32,Увеличение INT
33,Повышение SPI
34,Повышение SPD
35,Повышение ACU
36,Повышение уровня EVA
37,Усиление ЭЛТ
38,Мульти-бустер α
39,Мульти-бустер β
40,Пункт I Смелости
41,Пункт II о мужестве
42,Пункт III Мужества
43,Пункт IV Мужества
44,Точка Храбрости V
45,Дружба
46,Дружба DX
47,Дружба С
48,Совершенно секретный файл об Аномалиях
59,Ускоритель Пробуждения Талантов
60,Ускоритель Пробуждения талантов DX
61,Чип HP Augment I
62,HP Augment Chip II
63,HP Augment Chip III
64,Чип для увеличения SP I
65,SP Дополняющий Чип II
66,SP Увеличивающий Чип III
67,Чип расширения ATK I
68,ATK Дополняющий Чип II
69,ATK Дополняющий Чип III
70,Микросхема Расширения определения I
71,Микросхема Расширения определения II
72,Микросхема Расширения определения III
73,ВСТРОЕННЫЙ Чип I
74,ВСТРОЕННЫЙ Чип II
75,ВСТРОЕННЫЙ Чип Расширения III
76,Микросхема расширения SPI I
77,Микросхема расширения SPI II
78,Микросхема расширения SPI III
79,Микросхема расширения SPD I
80,Микросхема расширения SPD II
81,Микросхема расширения SPD III
82,Топаз
83,Жемчужина
84,Аквамариновый
85,Нефрит
86,Александрит
87,Рубин
88,Сапфир
89,Изумрудный
90,Бриллиант
91,Хромированный Дигизоид
92,Рисовый шарик в Мясной оболочке
93,Набор Шампуров для Барбекю
94,Клубничное Парфе
95,Фруктовый Пирог
96,Напиток для оказания медицинской помощи
101,Дезинфицирующее средство
102,Успокоительное
103,Витамины
104,Напиток для пробуждения
105,Обработанное Мясо
106,Свежая Рыба
107,Apple
108,Морковь
109,Банан
110,Дополнение
203,Цифровой продукт
210,Цифровое яблоко
211,Копченый картофель
213,ДигиБанана
222,ЦифрОвая рыба
223,ДигиПротеин
301,Набор Данных по Гравию
302,Фрагмент модели горной породы
303,Минеральная Текстура
311,Цилиндрическая Модель
