string2 0,string 1
key_help_0001, Подтвердить
key_help_0002, Назад
key_help_0003, Переключить страницу
key_help_0004, Сменить сортировку
key_help_0005, Ответить
key_help_0006, Подробности
key_help_0007,Переключить информацию
key_help_0008, Скрыть
key_help_0009, Показать
key_help_0010, ОК
key_help_0011, ДА
key_help_0012, НЕТ
key_help_0013, Авто
key_help_0014, Вручную
key_help_0015, Поменять
key_help_0016, Изменить имя
key_help_0017, Защитить
key_help_0018, Характеристики
key_help_0019, Изменить
key_help_0020, Снять
key_help_0021, Автоматический выбор
key_help_0022, (Удерж.) настройки автовыбора
key_help_0023, Отменить/выбрать все
key_help_0024, Просмотреть навыки
key_help_0025, Удалить данные
key_help_0026, Восстановить настройки по умолчанию
key_help_0027, Проверить
key_help_0028, Просмотреть модель
key_help_0029, Сброс фильтров
key_help_0030, Выбрать
key_help_0031, Воспроизвести
key_help_0032, Далее
key_help_0033, История диалогов
key_help_0034, Показать/скрыть
key_help_0035, Закрыть
key_help_0036, Дигиатака
key_help_0037, Дигирайд
key_help_0038, Сменить дигимона
key_help_0039, Спешиться
key_help_0040, Случайное восстановление
key_help_0041, К меню
key_help_0042, К дигимонам
key_help_0043, Сменить дигимона
key_help_0044, Далее
key_help_0045,　　
key_help_0046, {image({d0})}
key_help_0047, {is{n0}}{image({d0})}
key_help_0048,ui_icon_system_{n0}
key_help_0049,ui_icon_system_{n0}
key_help_0050, Переключить навыки
key_help_0051, Завершить анализ
key_help_0052, Синтезировать
key_help_0053, Автовыбор
key_help_0054, Конвертировать
key_help_0055, Анализировать
key_help_0056, Применить
key_help_0057, Отметить цель
key_help_0058, Ввести имя
key_help_0059, Восстановить значение по умолчанию
key_help_0060, Сменить цели
key_help_0061, Купить
key_help_0062, Продать
key_help_0063, Создать
key_help_0064, Разобрать на части
key_help_0065, Перейти к текущей миссии
key_help_0066, Вернуться в реальный мир
key_help_0067,Переместить в бокс
key_help_0068, Настройка
key_help_0069, Список дигимонов
key_help_0070, Сменить дигимона
key_help_0071, Разместить остров
key_help_0072, Изменить размер
key_help_0073, Закрыть
key_help_0074, Покинуть ферму
key_help_0075, Изменить радиус
key_help_0076, Изменить направление
key_help_0077, Выбрать панель
key_help_0078, Удалить
key_help_0079, Выбрать категорию
key_help_0080, Выбрать предмет
key_help_0081, Быстрое завершение
key_help_0082, Проверить личность
key_help_0083, Заменить
key_help_0084, Не заменять
key_help_0085, Выйти
key_help_0086, Избранное
key_help_0087, Просмотр карты
key_help_0088, Призвать
key_help_0089, Получить выбранные карты
key_help_0090, Дигивайс
key_help_0091, Принять вызов
key_help_0092, Обучить
key_help_0093, Целевой дигимон
key_help_0094, Подробности обучения
key_help_0095, Подробности миссии
key_help_0096, Управление дисками навыков
key_help_0097, Экипировать
key_help_0098, Управление снаряжением
key_help_0099, Оседлать
key_help_0100, Далее
key_help_0101, Выключить авто
key_help_0102, Эволюция
key_help_0103, Навыки агента
key_help_0104, Быстрый доступ
key_help_0105, Закрыть Дигивайс
key_help_0106, Изменить язык
key_help_0107, Согласиться
key_help_0108, Отклонить
key_help_0109, Закрыть
key_help_0110, {pf(Дополнения/Дополнения/Загружаемый контент/Загружаемый контент)}
key_help_0111, Просмотреть
key_help_0112, Приостановить
key_help_0113, Двигаться
key_help_0114, Камера
key_help_0115, Осмотреть/поговорить
key_help_0116, Пиксельная модель
key_help_0117, Обычная модель
key_help_0118, Продолжить тренировку
key_help_0119, Снаряжение/навыки
key_help_0120, Масштабирование
key_help_0121, Перенести
key_help_0122,Открыть магазин
key_help_0123, Вернуться в главное меню
key_help_0124, Купить товар
key_help_0125,Снять всё
key_help_0126, Режим просмотра
key_help_0127, Выбрать ячейку
key_help_0128,Вернуть в бокс
key_help_0129, Выбрать остров
key_help_0130, Вращать
key_help_0131, Сведения о дигимоне
key_help_0132, Настройки дигимона
key_help_0133, Просмотреть правила
key_help_0134,Фоторежим
key_help_0135,Отдалить
key_help_0136,Приблизить
key_help_0137,Показать/скрыть персонажа
key_help_0138,Показать/скрыть интерфейс
key_help_0139,Показать эволюции
