string2 0,string 1
10010,Направляйтесь к координатам расследования.
10020,Исследуйте Стену Надежды.
10030,Проникнуть за Стену Надежды.
10040,Направляйтесь к координатам спасения. * Не используется
10050,Направляйтесь к координатам спасения.
10060,Перейдите к координатам спасения. * Не используется
10070,Разрушьте преграду с помощью ДигиАтаки {r2}.
10080,Направляйтесь к координатам спасения.
10090,Бегите от гигантского Дигимона.
20010,Поговорите с девушкой.
20020,Осмотрите дверь.
20030,Разрушь дверь с помощью Диги-атаки {r2}.
20040,Направляйтесь к зданию Столичного правительства Токио.
20050,Направляйтесь к зданию Столичного правительства Токио.
20060,Поищи выход на крышу.
20070,Поищите другой лифт.
20080,Поищите путь к лифту.
20083,Используй Анализ {l2} и атакуй слабое место стены.
20085,Заходи в лифт.
20090,Поднимайся на крышу.
20095,"Используй Анализ {l2}, чтобы найти путь вперёд."
20100,Ищите путь через разрушенный проход.
20110,Пересеките разрушенный проход.
20120,Поднимайся на крышу.
30010,Преследуйте тёмную тень.
40010,"Исследуйте парк, в котором вы внезапно появились."
40020,"Преследуйте человека, который ушел."
40030,Осмотрите дверь в подземелье.
40040,Войдите в подземелье вместе с этим человеком.
40050,Отправляйся поглубже под землю.
40060,"Найдите девушку, которой нужна защита."
50010,Иди к Инори Мисоно.
50020,Иди в кабинет отца Инори.
50030,Отправляйтесь в точку метро Синдзюку.
50040,Идите к точке на перекрестке Над мостом.
50050,Исследуйте Третье Новое правительственное здание.
50060,Отправляйтесь в точку в парке Синдзюку.
50070,Исследуйте чтение в переулке Кабукичо.
50080,Поговорите с секретаршей в приемной.
50090,Покиньте Промежуточный театр.
50100,Вернитесь на чердак в доме Мисоно.
50110,Посмотри на свою новую одежду.
50120,Отдохни на диване.
60010,Направляйтесь в гостиную.
60020,Поговори с Инори Мисоно.
60030,Иди встреться с Хироко.
60040,Преследуйте загадочного Дигимона.
60050,"Используйте панель, чтобы перекрыть путь к отступлению."
60060,Преследуйте загадочного Дигимона.
60070,Приблизьтесь к таинственному Дигимону.
60080,Преследуйте убегающего таинственного Дигимона.
60090,Снова преследуйте убегающего таинственного Дигимона.
70010,Направляйтесь в гостиную.
70020,Отправляйтесь в парк Синдзюку.
70030,Преследуйте Эгиомона и детей.
70040,Отдыхай дома.
80010,Направляйтесь в гостиную.
80020,Сходите поиграть в парк.
80030,Ищите следы пропавших детей.
80040,Ищите следы пропавших детей.
80050,Ищите следы пропавших детей.
80060,Ищите детей под землей.
80061,Направляйтесь к канализационному люку у правительственного здания.
80062,Подойдите к другой стороне закрытой двери.
80063,Идите по следам детей.
