"string2 0","string 1"
"10","АДАМАС"
"20","Признаки Аномалии"
"30","Картина после конца"
"40","Воссоединения Приносят Неприятности"
"50","Незнакомец Во Времени"
"60","Резонирующие Мысли"
"70","Гений или Псих?"
"80","Клятва Данная на Звездном Небе."
"90","Рапсодия Синдзюку"
"100","Промежуточное Звено"
"110","Истина Рожденная из Яйца"
"120","В Неизведанный Мир"
"130","Грохот под Землей"
"140","Тучи Сгущаются"
"150","Назревает Конфликт"
"160","Аудиенция у Оракула"
"170","На Берегах Другого Мира"
"180","Крик Древа Мира"
"190","Война!"
"200","Начало Конца"
"210","Оборона Ниши-Синдзюку"
"220","Откровение в Белом Свете"
"230","Снова: Незнакомец во Времени"
"235","8 Лет"
"240","На Мою Жизнь"
"250","Метаморфозы"
"260","Красные Моря и Сожаление"
"270","Особая Точка"
"280","Обещание на Шарфе"
"285","Аномалии класса S"
"290","Слишком Поздно"
"300","Вражда Титанов"
"310","Разрушение Любого Порядка"
"320","Райский Колизей"
"330","Насилие от Людей"
"340","Куда Делась Ленточка?"
"350","Желание Бога Скорости"
"360","Трон Подземелья"
"370","Отсутствие из за Ремонта II"
"380","Отсутствие из за Ремонта I"
"390","От Глупости Нет Лекарства"
"400","Война Огня и Льда"
"410","Безумный Оракул"
"420","Круговорот Времени"
"430","Часики Тикают"
"440","Последняя Битва за Естественный Порядок"
"450","В Далекий Далекий Мир"
