string2 0,string 1
"minimap_marker_name_0010","Цель"
"minimap_marker_name_0020","Текущее местоположение"
"minimap_marker_name_0021","Враг"
"minimap_marker_name_0030","Миссия"
"minimap_marker_name_0031","Миссия"
"minimap_marker_name_0032","Миссия"
"minimap_marker_name_0040","Магазин"
"minimap_marker_name_0041","Магазин Фермерских Товаров"
"minimap_marker_name_0042","Магазин Дисков с навыками"
"minimap_marker_name_0043","Магазин товаров"
"minimap_marker_name_0044","Магазин Оборудования"
"minimap_marker_name_0045","Магазин Открыток"
"minimap_marker_name_0046","Магазин Костюмов"
"minimap_marker_name_0047","Ремесленный Цех"
"minimap_marker_name_0048","Магазин загрузок"
"minimap_marker_name_0050","Карточная битва"
"minimap_marker_name_0051","Карточная битва (Выиграна)"
"minimap_marker_name_0060","Шкаф"
"minimap_marker_name_0070","Стоянка такси"
"minimap_marker_name_0080","Локомотивная станция"
"minimap_marker_name_0090","Порт Блимпмона"
"minimap_marker_name_0100","Области изменения"
"minimap_marker_name_0110","Летающий порт Дигимон"
"minimap_marker_name_0120","Цифровая обработка данных"
"minimap_marker_name_0130","Лестница"
"minimap_marker_name_0140","Лифт"
"minimap_marker_name_0150","Дверь"
"minimap_marker_name_0160","Промежуточный театр"
"minimap_marker_name_0170","Внешнее подземелье"
"minimap_marker_name_0175","Внешнее подземелье (Очищено)"
"minimap_marker_name_0180","Сменить этаж"
"minimap_marker_name_0190","Менять Местоположение"
"minimap_marker_name_0200","База"
"minimap_marker_name_0210","Поезд"
"minimap_marker_name_0220","Мирей"
"minimap_marker_name_0221","Дверь истины"
"minimap_marker_name_0230","Арена"
