string2 0,string 1
0,–
1,Увеличивает прирост {fc7АТК} и {fc7ОС}.
2,Увеличивает прирост {fc7АТК} и {fc7СКР}.
3,Увеличивает прирост {fc7АТК} и {fc7ЗАЩ}.
4,Увеличивает прирост {fc7АТК} и {fc7ОЗ}.
5,Увеличивает прирост {fc7ДУХ} и {fc7ЗАЩ}.
6,Увеличивает прирост {fc7ДУХ} и {fc7ИНТ}.
7,Увеличивает прирост {fc7ДУХ} и {fc7ОС}.
8,Увеличивает прирост {fc7ДУХ} и {fc7ОЗ}.
9,Увеличивает прирост {fc7ЗАЩ} и {fc7ОЗ}.
10,Увеличивает прирост {fc7ЗАЩ} и {fc7ОС}.
11,Увеличивает прирост {fc7ЗАЩ} и {fc7АТК}.
12,Увеличивает прирост {fc7ЗАЩ} и {fc7ДУХ}.
13,Увеличивает прирост {fc7ИНТ} и {fc7СКР}.
14,Увеличивает прирост {fc7ИНТ} и {fc7ДУХ}.
15,Увеличивает прирост {fc7ИНТ} и {fc7ОС}.
16,Увеличивает прирост {fc7ИНТ} и {fc7ОЗ}.
