string2 0,string 1
1,"Пропадают футболки! Это аномальное явление?
Приходите в офис отца Инори, и я введу вас в курс
Дела!"
2,"Я получил загадочное сообщение и пытаюсь
разобраться в нем. Приходите в офис отца Инори,
Чтобы помочь мне!"
3,"Появилась информация о загадочном явлении в парке
Синдзюку! Давайте встретимся на площади водопадов
В парке!"
11,"Так море очистилось... Но мне интересно, как сейчас
Дела у наших друзей..."
12,Неиспользованный
13,"У меня осталось немного синего хромдигизоидного металла,
и я хочу сделать из него кое-что клевое! Но мне нужно еще
несколько материалов..."
14,Неиспользованный
15,Неиспользованный
16,Неиспользованный
18,"Теперь я здесь совсем одна. У меня возникли кое-какие
Проблемы, не могли бы вы приехать на Абисс Бич и помочь?"
19,"Помогите! Я заперт в тюрьме Святилища Бездны!
Я надеюсь, что кто-нибудь поймет это!"
24,"Ой... На меня напали пчелы... Что за день! Я буду ждать
Тебя на пирсе Шейд-Три. Ты можешь прийти поговорить?"
26,Неиспользуемый текст
27,Неиспользуемый текст
29,"Присутствие группы сделало бы вечеринку более
оживленной. Мне нужна ваша помощь. Я буду ждать
вас в Деревне Шестерёнчатой Рощи."
30,"Шестеренчатый Лес может оказаться в опасности из-за
Этих пчел! Пожалуйста, приезжайте в деревню!"
31,"Кажется, в эти дни в деревне Шестерёнчатой Рощи
много веселой суеты, но я не могу покинуть святилище,
Поэтому боюсь, что что-то упускаю..."
32,"Мы защищаем покой леса! Мы собираемся начать наше
патрулирование с равнин Плавучего острова!"
33,"Мы, братья, снова сделаем лес мирным! Эти
оставшиеся титаны все равно что исчезли с Плавучих
Каменных островов!"
38,"У меня к тебе большая просьба. Не мог бы ты зайти в
Магазин, когда будешь в Центральном городе?"
39,"Мой драгоценный молот в беде... Без него мне не жить!
Приходи в магазин в Центральном городе. Очень тебя прошу!"
40,Неиспользуемый текст
41,"Мой напарник, следящий за Центральной башней, не вернулся.
Мы должны были встретиться в центре города. Он опять отлынивает?"
42,"Титаны мешают мне добыть перо Пэрротмона!
Может, стоит съездить в центр города
и пересмотреть план."
43,"В этот раз мы точно добудем драгоценность ПлатинумНумемона!
Кто хочет с нами, встречаемся в центре Центрального города!"
44,Неиспользуемый текст
45,Неиспользуемый текст
46,Неиспользуемый текст
47,Неиспользуемый текст
48,Неиспользуемый текст
49,Неиспользуемый текст
50,Неиспользуемый текст
52,Неиспользуемый текст
53,Неиспользуемый текст
55,"Хм... Может ли любовь и правда изменить человека?.. Хочешь
поговорить? Я буду ждать в Деревне восстания."
56,"Хм... Я все еще не понимаю... Я хочу поговорить об этом
еще немного, так что приезжай в Деревню Восставших."
57,"Это чувство... Я должен что-то с этим сделать. Приходи,
Встретимся в Деревне Восставших."
59,"Я хочу отправиться в путешествие с Блимпмоном. Нельзя же
вечно оставаться в Центральном городе!"
60,"Я так больше не могу... Мне нужен твой совет.
Буду ждать в Центральном городе."
61,Неиспользуемый текст
62,Неиспользуемый текст
63,Неиспользуемый текст
70,Неиспользуемый текст
71,Неиспользуемый текст
72,"Мне удалось забронировать столик у этого знаменитого
предсказателя. Пойдем вместе! Спеши в кофейню на
Перекрестке Кошу-Кайдо!"
73,Неиспользуемый текст
74,Неиспользуемый текст
77,"Производственная линия Факториального города не работает...
Нам не хватает материалов и хромдигизоида..."
78,"БЛИМПМОН ПОТЕРПЕЛ КРУШЕНИЕ В ФАКТОРИАЛЬНОМ ГОРОДЕ
И НУЖДАЕТСЯ В РЕМОНТЕ."
82,"Я раздобыл деталь для потрясающей коллекционной фигурки,
но мне нужен совет. Приходите ко мне в Факториальное ядро."
83,Неиспользуемый текст
84,Неиспользуемый текст
87,"Я знаю, они не привыкли к этому миру, но я не думал,
что нам придется прибегать к помощи людей... Ну что ж.
Пожалуйста, приходите в ВИП-зал театра."
88,"Загляни в VIP-зал. Мне нужно попросить тебя
об одолжении. Для тебя это тоже будет выгодно."
89,"Помощники, которых я привел, находятся в Парадизском
колизее. Вам следует навестить их и напомнить им об
Их роли."
90,"Я подтвердил аномальное явление! Но у меня такое
чувство, что это немного сложно. Я на задворках
Акихабары. Приди и найди меня!"
91,"Мы убегали от чего-то страшного, но мой друг не успел!
Он остался в Центральном городе. Пожалуйста, помоги!"
92,"Мне удалось прибыть в Центральную башню вовремя…
но все в этом мире настолько сильны, что я чувствую
себя немного неуверенно."
93,"Я победлю бессмертного скакуна из Темного Сада и тем
Самым верну себе уверенность рыцаря!"
94,"В замке лорда Плутомона происходит что-то странное,
но я слишком напуган, чтобы расследовать... Кто-нибудь,
Пожалуйста, помогите!"
98,"Эй, пойдем в Центральную башню! Я хочу показать тебе
Всех королевских рыцарей, собравшихся здесь."
99,"Я, Галантмон, приехал в Факториальный город, чтобы
починить свое оборудование, но я не ожидал, что меня
Здесь остановят... Хм."
100,"Я с Вергарурумоном в святилище Леса Шестеренок.
Интересно, почему он так сильно ненавидит людей?.."
101,"Я проделал весь этот путь до города-фабрики, но не
Могу починить свою броню. Мне нужна ваша помощь!"
102,"Я пришел в Святилище Бездны, чтобы починить свои
Доспехи, но как мне добиться встречи с Нептунемоном?"
