string2 0,string 1
1010,Поговори с Хироко Сагисакой.
1020,Начните расследование краж вместе с Хироко Сагисака.
1030,Поговорите с продавцом в магазине футболок.
1040,Преследуйте вора в глухом переулке Синдзюку.
1050,Преследуйте вора в подземелье в Синдзюку.
2010,Поговори с Хироко Сагисакой.
2020,Отправляйтесь в переулок в Акихабаре вместе с Хироко Сагисака.
2030,Исследуйте переулок Акихабара.
2040,Ищите первый блок.
2041,Ищите второй блок.
2050,Доставьте кубики Шоте Курои.
3010,Поговори с Хироко Сагисакой.
3020,Начните исследовать парк вместе с Хироко Сагисака.
3030,Исследуйте парк Синдзюку.
3040,Поговори с Асуной Широки.
3050,"Отправляйтесь в то место, где Асуна Широки услышала крик."
3060,Преследуйте Дигимона в подземелье Синдзюку.
11010,Поговори с Венусмоном.
11020,Помоги Венусмону.
11030,Поищи Крабмона.
12010,Поговори с Венусмоном.
12020,"Посмотри, что случилось с Букамоном."
12030,Победите Октомона.
12040,Отдайте образец яда Венусмону.
13010,Поговори с Нептунемоном.
13020,Выслушай просьбу Нептунемона.
13030,Доставь кольцо Венусмону.
13040,Доставьте лекарство Нептунемону.
14010,Поговори с Гомамоном.
14020,Ищите Дивермона в Темной области.
14030,Дай лекарство Венусмона Дивермону.
14040,Выиграй бой с Дивероном.
14050,Направляйтесь к трону.
15010,Поговори с Шеллмоном.
15020,Поговори с Драгомоном о Дивермоне.
15030,Поговори с Шеллмоном.
16010,Поговори с Шеллмоном.
16020,Ищите Дивермона с помощью Шеллмона.
16030,Выиграй бой с Шеллмоном.
16040,Направляйтесь к трону.
18010,Поговори с Камэмоном.
18020,Отправляйтесь в дом Шеллмона вместе с Камемоном.
18030,"Ищите подсказки о том, как проверить качество воды."
18040,Сорвите водное растение и отдайте его Камемону.
19010,Поговори с Джумбогамемоном.
19020,"Расскажи Нептунемону о том, что произошло в камере."
19030,Отправляйтесь в камеру с Нептунемоном.
24010,Поговори с Мучомоном.
24020,Уничтожьте все ульи.
24030,Доложите Мучомону.
26010,Поговори с Лаламоном.
26020,Поговори с Кабутеримоном.
26030,Ищите Мелодичную Дыню.
26040,Доложи Лаламону.
27010,Поговори с Бахусмоном.
27020,Поговори с Кабутеримоном.
27030,"Ищите Подсолнух, который хорошо поет."
27040,Явись к Бахусмону.
28010,Поговори с Бахусмоном.
28020,Ищи Отамамон.
28030,Познакомьте Отамамон с Бахусмоном.
29010,Поговори с Бахусмоном.
29020,Направляйтесь в святилище.
29030,Победите титанов с помощью Леопардмона.
29040,Явись к Бахусмону.
30010,Поговори с Пекмоном.
30020,Перейдите на сайт дуэли.
30030,Победите Тигервеспамона.
30040,Доложи Пекмону.
31010,Поговорите с ростком в святилище.
31020,Поговори с Сегунгэкомоном.
31030,Соберите Семена Духа.
31040,Отдайте Семена Спирта СегунгЕкомону.
31050,Послушайте песню СегунгЕкомона.
32010,Поговори с братьями Бермон.
32020,Сходи к Маленькому Беармону.
32030,Сходи к Большому Медведю.
33010,Поговори с братьями Дримогемон.
33020,Следуйте за Маленьким Дримогемоном.
33030,Следуйте за Большим Дримогемоном.
33040,Поговори с Маленьким Дримогемоном.
38010,Поговори с Зудомоном.
