string2 0,string 1
1,[Цель: 1 враг]
2,[Цель: 1 союзник]
3,"[Цель: 1 союзник, кроме пользователя]"
4,[Цель: 1 враг или союзник]
5,[Цель: все враги]
6,[Цель: все союзники]
7,"[Цель: все союзники, кроме пользователя]"
8,[Цель: все враги или союзники]
9,[Цель: все]
10,[Цель: пользователь]
11,[Цель: случайный враг]
12,[Цель: случайный союзник]
13,[Цель: случайная цель]
14, 
15, 
16, 
1014,"
Наносит физическую атаку стихии {d1} силой {d0}{d2}."
1015,"
Наносит магическую атаку стихии {d1} силой {d0}{d2}."
1016,"
Наносит скоростную атаку стихии {d1} силой {d0}{d2}."
17, 
18,{d1}% снижение {d0}.
19, 
20, 
21,"
Восстанавливает ОЗ на основе ДУХ пользователя."
22,"
Восстанавливает {d1} на {d0}."
23,"
Восстанавливает {d1} на {d0}%."
24,({d0} элемент
25,× {d0} уд.
26,× {d0}–{d1} уд.
27,Всегда попадает.
28,{d0}% точн.
29,{d0}% шанс крита.
30,Восстанавливает ОЗ на {d0}% от нанесённого урона.
31,Восстанавливает ОС на {d0}% от нанесённого урона.
32,Восстанавливает ОЗ/ОС на {d0}% от нанесённого урона.
33,Получает {d0}% ОЗ урона от отдачи атаки.
34,Вызывает нокаут от отдачи атаки.
35,"Чем ниже {d0} пользователя, тем больше урон."
36,"Чем ниже {d0} всех союзников, тем больше урон."
37,"Чем ниже {d0} пользователя, тем меньше урон."
38,"Чем ниже {d0} всех союзников, тем меньше урон."
39,"Чем больше участников боя нокаутировано, тем больше урон."
40,"Чем больше союзников нокаутировано, тем больше урон."
41,"Чем чаще используется навык, тем больше урон."
42,"Чем больше прошло раундов, тем больше урон."
43,"Чем сильнее усилены характеристики пользователя, тем больше урон."
44,Выводит из нокаута и восстанавливает {d0}% ОЗ.
45,Игнорирует невыгодную совместимость.
46,Инвертирует все изменения характеристик цели.
47,Крадёт все изменения характеристик цели.
48,Восстанавливает ОЗ сверх максимального значения цели.
49,Потребляет все ОС.
50,Игнорирует невыгодную совместимость атрибутов.
51,Атака считается как {d0}.
52,Если пользователь — {d0}:
53,Если цель под действием {d0}:
54,состояние {d0}
55,Если цель — {d0}:
56,Если стихия цели — {d0}:
57,"Если поколение цели выше, чем у пользователя:"
58,"Если поколение цели ниже, чем у пользователя:"
59,Если цель уже действовала:
60,Если цель ещё не действовала:
61,Если ОЗ цели {d0}% или выше:
62,Если ОЗ цели {d0}% или ниже:
63,Если ОС цели {d0}% или выше:
64,Если ОС цели {d0}% или ниже:
65,Если цель нокаутирована:
66,+{d0}% к урону.
67,Повышенный урон.
68,{d0}% шанс крита.
69,Восстанавливает ОЗ пользователя на {d0}%.
70,Восстанавливает ОС пользователя на {d0}%.
71,Восстанавливает ОЗ/ОС пользователя на {d0}%.
72,Уменьшает ОС цели на {d0}%.
73,Шанс наложить {d1}: {d2}.
74,Шанс срабатывания {d1}: {d2}.
75,{d1}
76,Снимает {d1}.
77,Цель
78,Пользователь
79,сопротивление {d0}
80,сила {d0}
81,физический урон
82,магический урон
83,наносимый физический урон
84,наносимый магический урон
85,{n0}% повышение {d0} на {n1} ход(а)
86,{n0}% снижение {d0} на {n1} ход(а)
87,{n0}% снижение {d0}
88,повышение {d0}
89,снижение {d0}
90,снижение {d0}
91,изменения характеристик
92,{n0}%
93, 
94,{d0} {d1}
95,{fc9Вызывает смену режима.}
96,ОЗ
97,ОС
98,ОЗ/ОС
99, 
100,/
102,Повышенный урон по целям с чертой {d0}.
