string2 0,string 1
"10011","Атака"
"10012","{d0} raised their {is28}{image(ui_icon_btlStatus_043)} Guard!"
"10013","Побег"
"11013","Поврежден отдачей навыка!"
"11014","{d0} has forgotten themself!"
"11015","{d0} has forgotten themself!"
"11016","Кросс-арты"
"11017","Перекрестное искусство: Взрыв"
"11018","Рисунок креста: Реверс"
"11019","Перекрестное Искусство: Забастовка"
"11020","Перекрестное искусство: Аура"
"11021","Искусство креста: Исцеление"
"11022","Перекрестное искусство: Возрождение"
"11023","Перекрестное Искусство: Поле"
"11024","Перекрестное Искусство: Перерыв"
"11025","Перекрестное Искусство: Высокое Поле"
"11027","Дополнительные Удары"
"11028","Ветер возрождения"
"11029","Энергетический заряд"
"11030","Заряд для регенерации"
"11031","Энергетический ветер"
"11032","Радость возрождения"
"11033","Заряд энергии"
"11034","Ветер исцеления"
"11035","Повышающая ссылка"
"11036","Повышающий заряд"
"11037","Уменьшить Привязку"
"11038","Повысьте Настроение"
"11039","Уменьшить Разрыв"
"11040","Элементальный Потрошитель"
"11041","Элементальный Занавес"
"11042","Разрушение от Упадка"
"11043","Связывание Ядом"
"11044","Панический страх Связывает"
"11045","Паралич Связывает"
"11046","Привязка ко сну"
"11047","Очень Смелый"
"12003","{d0} has been damaged by poison!"
"12006","{d0} is paralyzed and cannot move!"
"12007","{d0} is asleep!"
"12023","{d0} recovered HP!"
"12024","{d0} recovered SP!"
"12085","Счетчик"
"12087","Отражать Физические"
"12088","Отражать Магию"
"12091","{d0} stood firm!"
"12105","{d0} cannot move due to recoil!"
"12106","{d0} is incapacitated due to shock!"
"12126","{d0} is unmotivated!"
"12301","{d0} recovered HP!"
"12302","{d0} recovered SP!"
"13008","Ревностная Защита"
"20011","Хорошенькая Атака"
"20021","Разрывающий Выстрел"
"20031","Бомба Лунной Ночи"
"20041","Безумный Танец"
"20051","Багровое Проклятие"
"20061","Ногтевая Кость"
"20091","Зубчатая Дробилка"
"20101","Горящий Кулак"
"20111","Вращающаяся Игла"
"20121","Лисий Огонь"
"20131","Смертельный Амулет"
"20141","Метеоритный дождь"
"20151","Скользящий Рожок"
"20161","Удар Клыком"
"20171","Землетрясение на Темной Стороне"
"20191","Храбрый Металл"
"20192","ДОРУ-Дин"
"20201","Сырная Бомба"
"20211","Приливная волна"
"20231","Адский Маскарад"
"20241","Океан Любви"
"20251","Хруст из засады"
"20261","Поперечный Клинок"
"20271","Силы Терры"
"20272","Великий Торнадо"
"20281","Большой Смайлик-Бомбер"
"20301","Лезвие для наклейки"
"20311","Оглушительный Топот"
"20321","Хрустальная Революция"
"20322","Глаз Горгоны"
"20331","Атака с тремя Рогами"
"20341","Фантомная Боль"
"20351","Двойной Удар"
"20352","Коготь Тьмы"
"20361","Пандемониум Потерян"
"20362","Смертельная Приманка"
"20371","Кусающий Сокрушитель"
"20372","Удар Хвостом"
"20381","Огненный Ад"
"20391","Живой или Мертвый"
"20392","Потерянный рай"
"20401","Дар тьмы"
"20402","Лампрантус"
"20411","Ноготь Животного"
"20421","Зубчатое Жало"
"20431","Молниеносная Лапа"
"20441","Чудо-бомба активирована!"
"20442","Попробуй еще раз..."
"20443","Чудо - бомба"
"20451","Священная Вспышка"
"20452","Урожай Хроноса"
"20461","Священная Вспышка"
"20462","Хроно - Деволюция"
"20471","Пламя Мегиддо"
"20472","Адский Вой"
"20481","Божественное Пламя"
"20491","Эффектный Удар Босса"
"20492","Удар Льва"
"20501","Перечный Запах изо рта"
"20511","Диджей - Шутер"
"20521","Стрелка Указателя"
"20531","Ослепляющий Луч"
"20541","Мега Взрыв"
"20551","Двойной Удар Слева"
"20561","Взрыв семян"
"20571","Колючий Хлыст"
"20572","Запретное Искушение"
"20581","Луч Солнечного Света"
"20591","Голос Большого Взрыва"
"20601","Вулканический Драйвер"
"20602","Алмазный Кулак"
"20611","Сердечный приступ"
"20681","Спиральный удар"
"20691","Платиновые Экскременты"
"20692","Платиновая Отрыжка"
"20701","Выбрасывание Какашек"
"20711","Револьвер "" Трезубец """
"20721","Кулак короля зверей"
"20731","Лайла В Душе"
"20741","Победный Кулак"
"20751","Проникновение вихря"
"20752","Волна глубины"
"20761","Куедзе: Гидропуск"
"20771","Катящийся Снасть"
"20781","Пламя выхлопных газов"
"20791","Хейли Сторм"
"20801","Тысяча Кулаков"
"20802","Духовное Очарование"
"20811","Призывать"
"20821","Тепловая волна"
"20831","Сверхзвуковой голос"
"20841","Меч - Резец Ветра"
"20851","Ночной Рейд"
"20861","Бифрост"
"20862","Дыхание Одина"
"20871","Небесный кулак"
"20881","Трансцендентный Меч"
"20882","Превосходная Пушка"
"20901","Камнедробилка"
"20911","Острый Удар"
"20921","Молниеносная Лапа"
"20931","Коготь Смерти"
"20941","Меч Джогри"
"20942","Великолепная Вспышка"
"20951","Бластер в Полнолуние"
"20952","Мираж с Двойным Полумесяцем"
"20961","Воздушный Выстрел"
"20971","Демисезонные Дротики"
"20981","Мегатонный Гидро-лазер"
