string2 0,string 1
30011,Облачный напалм I
30012,Облачный напалм II
30013,Облачный напалм III
30021,Вспышка пламени I
30022,Вспышка пламени II
30023,Вспышка пламени III
30031,Магмопад I
30032,Магмопад II
30033,Магмопад III
30034,Пламенный всполох I
30035,Пламенный всполох II
30036,Пламенный всполох III
30041,Водяное давление I
30042,Водяное давление II
30043,Водяное давление III
30051,Гидропоток I
30052,Гидропоток II
30053,Гидропоток III
30061,Океанская волна I
30062,Океанская волна II
30063,Океанская волна III
30064,Приливный поток I
30065,Приливный поток II
30066,Приливный поток III
30071,Серповидный лист I
30072,Серповидный лист II
30073,Серповидный лист III
30081,Удар шипами I
30082,Удар шипами II
30083,Удар шипами III
30091,Рунический лес I
30092,Рунический лес II
30093,Рунический лес III
30094,Игольчатое растение I
30095,Игольчатое растение II
30096,Игольчатое растение III
30101,Ледяная кромка I
30102,Ледяная кромка II
30103,Ледяная кромка III
30111,Ледяная пуля I
30112,Ледяная пуля II
30113,Ледяная пуля III
30121,Смертельная метель I
30122,Смертельная метель II
30123,Смертельная метель III
30124,Алмазная пыль I
30125,Алмазная пыль II
30126,Алмазная пыль III
30131,Сбой наномашин I
30132,Сбой наномашин II
30133,Сбой наномашин III
30141,Ударная плазма I
30142,Ударная плазма II
30143,Ударная плазма III
30151,Громопад I
30152,Громопад II
30153,Громопад III
30154,Молниеносный коготь I
30155,Молниеносный коготь II
30156,Молниеносный коготь III
30161,Кометный молот I
30162,Кометный молот II
30163,Кометный молот III
30171,Бластер Геи I
30172,Бластер Геи II
30173,Бластер Геи III
30181,Сокрушительное землетрясение I
30182,Сокрушительное землетрясение II
30183,Сокрушительное землетрясение III
30184,Каменный раскол I
30185,Каменный раскол II
30186,Каменный раскол III
30191,Коготь ветра I
30192,Коготь ветра II
30193,Коготь ветра III
30201,Звуковой выстрел I
30202,Звуковой выстрел II
30203,Звуковой выстрел III
30211,Штормовой ветер I
30212,Штормовой ветер II
30213,Штормовой ветер III
30214,Буря I
30215,Буря II
30216,Буря III
30221,Сокрушительный клинок I
30222,Сокрушительный клинок II
30223,Сокрушительный клинок III
30231,Металлический ускоритель I
30232,Металлический ускоритель II
30233,Металлический ускоритель III
30241,Цельнометаллический свайный удар I
30242,Цельнометаллический свайный удар II
30243,Цельнометаллический свайный удар III
30244,Железный разрез I
30245,Железный разрез II
30246,Железный разрез III
30251,Святой кулак I
30252,Святой кулак II
30253,Святой кулак III
30261,Святой свет I
30262,Святой свет II
30263,Святой свет III
30271,Сияющий взрыв I
30272,Сияющий взрыв II
30273,Сияющий взрыв III
30274,Ангельская лестница I
30275,Ангельская лестница II
30276,Ангельская лестница III
30281,Теневой клык I
30282,Теневой клык II
30283,Теневой клык III
30291,Кошмар I
30292,Кошмар II
30293,Кошмар III
30301,Адский сокрушитель I
30302,Адский сокрушитель II
30303,Адский сокрушитель III
30304,Страх души I
30305,Страх души II
30306,Страх души III
30311,Тяжёлый удар I
30312,Тяжёлый удар II
30313,Тяжёлый удар III
30321,Силовая энергия I
30322,Силовая энергия II
30323,Силовая энергия III
30331,Луч пустоты I
30332,Луч пустоты II
30333,Луч пустоты III
30334,Врата безумия I
30335,Врата безумия II
30336,Врата безумия III
31011,Исцеление
31012,X-Исцеление
31021,Аура
31022,X-Аура
31031,Возрождение
31032,X-Оживить
31041,Медитация
31042,Нормализация
31051,Рассеивание
31061,Восстановление
32011,Усиление атаки
32021,Усиление защиты
32031,Усиление магии
32041,Усиление духа
32051,Усиление скорости
32061,Усиление критического удара
32071,Массовое усиление атаки
32081,Массовое усиление защиты
32091,Массовое усиление магии
32101,Ментальное поле
32111,Массовое усиление скорости
32121,Массовое усиление критического удара
32131,Ослабление атаки
32141,Ослабление защиты
32151,Ослабление магии
32161,Ослабление духа
32171,Ослабление скорости
32181,Ослабление критического удара
32191,Массовое ослабление атаки
32201,Массовое ослабление защиты
32211,Массовое ослабление магии
32221,Массовое ослабление духа
32231,Массовое ослабление скорости
32241,Массовое ослабление критического удара
33011,Ядовитая Ловушка
33021,Клочок Паники
33031,Разрывная Сеть
33041,Холостой Пузырь
33051,Текстурный Удар
33061,Изменение характера
34011,Обвинение в ненависти
34021,Повышение ускорения
34031,Усиление заклинания
34041,Сбросить Тело
34051,Отражать атаку
34061,Магическое отражение
34071,Барьер Проклятия
34081,Статусный барьер
34091,Защитный барьер
