string2 0,string 1
"steam_input_title_001","Геймпад"
"steam_input_explanation_001","Официальная раскладка геймпада"
"steam_input_name_001","Стик"
"steam_input_name_002","Кнопка A"
"steam_input_name_003","Кнопка B"
"steam_input_name_004","Кнопка X"
"steam_input_name_005","Кнопка Y"
"steam_input_name_006","Левый бампер (LB)"
"steam_input_name_007","Правый бампер (RB)"
"steam_input_name_008","Левый триггер (LT)"
"steam_input_name_009","Правый триггер (RT)"
"steam_input_name_010","Кнопка Start"
"steam_input_name_011","Кнопка Select"
"steam_input_name_012","Нажатие левого стика (L3)"
"steam_input_name_013","Нажатие правого стика (R3)"
"steam_input_name_014","Крестовина: вверх"
"steam_input_name_015","Крестовина: вниз"
"steam_input_name_016","Крестовина: влево"
"steam_input_name_017","Крестовина: вправо"
