string2 0,string 1
1,"Открывает связи, основанные на Доблести, с вашим дигимоном,
позволяя вам усиливать дигимонов с чертами Смелый,
Ревностный, Отважный и Безрассудный."
2,"Повышает СКР дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d6}%."
3,"Повышает СКР дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d6}%."
4,"Повышает СКР дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d6}%."
5,"Повышает получаемый в бою ОПТ для сражающихся и запасных
дигимонов с чертами Смелый, Ревностный, Отважный и
Безрассудный на {d0}% за каждый ранг Агента."
6,"Повышает шанс появления редких навыков личности у
дигимонов с чертами Смелый, Ревностный, Отважный и
Безрассудный при смене персональности."
7,"Усиливает действие снаряжения, повышающего АТК, на
дигимонов с чертой Безрассудный на {d0}%."
8,"Повышает ОС дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d1}%."
9,"Повышает ОС дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d1}%."
10,"При эволюции дигимонов с чертами Смелый, Ревностный, Отважный
и Безрассудный снижает требуемые значения характеристик на {d0}%,
если текущая черта совпадает с базовой чертой цели эволюции."
11,"Повышает ДУХ дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d5}%."
12,"Повышает начальный Талант каждого поколения при Конвертации
дигимонов с чертами Смелый, Ревностный, Отважный и
Безрассудный на {d0}."
13,"Повышает ОС дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d1}%."
14,Повышает ОС и СКР дигимонов с чертой Безрассудный на {d1}%.
15,"Повышает ЗАЩ дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d3}%."
16,"Сокращает время тренировки дигимонов с чертами Смелый,
Ревностный, Отважный и Безрассудный на {d0}%."
17,"Повышает урон от Дополнительных Атак дигимонов с чертами
Смелый, Ревностный, Отважный и Безрассудный на {d0}%."
18,"При эволюции дигимонов с чертами Смелый, Ревностный, Отважный
и Безрассудный снижает требуемые значения характеристик на {d0}%,
если текущая черта совпадает с базовой чертой цели эволюции."
19,"Повышает получаемый в бою ОПТ для сражающихся и запасных
дигимонов с чертами Смелый, Ревностный, Отважный и
Безрассудный на {d0}% за каждый ранг Агента."
20,"Повышает ЗАЩ дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d3}%."
21,"Ревностные дигимоны восстанавливают ОЗ на {d0}% при
использовании Защиты."
22,"Повышает ЗАЩ дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d3}%."
23,"Повышает ОЗ дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d0}%."
24,"Снижает стоимость ОС для навыков дигимонов с чертами
Смелый, Ревностный, Отважный и Безрассудный на {d0}% за
каждый ранг Агента."
25,"Повышает ОЗ дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d0}%."
26,"Дигимоны с чертами Смелый, Ревностный, Отважный и
Безрассудный получают Талант легче."
27,"Повышает ОЗ дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d0}%."
28,Повышает ОЗ и ЗАЩ дигимонов с чертой Ревностный на {d0}%.
29,"Повышает ДУХ дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d5}%."
30,"Повышает урон от Дополнительных Атак дигимонов с чертами
Смелый, Ревностный, Отважный и Безрассудный на {d0}%."
31,"Повышает АТК дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d2}%."
32,"Повышает АТК дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d2}%."
33,"Повышает получаемый в бою ОПТ для сражающихся и запасных
дигимонов с чертами Смелый, Ревностный, Отважный и
Безрассудный на {d0}% за каждый ранг Агента."
34,"При эволюции дигимонов с чертами Смелый, Ревностный, Отважный
и Безрассудный снижает требуемые значения характеристик на {d0}%,
если текущая черта совпадает с базовой чертой цели эволюции."
35,"Атаки Смелых дигимонов игнорируют {d0}% ЗАЩ цели за каждый
ранг Агента."
36,"Повышает АТК дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d2}%."
37,Повышает ОЗ и АТК дигимонов с чертой Смелый на 25%.
38,"Повышает ИНТ дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d4}%."
39,"Персональность дигимонов с чертами Смелый, Ревностный, Отважный
и Безрассудный с большей вероятностью сместится в сторону Сердца
и Привязанности при тренировке на Дигиферме."
40,"Повышает ИНТ дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d4}%."
41,"Повышает ДУХ дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d5}%."
42,"Повышает получаемый в бою ОПТ для сражающихся и запасных
дигимонов с чертами Смелый, Ревностный, Отважный и
Безрассудный на {d0}% за каждый ранг Агента."
43,"Повышает ИНТ дигимонов с чертами Смелый, Ревностный,
Отважный и Безрассудный на {d4}%."
44,Повышает АТК и ИНТ дигимонов с чертой Отважный на {d2}%.
45,"Уменьшает получаемый физический урон Отважных дигимонов при
Защите на дополнительные {d0}% за каждый ранг Агента."
46,"При эволюции дигимонов с чертами Смелый, Ревностный, Отважный
и Безрассудный снижает требуемые значения характеристик на {d0}%,
если текущая черта совпадает с базовой чертой цели эволюции."
47,
48,
49,
50,
51,"Открывает связи, основанные на Альтруизме, с вашим дигимоном,
позволяя вам усиливать дигимонов с чертами Обожающий,
Преданный, Терпимый и Сверхопека."
52,"Повышает ДУХ дигимонов с чертами Обожающий, Преданный,
Терпимый и Сверхопека на {d5}%."
53,"Повышает ДУХ дигимонов с чертами Обожающий, Преданный,
Терпимый и Сверхопека на {d5}%."
54,"Повышает получаемый в бою опыт для сражающихся и запасных
дигимонов с чертами Обожающий, Преданный, Терпимый и
Сверхопека на {d0}% за каждый ранг Агента."
55,"Повышает шанс появления редких навыков личности у дигимонов с
чертами Обожающий, Преданный, Терпимый и Сверхопека при
смене персональности."
56,"При эволюции дигимонов с чертами Обожающий, Преданный,
Терпимый и Сверхопека снижает требуемые значения характеристик
на {d0}%, если текущая черта совпадает с базовой чертой цели
эволюции."
57,"Усиливает действие снаряжения, повышающего ОЗ, на дигимонов
с чертой Обожающий на {d0}%."
58,"Повышает ДУХ дигимонов с чертами Обожающий, Преданный,
Терпимый и Сверхопека на {d5}%."
59,"Повышает ЗАЩ дигимонов с чертами Обожающий, Преданный,
Терпимый и Сверхопека на {d3}%."
60,"Повышает ЗАЩ дигимонов с чертами Обожающий, Преданный,
Терпимый и Сверхопека на {d3}%."
61,"Повышает ЗАЩ дигимонов с чертами Обожающий, Преданный,
Терпимый и Сверхопека на {d3}%."
62,"Персональность дигимонов с чертами Обожающий, Преданный,
Терпимый и Сверхопека с большей вероятностью сместится в
сторону Понимания и Привязанности при тренировке на Дигиферме."
63,"Повышает получаемый в бою опыт для сражающихся и запасных
дигимонов с чертами Обожающий, Преданный, Терпимый и
Сверхопека на {d0}% за каждый ранг Агента."
64,"Усиливает действие предметов восстановления ОЗ, используемых
на Преданных дигимонов во время боя, на {d0}%."
65,"При эволюции дигимонов с чертами Обожающий, Преданный,
Терпимый и Сверхопека снижает требуемые значения характеристик
на {d0}%, если текущая черта совпадает с базовой чертой цели
эволюции."
66,"Повышает урон от Дополнительных Атак дигимонов с чертами
Обожающий, Преданный, Терпимый и Сверхопека на {d0}%."
