"string2 0","string 1"
"29001","Повышает {fc9ОЗ}.
Смещает тип личности в сторону {fc9Сердца}."
"29002","Повышает {fc9ОС}.
Смещает тип личности в сторону {fc9Понимания}."
"29003","Повышает {fc9АТК}.
Смещает тип личности в сторону {fc9Сердца} и
{fc9Привязанности}."
"29004","Сильно повышает {fc9АТК}.
Сильно смещает тип личности в сторону {fc9Сердца} и
{fc9Привязанности}."
"29005","Повышает {fc9ЗАЩ}.
Смещает тип личности в сторону {fc9Сердца} и
{fc9Товарищества}."
"29006","Повышает {fc9ИНТ}.
Смещает тип личности в сторону {fc9Понимания} и
{fc9Товарищества}."
"29007","Повышает {fc9ДУХ}.
Смещает тип личности в сторону {fc9Понимания} и
{fc9Привязанности}."
"29008","Повышает {fc9СКР}.
Смещает тип личности в сторону {fc9Сердца} и
{fc9Товарищества}."
"29009","Сильно повышает {fc9ОЗ}.
Сильно смещает тип личности в сторону {fc9Сердца}."
"29010","Сильно повышает {fc9ОС}.
Сильно смещает тип личности в сторону {fc9Понимания}."
"29011","Сильно повышает {fc9ЗАЩ}.
Сильно смещает тип личности в сторону {fc9Сердца} и
{fc9Товарищества}."
"29012","Сильно повышает {fc9ИНТ}.
Сильно смещает тип личности в сторону {fc9Понимания} и
{fc9Товарищества}."
"29013","Сильно повышает {fc9ДУХ}.
Сильно смещает тип личности в сторону {fc9Понимания} и
{fc9Привязанности}."
"29014","Сильно повышает {fc9СКР}.
Сильно смещает тип личности в сторону {fc9Сердца} и
{fc9Товарищества}."
"29015","Значительно повышает {fc9ОЗ}."
"29016","Значительно повышает {fc9ОС}."
"29017","Значительно повышает {fc9АТК}."
"29018","Значительно повышает {fc9ЗАЩ}."
"29019","Значительно повышает {fc9ИНТ}."
"29020","Значительно повышает {fc9ДУХ}."
"29021","Значительно повышает {fc9СКР}."
