string2 0,string 1
tutorial_exp_debug,
tutorial_exp_notext_01_001,
tutorial_exp_BattleBasic_01_001,"В бою с каждой стороны участвует до трёх дигимонов.
Первым ходит дигимон с наибольшей СКР.
После того как все участники выполнят действия, порядок ходов
пересчитывается с учётом их СКР."
tutorial_exp_AdditionalAttack_01_001,"{fc9После попадания атакой или навыком дигимон иногда может
нанести дополнительный удар. Нажмите {decision}, чтобы его выполнить.}
Высокая связь и выгодная совместимость атаки повышают
вероятность срабатывания."
tutorial_exp_AdditionalAttack_01_002,"Когда сработает дополнительный удар, на экране появится круг.

{fc9Нажмите {decision}, когда круг достигнет центра, чтобы активировать
эффект удара.}"
tutorial_exp_AdditionalAttack_01_003,"Эффекты удара дают разные преимущества: восстанавливают ОЗ
союзников или накладывают аномалии состояния на врагов.

{fc9Эффект зависит от атрибута и типа личности дигимона.}
Пробуйте разные сочетания в бою."
tutorial_exp_Compatibility_01_001,"Урон зависит от совместимости атрибутов
{fc9(схема: {is28}{image(ui_icon_type_000)} Вакцина > {is28}{image(ui_icon_type_040)} Вирус > {is28}{image(ui_icon_type_020)} Данные)}, а также от
{fc9сопротивления стихиям, черт и уровня атакующего}."
tutorial_exp_Compatibility_01_002,"Совместимость атаки видна при выборе цели: рядом с
{fc9процентом урона} отображаются {fc9значки стрелок}, которые
учитывают атрибут, стихию и черты."
tutorial_exp_Compatibility_01_003,"Подробности совместимости врага можно посмотреть через
{fc9{l2} Анализ}.

Если совместимость невыгодна, смените дигимона на того,
у кого есть преимущество.

Урон также зависит от уровня: чем выше уровень атакующего,
тем сильнее атака."
tutorial_exp_Compatibility_01_004,"Подробную информацию об Атрибутах, Элементах и Чертах можно
найти через Дигивайс > Система > Обучение > Битва, в разделах:
{fc9 - Совместимость Атрибутов
 - Элементы
 - Черты}"
tutorial_exp_BattleCrossarts_01_001,"Кросс-арт — боевое действие агента.

Расходуя огромное количество энергии, агент применяет мощный
кросс-арт, способный изменить ход боя."
tutorial_exp_BattleCrossarts_01_002,"{fc9Когда шкала КО полностью заполнится во время боя,
вы перейдёте в режим готовности кросс-арта.
Нажмите {r2}, чтобы активировать кросс-арт.}"
tutorial_exp_Escape_01_001,"{fc9Удерживайте {r1} во время боя, чтобы сбежать от враждебных
дигимонов.}
Для агента нет ничего постыдного в том, чтобы проявить
осмотрительность во время миссии.

Однако постоянные побеги ничего вам не дадут. Кроме того,
от некоторых врагов сбежать невозможно. Поэтому важно
набираться опыта и быть готовым к таким ситуациям.

Тщательно взвешивайте свои решения."
tutorial_exp_Guard_01_001,"Защита — боевая команда. Удерживайте {up}, чтобы дигимон
защищался во время своего хода.
{fc9Защита значительно снижает получаемый урон до следующего хода.}

Она особенно полезна против врагов с выгодной совместимостью
или мощными особыми навыками."
tutorial_exp_Analysis_01_001,"{fc9Режим анализа позволяет изучать врагов во время боя.}

Можно проверить атрибут, стихию, слабости и сопротивления цели,
а подробные сведения открыть кнопкой {sub2}."
tutorial_exp_OutoBattle_01_001,"В этом режиме дигимоны сражаются автоматически.
Их действия зависят от типа личности.
Нажимайте {rs}, чтобы включать и выключать автоматический режим."
tutorial_exp_HighSpeedMode_01_001,"Этот режим ускоряет ход боя.
Доступны четыре скорости: ×1, ×2, ×3 и ×5.
Выберите удобную скорость и сражайтесь в своём темпе."
tutorial_exp_Boss_01_001,"У некоторых сильных врагов есть критические очки (КО).

{fc9По мере накопления КО их способности могут меняться:}
- появляются дополнительные действия в конце порядка ходов;
- усиливаются характеристики и возникают другие эффекты."
tutorial_exp_Boss_01_002,"Враг может получать критические очки разными способами.

{fc9Особенно много КО враг получает, когда атакует слабое место
союзного дигимона.}

Вы можете уменьшить КО врага, выполняя действия, которые
повышают ваши собственные КО.

{fc9Действия, повышающие КО одной стороны, одновременно
снижают КО другой.}"
tutorial_exp_Boss_01_003,"Справочное изображение: усиление характеристик.
Характеристики дигимона могут повышаться в зависимости от КО.
Эти усиления отображаются под шкалой ОЗ."
tutorial_exp_Boss_02_001,"Заряд — изменение состояния перед применением мощного
особого навыка. После зарядки враг выпустит этот навык.

{fc9Во время зарядки враг не действует, но продолжает накапливать
КО и становится сильнее.} Это опасный момент, но вместе с тем
возможность для контратаки."
tutorial_exp_Boss_02_002,"Пока враг заряжается, при выборе цели под его шкалой ОЗ
появляется белая шкала срыва заряда.

{fc9Сосредоточьте атаки, чтобы опустошить эту шкалу и сорвать
заряд врага.}"
tutorial_exp_Boss_02_003,"Успешный срыв заряда:
{fc9- сбрасывает КО врага и связанные с ними усиления;
- снимает статус «Сила» и его неснимаемые обычным способом эффекты;
- отменяет особый навык, подготовленный зарядкой.}

Если сорвать заряд не удалось, используйте защиту и предметы,
чтобы выдержать атаку."
tutorial_exp_CpAdd_01_001,"{fc9Для применения кросс-артов нужно полностью заполнить шкалу КО
(критических очков).}
КО накапливаются благодаря действиям в бою. Когда шкала
заполнится, станет доступен кросс-арт."
tutorial_exp_CpFluctuation_01_001,"КО (критические очки) растут при выполнении действий в бою,
например при атаке или лечении.

{fc9Больше всего КО даёт удар по слабому месту врага. И наоборот,
если враг поразит слабое место союзника, вы потеряете много КО.}"
tutorial_exp_CpFluctuation_01_002,"Подбирайте дигимонов и навыки с учётом совместимости
атрибутов и стихий, чтобы быстрее заряжать КО.

{fc9Накопленные КО сохраняются между боями.}"
tutorial_exp_Danger_01_001,
tutorial_exp_Dead_01_001,"Это происходит, когда ОЗ достигает нуля. Нокаутированные
Дигимоны не могут сражаться, поэтому нужно как можно скорее
привести их в порядок.

- Используйте предмет или навык воскрешения.
- Замените нокаутированного союзника запасным участником.

После боя нокаутированные Дигимоны возвращаются с 1 ОЗ, поэтому
не забудьте вылечить их перед продолжением."
tutorial_exp_Zombi_01_001,"Аномалия возникла из-за вышедшей из-под контроля силы
ЗомбиПлутомона. Этот пугающий эффект называется «Туман Жнеца».

{fc9- Восстановление ОЗ вместо этого уменьшает макс. ОЗ.
(Восстановление ОЗ невозможно.)
- Макс. ОЗ нельзя увеличить после снижения. После боя всё
вернётся в норму.
- Этот эффект нельзя снять во время боя.}

Из-за этого легко попасть в нокаут, но если грамотно применить
свои знания и способности агента, вы сможете справиться."
tutorial_exp_AttackCategory_01_001,"Есть два типа атак: «физические» и «магические».

{fc9Физические атаки эффективны против врагов с низкой ЗАЩ.
Для врагов с низким ДУХом вы захотите использовать магические
атаки.}

Некоторые Дигимоны устойчивы как к физическим, так и к
магическим атакам.
Обязательно проверяйте характеристики ваших врагов по мере
сражения.

{is28}{image(ui_icon_btlStatus_044)}: Уменьшает физический урон.
{is28}{image(ui_icon_btlStatus_045)}: Уменьшает магический урон."
tutorial_exp_DigimonBasic_01_001,
tutorial_exp_Status_01_001,"Внимательно изучайте данные союзных дигимонов.

Так вы лучше поймёте их скрытую силу
и найдёте подсказки для дальнейшей тренировки.

Возможно, это подскажет новые стратегии.

{fc9Дигимонов можно усиливать,
меняя дополнительные навыки и снаряжение.
Получили диск навыка или предмет снаряжения?
Не забудьте поставить его.}"
tutorial_exp_Status_02_001,"АТК: Влияет на то, сколько {fc9{is28}{image(ui_icon_tab_0001)} физического урона} наносится врагам.
ЗАЩ: Влияет на то, насколько уменьшается {fc9{is28}{image(ui_icon_tab_0001)} урон от физических атак врага}.
ИНТ: Влияет на то, сколько {fc9{is28}{image(ui_icon_tab_0002)} магического урона} наносится врагам.
ДУХ: Влияет на то, насколько уменьшается {fc9{is28}{image(ui_icon_tab_0002)} урон от магических атак врага}
и насколько {fc9{is28}{image(ui_icon_tab_0003)} навыки восстановления ОЗ лечат}.
СКР: Влияет на {fc9порядок хода} в битве.
Шанс КРТ: Влияет на частоту возникновения {fc9критических попаданий (урон х1.3)}."
tutorial_exp_Status_03_001,"{fc9{is28}{image(ui_icon_type_000)} Вакцина}
{fc9{is28}{image(ui_icon_type_020)} Данные}
{fc9{is28}{image(ui_icon_type_040)} Вирус}
{fc9{is28}{image(ui_icon_type_060)} Свободный}
{fc9{is28}{image(ui_icon_type_080)} Переменный}
{fc9{is28}{image(ui_icon_type_100)} Неизвестно}
Дигимоны стадий «Малыш I» и «Малыш II» имеют {fc9{is28}{image(ui_icon_type_120)} Без атрибута}.

Атрибут дигимона можно проверить на экране характеристик."
tutorial_exp_Status_04_001," - Преимущество: {fc9урон x2}
 - Недостаток: {fc9урон x0,5}
 - {is28}{image(ui_icon_type_120)} {fc9Без атрибута}, {is28}{image(ui_icon_type_060)} {fc9Свободный},
   {is28}{image(ui_icon_type_080)} {fc9Переменный} и {is28}{image(ui_icon_type_100)} {fc9Неизвестно}
   не имеют преимущества перед другими атрибутами."
tutorial_exp_Convert_01_001,"Создавайте новых Дигимонов-партнёров на основе боевых данных.

{fc9Дигимонов можно Конвертировать, когда их Сканирование
составляет от 100% до 200% (максимум).}"
tutorial_exp_Convert_01_002,"Победа над дигимоном в битве повышает его показатель
сканирования. Если вам нужен конкретный дигимон,
продолжайте сражаться с ним. Проверить сканирование каждого
дигимона можно на Дигивайсе в разделе
«Дигимоны > Конвертировать».

{fc9Чем ближе показатель сканирования к 200% при конвертации,
тем выше будут талант и макс. ОЗ нового дигимона.}"
tutorial_exp_Change_01_001,"Дигимоны в отряде делятся на три категории:

{fc9Боевой состав}: выходят в бой с самого начала
{fc9Резерв}: могут заменить бойцов во время сражения
{fc9Гости}: временно присоединившиеся дигимоны, которые
сражаются самостоятельно

{fc9Меняйте боевой состав и резерв с учётом слабостей врага.}"
tutorial_exp_Evolution_01_001,"Получая опыт, Дигимоны могут сильно менять внешний вид и природу,
становясь ещё сильнее. Такие резкие превращения называются
«эволюцией».

{fc9Для эволюции нужно выполнить определённые условия:
- Достичь нужных характеристик (без учёта бонусов экипировки).
- Достичь нужного уровня.
- Выполнить особые условия для конкретной формы.}

Через деволюцию можно вернуться к более ранней форме. После
деволюции Дигимон станет слабее, но его пределы развития расширятся."
tutorial_exp_Evolution_01_002,"{fc9Для эволюции нужно выполнить определённые условия:
- достичь требуемых характеристик без бонусов снаряжения;
- достичь требуемого ранга агента.}

Собирайте данные о разных дигимонах, чтобы открывать новые
варианты эволюции."
tutorial_exp_Evolution_01_003,"Обратный процесс — сжатие данных дигимона — называется
деволюцией. Она позволяет провести дигимона по другой
ветви эволюции."
tutorial_exp_Evolution_01_004,"{fc9Для деволюции нужно выполнить одно из условий:
- полученная форма зарегистрирована в полевом руководстве;
- полученная форма имеет тот же тип личности.}"
tutorial_exp_Evolution_01_005,"Существуют особые техники эволюции и деволюции.

Откройте на Дигивайсе:
Система > Обучение > Тренировка,
чтобы просмотреть:
{fc9Техника эволюции 1: талант
Техника эволюции 2: накопленные характеристики
Техника эволюции 3: связь}"
tutorial_exp_SkillChange_01_001,"Дигимоны-партнёры могут использовать
дополнительные навыки, меняя свои способности.

{fc9До четырёх навыков устанавливаются
с помощью дисков навыков.}

Диски можно купить, найти в сундуках
или получить при повышении уровня дигимона."
