string2 0,string 1
101,Хигаси-Синдзюку: Площадь Видения
102,Хигаси-Синдзюку: Вторая авеню
103,"Синдзюку: Кабукичо, Театральная площадь"
104,Подземный город Синдзюку: Подземная дорога
105,Линия Марунонака: Станция Синдзюку
106,Изысканный Кофе Наказава
107,Стена надежды
108,Сейбу-Синдзюку: Перекресток над мостом
109,Синдзюку: переулок
110,Станция Синдзюку: Восточные ворота
111,Метро Синдзюку: Набережная
151,Станция Синдзюку: Восточный Выход
152,Станция Синдзюку: Перекресток Джубанчо
153,Сейбу-Синдзюку: Восточный мост
155,Закоулок Синдзюку: Промежуточный театр
201,Станция Акихабара: Южный выход Электрического городка
203,Акихабара: переулок
250,Перекресток под эстакадой
301,Здание правительства Токио: снаружи
302,Парк Синдзюку: Площадь Водопада
304,Ниси-Синдзюку: Проспект Точо Тюо-дори
351,Мост Ниси-Синдзюку: Мост Ниси-Кайдо
352,Стена надежды
401,Синдзюку: Восточный Торговый район
402,Детективное Агентство Мисоно
403,Дом Мисоно: Гостиная
404,Дом Мисоно: Мансарда
405,Дом Мисоно: Крыша
409,Дом Мисоно: Глухой Переулок
1003,Забытые Рельсы 2
1001,Забытые Рельсы
1002,Гигантская Яма
1101,Подземный водный путь Синдзюку: Северный блок
1102,Подземный водный путь Синдзюку: Южный блок
1103,Подземное водохранилище Синдзюку
1104,Подземный водный путь Синдзюку: Глубины
1201,Подземный инженерный трубопровод Синдзюку
1202,Подземный водный путь Синдзюку: Нижний Уровень
1203,Подземный переход 3
1204,Деревня Восстания
1205,Деревня восстания: Комната Меркуримона
1301,Подземная база спецназа: Исследовательский отдел
1302,Подземная база спецназа: Запретная зона
1303,Подземная база спецназа: Лаборатория
1304,Подземная база спецназа: Портальный
1305,Трубопровод Для обслуживания Подземного Кабеля
1401,Здание Столичного правительства Токио: Вход
1402,Здание Столичного правительства Токио: этаж B1
1403,Здание Столичного правительства Токио: Северная башня 36-й этаж
1404,Здание Столичного правительства Токио: Северное крыло 24-й этаж
1405,Здание Столичного правительства Токио: Южное крыло 24-й этаж
1406,Здание Столичного правительства Токио: Южная башня 36-й этаж
1407,Здание Столичного правительства Токио: Крыша
10101,Космический Терминал
10102,Жаркий Космос: зона красного пламени
10103,Жаркий Космос: зона жёлтого пламени
10104,Жаркий Космос: зона белого пламени
10105,Жаркий Космос: тронный зал
10106,Холодный Космос: зона новолуния
10107,Холодный Космос: зона полумесяца
10108,Холодный Космос: зона полулуния
10109,Холодный Космос: тронный зал
10201,Центральный город: Вокзал
10202,Центральный город: Даунтаун
10203,Центральный город: Трущобы
10204,Водопой Воина
10205,Центральный Остров
10206,Центральная башня: Вход
10207,Центральная башня: Стальной Лабиринт
10208,Центральная башня: Стальная Периферия
10209,Центральная башня: Стальной Лабиринт
10210,Центральная башня: Стальная точка
10211,Центральный город: Блимпмон-Лэндинг
10212,Центральная башня: Стальная точка
10217,Центральный город: Спиральный водный путь
10301,Поверхность Бездны
10302,Пляж Абисс: Станция
10303,Глубины Бездны
10304,Святилище Бездны
10305,Святилище Бездны: Тронный зал
10306,Мастер-блимпмон: Гондола
10307,Зона Бездны ТБД
10308,Дом в Лагуне
10312,Пляж Абисс: Деревня
10401,Зубчатый лес: Станция
10402,Зубчатый лес: Плавучие Скалистые Острова
10403,Зубчатый лес: Пирс из Тенистого Дерева
10404,Деревня Зубчатых Колес В Лесу
10405,Зубчатый лес: Пирс из Тенистого Дерева
10406,Зубчатый лес: Святилище
10407,Зубчатый лес: Густой Лес
10412,Зубчатый лес: Плавучие Скалистые Острова
10501,Факториальный город: Станция
10502,Факториальная область
10503,Факториальный туннель: Шахты
10504,Факториальный туннель: Шахты рядом с Ядром
10505,Факториальное ядро
10506,Райский колизей
10507,Райский колизей: Первое кольцо
10509,Райский колизей: Второе кольцо
10511,Райский колизей: Подъездной путь
10513,Райский колизей: Финальный ринг
10521,Факториальный город: Станция
10601,Терминал на Другой Стороне
10602,Дворец На Другой Стороне
10603,Обратная сторона дворца: Западный проход
10604,Обратная сторона дворца: Восточный Проход
10605,Обратная сторона дворца: Тронный зал
10606,Терминал Хранителя
10607,Терминал Хранителя
10608,Дворец Стража
10609,Дворец Хранителей: Тронный зал
10701,Темная Расщелина
10702,Темный Сад
10703,Темный Замок
10801,Храм начал
910901,Хигаси-Синдзюку: Закоулок (8 лет назад)
91020201,Цифровой мир: Центральный город (8 лет назад)
91050101,Цифровой мир: Факториальный город (8 лет назад)
91030201,Цифровой мир: Пляж Бездны (8 лет назад)
91040401,Цифровой мир: Деревня Шестерёнчатый Лес (8 лет назад)
91060601,Цифровой мир: Дворец хранителей (8 лет назад)
910902,Хигаси-Синдзюку: Закоулок (настоящее время)
91010102,Цифровой мир: Космический терминал (настоящее время)
91020202,Цифровой мир: Центральный город (Современный)
91050102,Цифровой мир: Факториальный город (настоящее время)
91060602,Цифровой мир: Дворец Хранителей (настоящее время)
91030202,Цифровой мир: Пляж Абисс (настоящее время)
91040402,Цифровой мир: Деревня Гир Форест (настоящее время)
91120402,Деревня восстания (настоящее время)
91070102,Цифровой мир: Темная расщелина (современность)
99999,Вход
