priority,category,package,file,line,row_id,speaker,shared_mf_alias,marker,recommended_action,source_en,current_ru,tags
4,possible_player_address_gender,addcont_01_text01,message/d110.mbe/000_Sheet1.csv,8,d110_020_010,char_BLITZGREYMON,,сделал,"проверить, относится ли форма к игроку",What did you do with our friends?!,Что ты сделал с нашими друзьями?!,d110_020_010
4,possible_player_address_gender,addcont_01_text01,message/d110.mbe/000_Sheet1.csv,66,d110_080_010,char_MIRAGEGAOGAMON,,сделала,"проверить, относится ли форма к игроку",What did you do with my master?!,Что ты сделала с моим хозяином?!,
4,possible_player_address_gender,addcont_01_text01,message/d120.mbe/000_Sheet1.csv,57,d120_060_030,char_SUMERAGI,,сказал,"проверить, относится ли форма к игроку","""Wh-What did you say?
The captain's been seriously injured?!""","«Ч-что ты сказал?
Капитан тяжело ранен?!»",d120_060_030
4,possible_player_address_gender,addcont_01_text01,message/d130.mbe/000_Sheet1.csv,42,d130_060_020,char_KUREMI,,сделала,"проверить, относится ли форма к игроку","""I have the weapon you made.
It should at least give me a fighting chance.""","«У меня есть оружие, которое ты сделала.
С ним у меня хотя бы будет шанс».",d130_060_020
4,possible_player_address_gender,addcont_01_text01,message/d140.mbe/000_Sheet1.csv,4,d140_010_030,char_KUREMIKYOKO,,сам,"проверить, относится ли форма к игроку","I seem to remember you constantly ignoring
whatever Mom and I said.","Насколько я помню, ты сам всегда игнорировал
всё, что говорили мы с мамой.",d140_010_030
4,possible_player_address_gender,addcont_01_text01,message/d140.mbe/000_Sheet1.csv,9,d140_010_080,char_BLITZGREYMON,,права,"проверить, относится ли форма к игроку","Yeah, I think you're right...
That human is trying to help our friends.","Да, похоже, ты права...
Этот человек пытается помочь нашим друзьям.",d140_010_080
4,possible_player_address_gender,addcont_01_text01,message/d140.mbe/000_Sheet1.csv,29,d140_025_090,char_BLITZGREYMON,,был,"проверить, относится ли форма к игроку",You were willing to put yourself in serious danger for us...,Ты был готов рисковать собой ради нас...,d140_025_090
4,possible_player_address_gender,addcont_01_text01,message/d140.mbe/000_Sheet1.csv,32,d140_025_120,char_KUREMI,,пришёл,"проверить, относится ли форма к игроку","You came here with my daughter...
That alone is enough of an answer for me.","Ты пришёл сюда вместе с моей дочерью...
Для меня этого достаточно.",d140_025_120
4,possible_player_address_gender,addcont_01_text01,message/d140.mbe/000_Sheet1.csv,61,d140_040_100,char_OMEGAMON_ALTER-S,,уверена,"проверить, относится ли форма к игроку","Are... you sure?
I thought you hated Digimon...","Ты уверена?
Я думал, ты ненавидишь Дигимонов...",d140_040_100
4,possible_player_address_gender,addcont_01_text01,message/dlcep001_field.mbe/000_Sheet1.csv,10,dlcep001_0030_0012,char_KUREMIKYOKO,,готов,"проверить, относится ли форма к игроку","I ought to give him a piece of my mind!
Come on, let's head through the door. Are you ready?","Я должна высказать ему всё, что думаю!
Пойдём через дверь. Ты готов?",
