speaker,speaker_name,dialogue_rows,expected_or_observed_gender,male_first_person_forms,female_first_person_forms,status
char_AEGIOCHUSMON,Эгиохмон,93,contextual male,6,0,first_person_evidence_only
char_AEGIOCHUSMON_BLUE,Эгиохмон: Синий,27,contextual male,3,0,first_person_evidence_only
char_AEGIOCHUSMON_DARK,Эгиохмон: Тёмный,27,contextual male,2,0,first_person_evidence_only
char_AEGIOCHUSMON_GREEN,Эгиохмон: Зелёный,27,contextual male,4,0,first_person_evidence_only
char_AEGIOCHUSMON_HOLLY,Эгиохмон: Святой,27,contextual male,2,0,first_person_evidence_only
char_AEGIOMON,Эгиомон,871,male,38,0,curated_source_confirmed
char_AEROVEEDRAMON,Аэро Ви-драмон,5,unknown,0,0,no_explicit_first_person_form
char_AGNIMON,Агнимон,8,contextual male,1,0,first_person_evidence_only
char_AGUMON,Агумон,90,contextual male,8,0,first_person_evidence_only
char_AIRDRAMON,Эйрдрамон,5,unknown,0,0,no_explicit_first_person_form
char_ALDAMON,Алдамон,5,unknown,0,0,no_explicit_first_person_form
char_ALPHAMON,Альфамон,51,contextual male,3,0,first_person_evidence_only
char_ALPHAMON_OURYUKEN,Альфамон: Орюкен,5,unknown,0,0,no_explicit_first_person_form
char_ANCIENTWISETMON,Древний Вайзмон,7,contextual male,1,0,first_person_evidence_only
char_ANDROMON,Андромон,32,contextual male,1,0,first_person_evidence_only
char_ANGEMON,Ангемон,5,unknown,0,0,no_explicit_first_person_form
char_ANGEWOMON,Ангевумон,10,female,0,1,curated_source_confirmed
char_ANKYLOMON,Анкиломон,16,unknown,0,0,no_explicit_first_person_form
char_ANOMALOCARIMON,Аномалокаримон,2,unknown,0,0,no_explicit_first_person_form
char_ANTYLAMON,Андиромон,2,contextual male,1,0,first_person_evidence_only
char_APOLLOMON,Аполломон,133,male,10,0,curated_source_confirmed
char_AQUILAMON,Аквиламон,5,unknown,0,0,no_explicit_first_person_form
char_ARCHNEMON,Арахнемон,20,female,0,1,curated_source_confirmed
char_ARMADILLOMON,Армадимон,17,contextual male,1,0,first_person_evidence_only
char_ARMAGEMON,Армагемон,1,unknown,0,0,no_explicit_first_person_form
char_ASTAMON,Астамон,23,contextual male,2,0,first_person_evidence_only
char_ATLURKABUTERIMON,АтлаКабутеримон,16,contextual male,2,0,first_person_evidence_only
char_AVENGEKIDMON,АвенжКидмон,4,contextual male,1,0,first_person_evidence_only
char_BACCHUSMON,Вакхмон,178,male,8,0,curated_source_confirmed
char_BAKEMON,Бакэмон,33,contextual male,2,0,first_person_evidence_only
char_BAKUMON,Бакумон,16,contextual male,2,0,first_person_evidence_only
char_BANCHOLEOMON,БанхоЛеомон,111,contextual male,3,0,first_person_evidence_only
char_BARBAMON,Барбамон,5,unknown,0,0,no_explicit_first_person_form
char_BEARMON,Бермон,7,male,0,0,curated_source_confirmed
char_BEELSTARMON,Вель Стармон,33,female,0,4,curated_source_confirmed
char_BEELZEBUMON,Вельзевумон,21,unknown,0,0,no_explicit_first_person_form
char_BEELZEMON_BM,Вельзевумон: Бласт-режим,13,unknown,0,0,no_explicit_first_person_form
char_BELPHEMON_RM,Бельфемон: Режим ярости,5,contextual male,1,0,first_person_evidence_only
char_BELPHEMON_SM,Бельфемон: Режим сна,5,unknown,0,0,no_explicit_first_person_form
char_BEOWOLFMON,Беовульфмон,5,unknown,0,0,no_explicit_first_person_form
char_BETAMON,Бэтамон,14,contextual male,1,0,first_person_evidence_only
char_BIGMAMEMON,Биг Мамемон,7,unknown,0,0,no_explicit_first_person_form
char_BIRDRAMON,Бёрдрамон,6,unknown,0,0,no_explicit_first_person_form
char_BLACKKINGNUMEMON,БлэкКингНумемон,8,unknown,0,0,no_explicit_first_person_form
char_BLACKSHADOW,Темная Тень,1,unknown,0,0,no_explicit_first_person_form
char_BLACKTAILMON,Блэк Теилмон,17,female,0,0,curated_source_confirmed
char_BLIMPMON,Блимпмон,60,contextual male,4,0,first_person_evidence_only
char_BLUEMERAMON,Блю Мерамон,3,unknown,0,0,no_explicit_first_person_form
char_BOLTMON,Болтмон,1,unknown,0,0,no_explicit_first_person_form
char_BOTAMON,Ботамон,6,unknown,0,0,no_explicit_first_person_form
char_BRAKIMON,Брахимон,2,unknown,0,0,no_explicit_first_person_form
char_BREAKDRAMON,Брейкдрамон,12,unknown,0,0,no_explicit_first_person_form
char_BUBBMON,Баббмон,8,unknown,0,0,no_explicit_first_person_form
char_CALAMARAMON,Каламарамон,18,female,0,2,curated_source_confirmed
char_CANNONBEEMON,КэнонБиимон,1,unknown,0,0,no_explicit_first_person_form
char_CAPROMON,Капримон,15,unknown,0,0,no_explicit_first_person_form
char_CATCHMAMEMON,КатчМамаемон,23,contextual male,1,0,first_person_evidence_only
char_CENTALMON,Кенталмон,8,unknown,0,0,no_explicit_first_person_form
char_CERBERUMON,Церберумон,3,unknown,0,0,no_explicit_first_person_form
char_CERESMON,Церемон,7,female,0,0,curated_source_confirmed
char_CERESMON_MEDIUM,Сересмон Медиум,17,female,0,1,curated_source_confirmed
char_CHAOSDRAMON,Хаосдрамон,2,unknown,0,0,no_explicit_first_person_form
char_CHAOSDUKEMON,ХаосДюкмон,5,unknown,0,0,no_explicit_first_person_form
char_CHAOSMON,Хаосмон,5,contextual male,1,0,first_person_evidence_only
char_CHARISMON,Каллисмон,39,contextual male,1,0,first_person_evidence_only
char_CHIMAIRAMON,Химерамон,3,unknown,0,0,no_explicit_first_person_form
char_CHOROMON,Торомон,4,unknown,0,0,no_explicit_first_person_form
char_CHRONOMON_BOSS_EVENT,Хрономон,63,male,4,0,curated_source_confirmed
char_CLAVISANGEMON,Клавис Ангемон,44,male,4,0,curated_source_confirmed
char_CLOCKMON,Клокмон,20,contextual male,1,0,first_person_evidence_only
char_COELAMON,Целамон,2,unknown,0,0,no_explicit_first_person_form
char_COREDRAMON_GR,Кордрамон (Зелёный),1,unknown,0,0,no_explicit_first_person_form
char_CORONAMON,Коронамон,58,male,3,0,curated_source_confirmed
char_CRANIAMON,Краниуммон,88,contextual male,13,0,first_person_evidence_only
char_CROSSMON,Кроссмон,2,unknown,0,0,no_explicit_first_person_form
char_CYBERDRAMON,Кибердрамон,11,unknown,0,0,no_explicit_first_person_form
char_CYCLONEMON,Цикломон,3,unknown,0,0,no_explicit_first_person_form
char_DAGOMON,Дагомон,16,contextual male,1,0,first_person_evidence_only
char_DARKDRAMON,Даркдрамон,1,unknown,0,0,no_explicit_first_person_form
char_DARKSUPERSTARMON,Дарк Суперстармон,17,unknown,0,0,no_explicit_first_person_form
char_DEATHMERAMON,Дес Мерамон,13,contextual male,3,0,first_person_evidence_only
char_DELTAMON,Дельтамон,3,unknown,0,0,no_explicit_first_person_form
char_DELUMON,Делюмон,10,contextual male,1,0,first_person_evidence_only
char_DEMON,Демон,5,unknown,0,0,no_explicit_first_person_form
char_DEVIMON,Девимон,11,contextual male,1,0,first_person_evidence_only
char_DIANAMON,Дианамон,97,female,0,4,curated_source_confirmed
char_DIGITAMAMON,Дигитамамон,17,unknown,0,0,no_explicit_first_person_form
char_DINOHUMON,Динохьюмон,32,contextual male,1,0,first_person_evidence_only
char_DODOMON,Додомон,1,unknown,0,0,no_explicit_first_person_form
char_DORIMON,Доримон,4,unknown,0,0,no_explicit_first_person_form
char_DORUGREYMON,ДОРУгремон,1,unknown,0,0,no_explicit_first_person_form
char_DORUMON,Дорумон,46,contextual male,4,0,first_person_evidence_only
char_DRACOMON,Дракомон,7,unknown,0,0,no_explicit_first_person_form
char_DRACUMON,Дракумон,12,unknown,0,0,no_explicit_first_person_form
char_DRIMOGEMON,Дримогемон,1,unknown,0,0,no_explicit_first_person_form
char_DUFTMON,Дуфтмон,24,contextual male,4,0,first_person_evidence_only
char_DUFTMON_LM,Дуфтмон: Режим леопарда,7,unknown,0,0,no_explicit_first_person_form
char_DUKEMON,Дюкмон,15,contextual male,1,0,first_person_evidence_only
char_DUKEMON_CM,Дюкмон: Багровый режим,5,contextual male,1,0,first_person_evidence_only
char_DURAMON,Дюрамон,5,contextual male,1,0,first_person_evidence_only
char_DYNASMON,Динасмон,32,unknown,0,0,no_explicit_first_person_form
char_EBEMON,ЭБЭмон,10,unknown,0,0,no_explicit_first_person_form
char_ELECMON,Элекмон,9,contextual male,1,0,first_person_evidence_only
char_ENBARRMON,Энбаррмон,26,contextual male,2,0,first_person_evidence_only
char_ETEMON,Этемон,172,unknown,0,0,no_explicit_first_person_form
char_EX-TYRANOMON,Экс-Тираномон,14,contextual male,1,0,first_person_evidence_only
char_EXAMON,Эксамон,56,male,12,0,curated_source_confirmed
char_FALCOMON,Фалькомон,25,contextual male,1,0,first_person_evidence_only
char_FANTOMON,Фантомон,12,unknown,0,0,no_explicit_first_person_form
char_FLAMEDRAMON,Фладрамон,8,contextual male,1,0,first_person_evidence_only
char_FLORAMON,Флорамон,38,contextual female,0,1,first_person_evidence_only
char_FLYMON,Флаймон,5,unknown,0,0,no_explicit_first_person_form
char_FUGAMON,Фугамон,27,male,1,0,curated_source_confirmed
char_FUNBEEMON,Фанбимон,28,contextual male,1,0,first_person_evidence_only
char_GABUMON,Габумон,32,contextual male,3,0,first_person_evidence_only
char_GAIOMON,Гайоумон,2,unknown,0,0,no_explicit_first_person_form
char_GANIMON,Ганимон,21,unknown,0,0,no_explicit_first_person_form
char_GANKOOMON,Гэнкумон,92,contextual male,7,0,first_person_evidence_only
char_GAOGAMON,Гаогамон,6,contextual male,1,0,first_person_evidence_only
char_GAOMON,Гаомон,20,contextual male,2,0,first_person_evidence_only
char_GARGOMON,Гальгомон,11,contextual male,2,0,first_person_evidence_only
char_GARUDAMON,Гарудамон,13,unknown,0,0,no_explicit_first_person_form
char_GARUMMON,Гаруммон,8,contextual male,1,0,first_person_evidence_only
char_GARURUMON,Гарурумон,5,unknown,0,0,no_explicit_first_person_form
char_GAWAPPAMON,Гаваппамон,34,unknown,0,0,no_explicit_first_person_form
char_GAZIMON,Газимон,15,unknown,0,0,no_explicit_first_person_form
char_GEKOMON,Гэкомон,229,male,3,0,curated_source_confirmed
char_GEOGREYMON,Гео Греймон,5,unknown,0,0,no_explicit_first_person_form
char_GERBEMON,Гербемон,19,contextual male,1,0,first_person_evidence_only
char_GEREMON,Геремон,3,unknown,0,0,no_explicit_first_person_form
char_GIGADRAMON,Гигадрамон,1,unknown,0,0,no_explicit_first_person_form
char_GINRYUMON,Джинрюмон,6,unknown,0,0,no_explicit_first_person_form
char_GIZAMON,Гизамон,9,unknown,0,0,no_explicit_first_person_form
char_GOBURIMON,Гобуримон,17,contextual male,1,0,first_person_evidence_only
char_GODDRAMON,Годдрамон,7,contextual male,1,0,first_person_evidence_only
char_GOLDNUMEMON,ГолдНумемон,4,contextual male,1,0,first_person_evidence_only
char_GOLEMON,Големон,1,unknown,0,0,no_explicit_first_person_form
char_GOMAMON,Гомамон,12,contextual male,2,0,first_person_evidence_only
char_GOTTSUMON,Готцумон,26,unknown,0,0,no_explicit_first_person_form
char_GRACENOVAMON,Грейс Новамон,12,contextual male,1,0,first_person_evidence_only
char_GRADEMON,Градемон,15,unknown,0,0,no_explicit_first_person_form
char_GRANKUWAGAMON,ГранКувагамон,4,unknown,0,0,no_explicit_first_person_form
char_GRAPLEOMON,ГрапЛеомон,68,male,3,0,curated_source_confirmed
char_GREATGRYZMON,ГрейтГриззмон,1,unknown,0,0,no_explicit_first_person_form
char_GREYMON,Греймон,5,unknown,0,0,no_explicit_first_person_form
char_GRIFFOMON,Гриффомон,47,contextual male,3,0,first_person_evidence_only
char_GROUNDLOCOMON,ГрандЛокомон,5,unknown,0,0,no_explicit_first_person_form
char_GROUNDRAMON,Граундрамон,1,unknown,0,0,no_explicit_first_person_form
char_GROWMON,Граумон,7,unknown,0,0,no_explicit_first_person_form
char_GUARDROMON,Гардромон,194,contextual male,5,0,first_person_evidence_only
char_GUARDROMON_GL,Гардромон (золотой),44,contextual male,1,0,first_person_evidence_only
char_GUILMON,Гилмон,17,contextual male,1,0,first_person_evidence_only
char_GUNDRAMON,Гандрамон,9,unknown,0,0,no_explicit_first_person_form
char_HACKMON,Хакмон,5,unknown,0,0,no_explicit_first_person_form
char_HAGURUMON,Хагурумон,84,unknown,0,0,no_explicit_first_person_form
char_HANGYOMON,Хангёмон,73,contextual male,3,0,first_person_evidence_only
char_HAWKMON,Хоукмон,31,contextual male,1,0,first_person_evidence_only
char_HERCULESKABUTERIMON,ГераклКабутеримон,15,contextual male,1,0,first_person_evidence_only
char_HIANDROMON,ХиАндромон,14,contextual male,2,0,first_person_evidence_only
char_HIPPOGRIFFOMON,Гиппогрифомон,7,unknown,0,0,no_explicit_first_person_form
char_HISYARYUMON,Хисьярюмон,2,unknown,0,0,no_explicit_first_person_form
char_HOLSMON,Холсмон,6,contextual male,1,0,first_person_evidence_only
char_HOLYANGEMON,Холи Ангемон,8,contextual male,1,0,first_person_evidence_only
char_HOLYDRAMON,Холидрамон,5,contextual male,1,0,first_person_evidence_only
char_HOUOUMON,Хоуоумон,7,contextual male,1,0,first_person_evidence_only
char_HYOUGAMON,Хёгамон,27,unknown,0,0,no_explicit_first_person_form
char_ICEDEVIMON,АйсДевимон,2,unknown,0,0,no_explicit_first_person_form
char_ICEMON,Айсмон,2,unknown,0,0,no_explicit_first_person_form
char_IKKAKUMON,Иккакумон,9,contextual male,1,0,first_person_evidence_only
char_IMPERIALDRAMON_FM,Империалдрамон: Режим Бойца,14,unknown,0,0,no_explicit_first_person_form
char_IMPMON,Импмон,15,contextual male,1,0,first_person_evidence_only
char_JESMON,Джесмон,56,male,8,0,curated_source_confirmed
