package,file,speaker,speaker_name,dialogue_rows,observed_ru_gender,male_first_person_forms,female_first_person_forms,source_pronoun_gender,source_male_evidence,source_female_evidence,source_samples
patch_text01,message/arena01.mbe/000_Sheet1.csv,char_ETEMON,Этемон,163,unknown,0,0,unknown,0,0,
patch_text01,message/d07.mbe/000_Sheet1.csv,char_GEKOMON,Гэкомон,147,male,1,0,unknown,0,0,
patch_text01,message/rumor_npc.mbe/000_Sheet1.csv,char_MAMEMON,Мамемон,146,male,1,0,unknown,0,0,
patch_text01,message/d05.mbe/000_Sheet1.csv,char_GUARDROMON,Гардромон,125,male,3,0,unknown,0,0,
patch_text01,message/s020_018.mbe/000_Sheet1.csv,char_KAMEMON,Камемон,84,male,7,0,unknown,0,0,
patch_text01,message/d01.mbe/000_Sheet1.csv,char_PUMPMON,Пампмон,76,male,1,0,unknown,0,0,
patch_text01,message/s110_100.mbe/000_Sheet1.csv,char_V-MON,Ви-мон,76,male,3,0,unknown,0,0,
patch_text01,message/d09.mbe/000_Sheet1.csv,char_AEGIOMON,Эгиомон,66,male,2,0,male,1,0,"I wonder what'll happen to the world then... Aegiomon said to trust him, but..."
addcont_02_text01,message/d220.mbe/000_Sheet1.csv,char_BANCHOLEOMON,БанхоЛеомон,59,male,1,0,unknown,0,0,
patch_text01,message/s110_101.mbe/000_Sheet1.csv,char_MAGNAMON,Магнамон,58,male,8,0,unknown,0,0,
patch_text01,message/s070_055.mbe/000_Sheet1.csv,char_MINERVAMON,Минервамон,53,female,0,2,unknown,0,0,
patch_text01,message/field_text.mbe/000_Sheet1.csv,char_VADEMON,Вейдмон,52,unknown,0,0,unknown,0,0,
patch_text01,message/d05.mbe/000_Sheet1.csv,char_VOLCAMON,Волкамон,51,male,1,0,unknown,0,0,
patch_text01,message/battle.mbe/000_Sheet1.csv,char_AEGIOMON,Эгиомон,50,male,2,0,unknown,0,0,
patch_text01,message/s020_173.mbe/000_Sheet1.csv,char_MARINEANGEMON,Маринангемон,50,female,0,5,unknown,0,0,
patch_text01,message/s110_092.mbe/000_Sheet1.csv,char_CRANIAMON,Краниуммон,49,male,5,0,unknown,0,0,
patch_text01,message/m090.mbe/000_Sheet1.csv,char_MINERVAMON,Минервамон,49,female,0,3,unknown,0,0,
patch_text01,message/battle.mbe/000_Sheet1.csv,char_CHRONOMON_BOSS_EVENT,Хрономон,47,male,3,0,unknown,0,0,
patch_text01,message/d03.mbe/000_Sheet1.csv,char_KAMEMON,Камемон,47,male,5,0,male,1,0,"The Coral Fragments haven't arrived yet. I asked Kamemon to get me some, but he still hasn't come back."
patch_text01,message/s040_160.mbe/000_Sheet1.csv,char_MARSMON,Марсмон,47,male,5,0,unknown,0,0,
patch_text01,message/d09.mbe/000_Sheet1.csv,char_VENUSMON,Венусмон,47,unknown,0,0,female,0,1,"It's all thanks to Lady Venusmon. I may not be completely cured, but she never gave up and continued to treat me."
patch_text01,message/m150.mbe/000_Sheet1.csv,char_AEGIOMON,Эгиомон,45,unknown,0,0,unknown,0,0,
patch_text01,message/s110_108.mbe/000_Sheet1.csv,char_EXAMON,Эксамон,45,male,12,0,unknown,0,0,
patch_text01,message/d09.mbe/000_Sheet1.csv,char_VULCANUSMON,Вулканусмон,43,male,2,0,unknown,0,0,
patch_text01,message/d09.mbe/000_Sheet1.csv,char_BACCHUSMON,Вакхмон,42,male,2,0,male,1,0,"In the meantime, I shall keep an eye on Lord Bacchusmon and make sure he stays awake after all this drinking!"
patch_text01,message/s110_111.mbe/000_Sheet1.csv,char_GANKOOMON,Гэнкумон,42,male,4,0,unknown,0,0,
patch_text01,message/d05.mbe/000_Sheet1.csv,char_MARSMON,Марсмон,42,male,4,0,unknown,0,0,
patch_text01,message/m170.mbe/000_Sheet1.csv,char_AEGIOMON,Эгиомон,41,male,1,0,unknown,0,0,
patch_text01,message/m300.mbe/000_Sheet1.csv,char_BACCHUSMON,Вакхмон,41,male,4,0,male,1,0,"Just because Bacchusmon quit drinking, there's no excuse for him to eat like a glutton!"
patch_text01,message/s070_167.mbe/000_Sheet1.csv,char_MINERVAMON,Минервамон,40,female,0,4,unknown,0,0,
patch_text01,message/m170.mbe/000_Sheet1.csv,char_SHELLMON,Шеллмон,40,female,0,1,unknown,0,0,
