id,english_name,before,after,source_type,source_url,confidence,note
char_EX-TYRANOMON,ExTyrannomon,ЭксТиранномон,Экс-Тираномон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Ex-Tyranomon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_LEKISMON,Lekismon,Лекисмон,Лексимон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Lekismon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_SKULLSATAMON,SkullSatamon,СкулСатамон,Скалл Сатамон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Skull_Satamon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_AIRDRAMON,Airdramon,Аирдрамон,Эйрдрамон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Airdramon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_BAKEMON,Bakemon,Бакемон,Бакэмон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Bakemon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_DORUGORAMON,Dorugoramon,Доругорамон,ДОРУгорамон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/DORUgoramon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_TYUMON,Chuumon,Чуумон,Тюмон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Tyumon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_WHAMON,Whamon,Вамон,Уэмон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Whamon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_WARGREYMON,WarGreymon,ВарГреймон,Вор Греймон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/War_Greymon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_BIGMAMEMON,BigMamemon,БигМамемон,Биг Мамемон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Big_Mamemon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_SANGLOUPMON,Sangloupmon,Санглупмон,Сулюпмон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Sangloupmon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_GRANDDRACUMON,GranDracmon,ГрандДракмон,Гранд Дракумон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Grand_Dracumon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_BEELZEBUMON,Beelzemon,Вельземон,Вельзевумон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Beelzebumon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_DEMON,Creepymon,Крипимон,Демон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Demon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_DEMON_BIG,Creepymon,Крипимон,Демон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Demon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_LUCEMON_FM,Lucemon CM,Люцемон СМ,Люцимон: Падший режим,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Lucemon%3A_Falldown_Mode,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_FUNBEEMON,FunBeemon,ФанБиимон,Фанбимон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Funbeemon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_BLACKTAILMON,BlackGatomon,БлэкГатомон,Блэк Теилмон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Black_Tailmon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_CHRONOMON,Chronomon HM,"Хрономон , ХМ",Хрономон в священном режиме,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Chronomon_Holy_Mode,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_GODDRAMON,Goldramon,Голдрамон,Годдрамон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Goddramon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_GEOGREYMON,GeoGreymon,ГеоГреймон,Гео Греймон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Geo_Greymon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_SUNFLOWMON,Sunflowmon,Санфлоумон,Санфлаумон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Sunflowmon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_MONZAEMON,Monzaemon,Монзаэмон,Мондзаэмон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Monzaemon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_RIZEGREYMON,RizeGreymon,РайзГреймон,Райз Греймон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Rize_Greymon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
char_MACHGAOGAMON,MachGaogamon,Мачгаогамон,Мах Гаогамон,ru_digimon_fandom,https://digimon.fandom.com/ru/wiki/Mach_Gaogamon,medium,Changed to the selected Russian Digimon Wiki/Fandom form during the name localization pass.
