#,id,english_name,local_russian_name,wiki_page,wiki_russian_name,status,matched_by,matched_candidate,wiki_url
1,char_EX-TYRANOMON,ExTyrannomon,Экс-Тираномон,Ex-Tyranomon,Экс-Тираномон,ok,candidate,Ex-Tyranomon,https://digimon.fandom.com/ru/wiki/Ex-Tyranomon
2,char_LUNAMON,Lunamon,Лунамон,Lunamon,Лунамон,ok,candidate,Lunamon,https://digimon.fandom.com/ru/wiki/Lunamon
3,char_LEKISMON,Lekismon,Лексимон,Lekismon,Лексимон,ok,candidate,Lekismon,https://digimon.fandom.com/ru/wiki/Lekismon
4,char_CRESCEMON,Crescemon,Крескемон,,,no_wiki_match,,,
5,char_GOLEMON,Golemon,Големон,Golemon,Големон,ok,candidate,Golemon,https://digimon.fandom.com/ru/wiki/Golemon
6,char_SKULLSATAMON,SkullSatamon,Скалл Сатамон,Skull Satamon,Скалл Сатамон,ok,candidate,SkullSatamon,https://digimon.fandom.com/ru/wiki/Skull_Satamon
7,char_HAGURUMON,Hagurumon,Хагурумон,Hagurumon,Хагурумон,ok,candidate,Hagurumon,https://digimon.fandom.com/ru/wiki/Hagurumon
8,char_MERAMON,Meramon,Мерамон,Meramon,Мерамон,ok,candidate,Meramon,https://digimon.fandom.com/ru/wiki/Meramon
9,char_AIRDRAMON,Airdramon,Эйрдрамон,Airdramon,Эйрдрамон,ok,candidate,Airdramon,https://digimon.fandom.com/ru/wiki/Airdramon
10,char_GARURUMON,Garurumon,Гарурумон,Garurumon,Гарурумон,ok,candidate,Garurumon,https://digimon.fandom.com/ru/wiki/Garurumon
11,char_BAKEMON,Bakemon,Бакэмон,Bakemon,Бакэмон,ok,candidate,Bakemon,https://digimon.fandom.com/ru/wiki/Bakemon
12,char_STARMON,Starmon,Стармон,Starmon,Стармон,ok,candidate,Starmon,https://digimon.fandom.com/ru/wiki/Starmon
13,char_AQUILAMON,Aquilamon,Аквиламон,Aquilamon,Аквиламон,ok,candidate,Aquilamon,https://digimon.fandom.com/ru/wiki/Aquilamon
14,char_STRIKEDRAMON,Strikedramon,Страйкдрамон,Strikedramon,Страйкдрамон,ok,candidate,Strikedramon,https://digimon.fandom.com/ru/wiki/Strikedramon
15,char_MINOTAURMON,Minotarumon,Минотарумон,,,no_wiki_match,,,
16,char_DORUGORAMON,Dorugoramon,ДОРУгорамон,DORUgoramon,ДОРУгорамон,ok,candidate,Dorugoramon,https://digimon.fandom.com/ru/wiki/DORUgoramon
17,char_TYUMON,Chuumon,Тюмон,Tyumon,Тюмон,ok,candidate,Tyumon,https://digimon.fandom.com/ru/wiki/Tyumon
