#,id,english_name,local_russian_name,wiki_page,wiki_russian_name,status,matched_by,matched_candidate,wiki_url
4,char_CRESCEMON,Crescemon,Крескемон,,,no_wiki_match,,,
15,char_MINOTAURMON,Minotarumon,Минотарумон,,,no_wiki_match,,,
20,char_MARINEANGEMON,MarineAngemon,Маринангемон,,,no_wiki_match,,,
22,char_GRADEMON,Grademon,Градемон,,,no_wiki_match,,,
26,char_MATADRMON,Matadormon,Матадормон,,,no_wiki_match,,,
29,char_LILITHMON,Lilithmon,Лилитмон,,,no_wiki_match,,,
38,char_BELPHEMON_RM,Belphemon RM,Бельфемон: Режим ярости,,,no_wiki_match,,,
39,char_BELPHEMON_RM_BIG,Belphemon RM,Бельфемон: Режим ярости,,,no_wiki_match,,,
43,char_CATCHMAMEMON,CatchMamemon,КатчМамаемон,,,no_wiki_match,,,
45,char_CHRONOMON_DESTROY,Chronomon DM,Хрономон: Режим разрушения,,,no_wiki_match,,,
49,char_BANCHOLEOMON,BanchoLeomon,БанхоЛеомон,,,no_wiki_match,,,
59,char_VOLCAMON,Volcanomon,Волканомон,,,no_wiki_match,,,
60,char_PILEVOLCAMON,PileVolcanomon,ПилеВолканомон,,,no_wiki_match,,,
63,char_PLATINUMNUMEMON,PlatinumNumemon,ПлатинаНумемон,,,no_wiki_match,,,
70,char_SHAWUJINMON,Shaujinmon,Шауджинмон,,,no_wiki_match,,,
74,char_MERCURYMON,Merukimon,Мерукимон,,,no_wiki_match,,,
93,char_JUMBOGAMEMON,JumboGamemon,ДжамбоГамемон,,,no_wiki_match,,,
96,char_TURUIEMON,Turuiemon,Туруйемон,,,no_wiki_match,,,
99,char_DUKEMON_CM,Gallantmon CM,Дюкмон: Багровый режим,,,no_wiki_match,,,
104,char_GOLDNUMEMON,GoldNumemon,ГолдНумемон,,,no_wiki_match,,,
109,char_CHAOSMONVALDURARM,Chaosmon: Valdur Arm,Хаосмон: Рука Валдура,,,no_wiki_match,,,
112,char_KINGETEMON,KingEtemon,КингЕтемон,,,no_wiki_match,,,
118,char_WARUSEADRAMON,WaruSeadramon,ВарСидрамон,,,no_wiki_match,,,
122,char_FIRAMON,Firamon,Фирамон,,,no_wiki_match,,,
123,char_FLAREMON,Flaremon,Флэремон,,,no_wiki_match,,,
128,char_DIGMON,Digmon,Дигмон,,,no_wiki_match,,,
134,char_CHAOSDUKEMON,ChaosGallantmon,ХаосГаллантмон,,,no_wiki_match,,,
137,char_CALAMARAMON,Calmaramon,Кальмарамон,,,no_wiki_match,,,
138,char_CALAMARAMON_ADD,Calmaramon (Mantle),Кальмарамон (Мантия),,,no_wiki_match,,,
142,char_JUNOMON,Junomon,Юномон,,,no_wiki_match,,,
143,char_JUNOMON_HYSTERICMODE,Junomon HM,Юномон: Истерический режим,,,no_wiki_match,,,
144,char_JUNOMON_HYSTERICMODE_ADD,Junomon HM (Lances),Юномон: Истерический режим (копья),,,no_wiki_match,,,
147,char_APOLLOMON_ADD,Apollomon (Flame Sphere),Аполломон (огненная сфера),Apollomon,Аполломон,different,candidate,Apollomon,https://digimon.fandom.com/ru/wiki/Apollomon
149,char_CERESMON,Ceresmon,Церемон,,,no_wiki_match,,,
151,char_VULCANUSMON,Vulcanusmon,Вулканусмон,,,no_wiki_match,,,
152,char_VULCANUSMON_BIG,Vulcanusmon,Вулканусмон,,,no_wiki_match,,,
153,char_VULCANUSMON_GUEST_BIG,Vulcanusmon,Вулканусмон,,,no_wiki_match,,,
156,char_MERVAMON,Mervamon,Мервамон,,,no_wiki_match,,,
158,char_AEGIOMON_PLAIN_CLOTHES,Aegiomon (Street Clothes),Эгиомон (уличная одежда),Aegiomon,Эгиомон,different,candidate,Aegiomon,https://digimon.fandom.com/ru/wiki/Aegiomon
159,char_AEGIOMON_NO_CAP,Aegiomon (Hatless Street Clothes),Эгиомон (уличная одежда без головного убора),Aegiomon,Эгиомон,different,candidate,Aegiomon,https://digimon.fandom.com/ru/wiki/Aegiomon
165,char_CERESMON_MEDIUM,Ceresmon Medium,Сересмон Медиум,,,no_wiki_match,,,
167,char_GINRYUMON,Ginryumon,Джинрюмон,,,no_wiki_match,,,
168,char_HISYARYUMON,Hisyaryumon,Хисьярюмон,,,no_wiki_match,,,
169,char_OURYUMON,Ouryumon,Оурюмон,,,no_wiki_match,,,
176,char_ARCHNEMON,Arukenimon,Арукенимон,,,no_wiki_match,,,
197,char_PHARAOHMON,Pharaohmon,Фараомон,,,no_wiki_match,,,
198,char_PHARAOHMON_BIG,Pharaohmon,Фараомон,,,no_wiki_match,,,
204,char_SIRENMON,Sirenmon,Сиренмон,,,no_wiki_match,,,
205,char_BELIALVAMDEMON,MaloMyotismon,Маломиотизмон,,,no_wiki_match,,,
210,char_OCTMON,Octomon,Октомон,,,no_wiki_match,,,
217,char_ATLURKABUTERIMON,MegaKabuterimon,МегаКабутеримон,,,no_wiki_match,,,
218,char_HERCULESKABUTERIMON,HerculesKabuterimon,ГеркулесКабутеримон,,,no_wiki_match,,,
219,char_HERCULESKABUTERIMON_BIG,HerculesKabuterimon,ГеркулесКабутеримон,,,no_wiki_match,,,
223,char_HOUOUMON,Phoenixmon,Фениксмон,,,no_wiki_match,,,
226,char_SUKAMON,Sukamon,Сукамон,,,no_wiki_match,,,
243,char_VIKEMON,Vikemon,Викемон,,,no_wiki_match,,,
247,char_EXSAON_BOSS,Examon (Boss),Эксамон (босс),Examon,Эксамон,different,candidate,Examon,https://digimon.fandom.com/ru/wiki/Examon
248,char_LILLYMON,Lillymon,Лиллимон,,,no_wiki_match,,,
250,char_TYRANNOMON,Tyrannomon,Тиранномон,,,no_wiki_match,,,
251,char_METALTYRANNOMON,MetalTyrannomon,МеталлТиранномон,,,no_wiki_match,,,
257,char_MOJYAMON,Mojyamon,Моджьямон,,,no_wiki_match,,,
259,char_DRIMOGEMON,Drimogemon,Дримогемон,,,no_wiki_match,,,
263,char_WIZARDMON,Wizardmon,Визардмон,,,no_wiki_match,,,
265,char_JYUREIMON,Cherrymon,Черимон,,,no_wiki_match,,,
266,char_JYUREIMON_BIG,Cherrymon,Черимон,,,no_wiki_match,,,
270,char_RUSTTYRANOMON,RustTyrannomon,РастТиранномон,,,no_wiki_match,,,
287,char_OKUWAMON,Okuwamon,Окувамон,,,no_wiki_match,,,
289,char_GRAPLEOMON,GrapLeomon,ГрапЛеомон,,,no_wiki_match,,,
292,char_TAOMON,Taomon,Таомон,,,no_wiki_match,,,
294,char_DORUGREYMON,DoruGreymon,ДоруГреймон,,,no_wiki_match,,,
296,char_PANJYAMON,IceLeomon,АйсЛеомон,,,no_wiki_match,,,
308,char_OPHANIMON,Ophanimon,Офанимон,,,no_wiki_match,,,
310,char_GRANKUWAGAMON,GranKuwagamon,ГранКувагамон,,,no_wiki_match,,,
311,char_GRANKUWAGAMON_BIG,GranKuwagamon,ГранКувагамон,,,no_wiki_match,,,
314,char_HIANDROMON,HiAndromon,ХиАндромон,,,no_wiki_match,,,
317,char_PRINCEMAMEMON,PrinceMamemon,ПринцМамемон,,,no_wiki_match,,,
324,char_BELPHEMON_SM,Belphemon SM,Бельфемон: Режим сна,,,no_wiki_match,,,
325,char_BELPHEMON_SM_BIG,Belphemon SM,Бельфемон: Режим сна,,,no_wiki_match,,,
328,char_TITAMON_2,Titamon (Berserk),Титамон (берсерк),Titamon,Титамон,different,candidate,Titamon,https://digimon.fandom.com/ru/wiki/Titamon
329,char_TITAMON_ADD,Titamon (Berserk) (Twin Blades),Титамон (двойные клинки),Titamon,Титамон,different,candidate,Titamon,https://digimon.fandom.com/ru/wiki/Titamon
330,char_TITAMON_TWIN BLADE,Titamon (Twin Blades),Титамон (двойные лезвия),Titamon,Титамон,different,candidate,Titamon,https://digimon.fandom.com/ru/wiki/Titamon
332,char_EBEMON,Ebemon,Эбемон,,,no_wiki_match,,,
333,char_CYCLONEMON,Cyclonemon,Циклонемон,,,no_wiki_match,,,
336,char_KARATUKINUMEMON,ShellNumemon,ШеллНумемон,,,no_wiki_match,,,
340,char_SKULLMAMMON,SkullMammothmon,СкулМаммонмон,,,no_wiki_match,,,
341,char_BLIMPMON,Blimpmon,Блимпмон,,,no_wiki_match,,,
342,char_MASTERBLIMPMON,MasterBlimpmon,МастерБлимпмон,,,no_wiki_match,,,
