#,id,english_name,russian_name
1,char_EX-TYRANOMON,ExTyrannomon,Экс-Тираномон
2,char_LUNAMON,Lunamon,Лунамон
3,char_LEKISMON,Lekismon,Лексимон
4,char_CRESCEMON,Crescemon,Крескемон
5,char_GOLEMON,Golemon,Големон
6,char_SKULLSATAMON,SkullSatamon,Скалл Сатамон
7,char_HAGURUMON,Hagurumon,Хагурумон
8,char_MERAMON,Meramon,Мерамон
9,char_AIRDRAMON,Airdramon,Эйрдрамон
10,char_GARURUMON,Garurumon,Гарурумон
11,char_BAKEMON,Bakemon,Бакэмон
12,char_STARMON,Starmon,Стармон
13,char_AQUILAMON,Aquilamon,Аквиламон
14,char_STRIKEDRAMON,Strikedramon,Страйкдрамон
15,char_MINOTAURMON,Minotarumon,Минотарумон
16,char_DORUGORAMON,Dorugoramon,ДОРУгорамон
17,char_TYUMON,Chuumon,Тюмон
18,char_WHAMON,Whamon,Уэмон
19,char_DINOBEEMON,Dinobeemon,Динобимон
20,char_MARINEANGEMON,MarineAngemon,Маринангемон
21,char_RAPTORDRAMON,Raptordramon,Раптордрамон
22,char_GRADEMON,Grademon,Градемон
23,char_WARGREYMON,WarGreymon,Вор Греймон
24,char_BIGMAMEMON,BigMamemon,Биг Мамемон
25,char_SANGLOUPMON,Sangloupmon,Сулюпмон
26,char_MATADRMON,Matadormon,Матадормон
27,char_GRANDDRACUMON,GranDracmon,Гранд Дракумон
28,char_TRICERAMON,Triceramon,Трицерамон
29,char_LILITHMON,Lilithmon,Лилитмон
30,char_BEELZEBUMON,Beelzemon,Вельзевумон
31,char_BARBAMON,Barbamon,Барбамон
32,char_BARBAMON_BIG,Barbamon,Барбамон
33,char_LEVIAMON,Leviamon,Левиамон
34,char_LEVIAMON_BIG,Leviamon,Левиамон
35,char_DEMON,Creepymon,Демон
36,char_DEMON_BIG,Creepymon,Демон
37,char_LUCEMON_FM,Lucemon CM,Люцимон: Падший режим
38,char_BELPHEMON_RM,Belphemon RM,Бельфемон: Режим ярости
39,char_BELPHEMON_RM_BIG,Belphemon RM,Бельфемон: Режим ярости
40,char_PANDAMON,Pandamon,Пандамон
41,char_FUNBEEMON,FunBeemon,Фанбимон
42,char_BLACKTAILMON,BlackGatomon,Блэк Теилмон
43,char_CATCHMAMEMON,CatchMamemon,КатчМамаемон
44,char_CHRONOMON,Chronomon HM,Хрономон в священном режиме
45,char_CHRONOMON_DESTROY,Chronomon DM,Хрономон: Режим разрушения
46,char_MEGIDRAMON,Megidramon,Мегидрамон
47,char_MEGIDRAMON_BIG,Megidramon,Мегидрамон
