#	id	english_name	russian_name
1	char_EX-TYRANOMON	ExTyrannomon	ЭксТиранномон
2	char_LUNAMON	Lunamon	Лунамон
3	char_LEKISMON	Lekismon	Лекисмон
4	char_CRESCEMON	Crescemon	Крескемон
5	char_GOLEMON	Golemon	Големон
6	char_SKULLSATAMON	SkullSatamon	СкулСатамон
7	char_HAGURUMON	Hagurumon	Хагурумон
8	char_MERAMON	Meramon	Мерамон
9	char_AIRDRAMON	Airdramon	Аирдрамон
10	char_GARURUMON	Garurumon	Гарурумон
11	char_BAKEMON	Bakemon	Бакемон
12	char_STARMON	Starmon	Стармон
13	char_AQUILAMON	Aquilamon	Аквиламон
14	char_STRIKEDRAMON	Strikedramon	Страйкдрамон
15	char_MINOTAURMON	Minotarumon	Минотарумон
16	char_DORUGORAMON	Dorugoramon	Доругорамон
17	char_TYUMON	Chuumon	Чуумон
18	char_WHAMON	Whamon	Вамон
19	char_DINOBEEMON	Dinobeemon	Динобимон
20	char_MARINEANGEMON	MarineAngemon	Маринангемон
21	char_RAPTORDRAMON	Raptordramon	Раптордрамон
22	char_GRADEMON	Grademon	Градемон
23	char_WARGREYMON	WarGreymon	ВарГреймон
24	char_BIGMAMEMON	BigMamemon	БигМамемон
25	char_SANGLOUPMON	Sangloupmon	Санглупмон
26	char_MATADRMON	Matadormon	Матадормон
27	char_GRANDDRACUMON	GranDracmon	ГрандДракмон
28	char_TRICERAMON	Triceramon	Трицерамон
29	char_LILITHMON	Lilithmon	Лилитмон
30	char_BEELZEBUMON	Beelzemon	Вельземон
31	char_BARBAMON	Barbamon	Барбамон
32	char_BARBAMON_BIG	Barbamon	Барбамон
33	char_LEVIAMON	Leviamon	Левиамон
34	char_LEVIAMON_BIG	Leviamon	Левиамон
35	char_DEMON	Creepymon	Крипимон
36	char_DEMON_BIG	Creepymon	Крипимон
37	char_LUCEMON_FM	Lucemon CM	Люцемон СМ
38	char_BELPHEMON_RM	Belphemon RM	Бельфемон РМ
