"package","file","base_id","role","male_protagonist_text","female_protagonist_text","confidence","basis"
"addcont_01_text01","message/digimon_chat_dlc01.mbe/000_Sheet1.csv","omed_001_2_replay","player","Я бы не стал, даже если бы ты меня об этом попросил.","Я бы не стала, даже если бы ты меня об этом попросил.","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","chaos_001_2_replay","player","Я прочитал уйму книг.","Я прочитала уйму книг.","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","guraleo_001_2_replay","player","Я прочитал много книг.","Я прочитала много книг.","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","pal_001_2_replay","player","Уверен, это помогает с фотосинтезом.","Уверена, это помогает с фотосинтезом.","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","chiri_001_4_replay","player","Согласен.","Согласна.","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","duna_001_3_replay","player","Рад за тебя.","Рада за тебя.","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","deta_001_3_replay","player","Я бы тоже там работал!","Я бы тоже там работала!","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","deta_001_4_replay","player","Спорим, я бы ел там каждый день!","Спорим, я бы ела там каждый день!","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","claan_001_2_replay","player","Боюсь, я забыл запереть дверь.","Боюсь, я забыла запереть дверь.","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","hawk_001_2_replay","player","Я бы спросил, что их беспокоит.","Я бы спросила, что их беспокоит.","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","hawk_001_3_replay","player","Я бы постарался их подбодрить.","Я бы постаралась их подбодрить.","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","hawk_001_4_replay","player","Я бы их обнял!","Я бы их обняла!","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","levi_001_1_replay","player","О, я позеленел от зависти.","О, я позеленела от зависти.","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","luna_001_1_replay","player","Я подбадривал тебя!","Я подбадривала тебя!","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","luna_001_4_replay","player","Я просто поздоровался!","Я просто поздоровалась!","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","magul_001_1_replay","player","Я бы с удовольствием посмотрел на это!","Я бы с удовольствием посмотрела на это!","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","mgaob_001_3_replay","player","Во всяком случае, я этого не планировал.","Во всяком случае, я этого не планировала.","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","migao_001_2_replay","player","Я бы с удовольствием посмотрел на это!","Я бы с удовольствием посмотрела на это!","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","mochi_001_1_replay","player","Я бы с удовольствием посмотрел на это!","Я бы с удовольствием посмотрела на это!","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","mumm_001_2_replay","player","Я бы с удовольствием посмотрел, как это работает.","Я бы с удовольствием посмотрела, как это работает.","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","octa_001_1_replay","player","Я бы не возражал против охоты за сокровищами.","Я бы не возражала против охоты за сокровищами.","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","omsha_001_3_replay","player","Я бы с удовольствием посмотрел на это!","Я бы с удовольствием посмотрела на это!","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","rose_001_4_replay","player","Я искал тебя, потому что ты мне нравишься.","Я искала тебя, потому что ты мне нравишься.","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","shaw_001_4_replay","player","Я бы защитил реку, где ты мог бы жить.","Я бы защитила реку, где ты мог бы жить.","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","tail_001_1_replay","player","Я бы предпочёл не использовать его без
необходимости.","Я бы предпочла не использовать его без
необходимости.","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","tyran_001_4_replay","player","Я даже не заметил этого.","Я даже не заметила этого.","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","uni_001_3_replay","player","Я бы тоже хотел научиться летать.","Я бы тоже хотела научиться летать.","1.00","player_self_chat_unhooked"
"patch_text01","message/digimon_chat.mbe/000_Sheet1.csv","yuki_001_1_replay","player","Я бы с удовольствием жил с тобой.","Я бы с удовольствием жила с тобой.","1.00","player_self_chat_unhooked"
