package,file,base_id,role,male_protagonist_text,female_protagonist_text,confidence,basis
addcont_01_text01,message/dlcep001_field.mbe/000_Sheet1.csv,dlcep001_0030_0012,player_address,"Я должна высказать ему всё, что думаю!
Пойдём через дверь. Ты готов?","Я должна высказать ему всё, что думаю!
Пойдём через дверь. Ты готова?",1.00,reviewed_player_address_v068
addcont_01_text01,message/dlcep001_field.mbe/000_Sheet1.csv,dlcep001_0030_0013,player_address,Пойдём через дверь. Ты готов?,Пойдём через дверь. Ты готова?,1.00,reviewed_player_address_v068
addcont_01_text01,message/dlcep001_field.mbe/000_Sheet1.csv,dlcep001_0120_0010,player_address,"Впереди тяжёлая битва.
Ты готов?","Впереди тяжёлая битва.
Ты готова?",1.00,reviewed_player_address_v068
addcont_02_text01,message/d210.mbe/000_Sheet1.csv,d210_040_070,player_address,"Где ты был?!
Я уже думала, что ты погиб!","Где ты была?!
Я уже думала, что ты погибла!",1.00,reviewed_player_address_v068
addcont_03_text01,message/d310.mbe/000_Sheet1.csv,d310_030_080,player_address,"Похоже, тебя втянуло в нашу битву,
и последствия вышли катастрофическими. Надеюсь, ты не ранен.","Похоже, тебя втянуло в нашу битву,
и последствия вышли катастрофическими. Надеюсь, ты не ранена.",1.00,reviewed_player_address_v068
addcont_03_text01,message/d310.mbe/000_Sheet1.csv,d310_100_010,player_address,"С тобой все в порядке?
Я очень надеюсь, что ты не ранен.","С тобой все в порядке?
Я очень надеюсь, что ты не ранена.",1.00,reviewed_player_address_v068
patch_text01,message/battle.mbe/000_Sheet1.csv,1081020022,player,"Батарею можно использовать только один раз. Прямо сейчас я
должен сосредоточиться на битве.","Батарею можно использовать только один раз. Прямо сейчас я
должна сосредоточиться на битве.",1.00,player_self
patch_text01,message/d01.mbe/000_Sheet1.csv,f_d0101_0100_0020,player_address,Ты уверен в этом?! Что ты только что сделал?!,Ты уверена в этом?! Что ты только что сделала?!,1.00,reviewed_player_address_v068
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0201_0050_0090,player_address,"Меркуримон - главный босс этого города! Ты должен найти его в
таверне в том переулке!","Меркуримон - главный босс этого города! Ты должна найти его в
таверне в том переулке!",1.00,reviewed_player_address_v068
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0201_0260_0010,player_address,"Ты смог починить Локомона! Это значит, что мы наконец-то можем
отправиться в храм Юномон.","Ты смогла починить Локомона! Это значит, что мы наконец-то можем
отправиться в храм Юномон.",1.00,reviewed_player_address_v068
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0201_0670_0020,player_address,"... Подожди. Напомни, кем ты был?...Но неважно. Ничего
особенного.","... Подожди. Напомни, кем ты была?...Но неважно. Ничего
особенного.",1.00,reviewed_player_address_v068
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0202_0040_0030,player_address,"Скажи, ты знал, что Меркуримон давным-давно был странником?","Скажи, ты знала, что Меркуримон давным-давно был странником?",1.00,reviewed_player_address_v068
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0202_0630_0010,player_address,"Ну, приветик! О да, я тебя помню... Ты один из моих
поклонников, да?!","Ну, приветик! О да, я тебя помню... Ты одна из моих
поклонниц, да?!",1.00,reviewed_player_address_v068
