sep=;
#;id;english_name;current_ru;recommended_ru;action;compare_status;wiki_page;source_type;source_url;confidence;note
1;char_EX-TYRANOMON;ExTyrannomon;Экс-Тираномон;Экс-Тираномон;keep;ok;Ex-Tyranomon;local_current;;high;Already matches the selected Russian reference.
2;char_LUNAMON;Lunamon;Лунамон;Лунамон;keep;ok;Lunamon;local_current;;high;Already matches the selected Russian reference.
3;char_LEKISMON;Lekismon;Лексимон;Лексимон;keep;ok;Lekismon;local_current;;high;Already matches the selected Russian reference.
4;char_CRESCEMON;Crescemon;Крескемон;Крескемон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
5;char_GOLEMON;Golemon;Големон;Големон;keep;ok;Golemon;local_current;;high;Already matches the selected Russian reference.
6;char_SKULLSATAMON;SkullSatamon;Скалл Сатамон;Скалл Сатамон;keep;ok;Skull Satamon;local_current;;high;Already matches the selected Russian reference.
7;char_HAGURUMON;Hagurumon;Хагурумон;Хагурумон;keep;ok;Hagurumon;local_current;;high;Already matches the selected Russian reference.
8;char_MERAMON;Meramon;Мерамон;Мерамон;keep;ok;Meramon;local_current;;high;Already matches the selected Russian reference.
9;char_AIRDRAMON;Airdramon;Эйрдрамон;Эйрдрамон;keep;ok;Airdramon;local_current;;high;Already matches the selected Russian reference.
10;char_GARURUMON;Garurumon;Гарурумон;Гарурумон;keep;ok;Garurumon;local_current;;high;Already matches the selected Russian reference.
11;char_BAKEMON;Bakemon;Бакэмон;Бакэмон;keep;ok;Bakemon;local_current;;high;Already matches the selected Russian reference.
12;char_STARMON;Starmon;Стармон;Стармон;keep;ok;Starmon;local_current;;high;Already matches the selected Russian reference.
13;char_AQUILAMON;Aquilamon;Аквиламон;Аквиламон;keep;ok;Aquilamon;local_current;;high;Already matches the selected Russian reference.
14;char_STRIKEDRAMON;Strikedramon;Страйкдрамон;Страйкдрамон;keep;ok;Strikedramon;local_current;;high;Already matches the selected Russian reference.
15;char_MINOTAURMON;Minotarumon;Минотарумон;Минотарумон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
16;char_DORUGORAMON;Dorugoramon;ДОРУгорамон;ДОРУгорамон;keep;ok;DORUgoramon;local_current;;high;Already matches the selected Russian reference.
17;char_TYUMON;Chuumon;Тюмон;Тюмон;keep;ok;Tyumon;local_current;;high;Already matches the selected Russian reference.
18;char_WHAMON;Whamon;Уэмон;Уэмон;keep;ok;Whamon;local_current;;high;Already matches the selected Russian reference.
19;char_DINOBEEMON;Dinobeemon;Динобимон;Динобимон;keep;ok;Dinobeemon;local_current;;high;Already matches the selected Russian reference.
20;char_MARINEANGEMON;MarineAngemon;Маринангемон;Маринангемон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
21;char_RAPTORDRAMON;Raptordramon;Раптордрамон;Раптордрамон;keep;ok;Raptordramon;local_current;;high;Already matches the selected Russian reference.
22;char_GRADEMON;Grademon;Градемон;Градемон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
23;char_WARGREYMON;WarGreymon;Вор Греймон;Вор Греймон;keep;ok;War Greymon;local_current;;high;Already matches the selected Russian reference.
24;char_BIGMAMEMON;BigMamemon;Биг Мамемон;Биг Мамемон;keep;ok;Big Mamemon;local_current;;high;Already matches the selected Russian reference.
25;char_SANGLOUPMON;Sangloupmon;Сулюпмон;Сулюпмон;keep;ok;Sangloupmon;local_current;;high;Already matches the selected Russian reference.
26;char_MATADRMON;Matadormon;Матадормон;Матадормон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
27;char_GRANDDRACUMON;GranDracmon;Гранд Дракумон;Гранд Дракумон;keep;ok;Grand Dracumon;local_current;;high;Already matches the selected Russian reference.
28;char_TRICERAMON;Triceramon;Трицерамон;Трицерамон;keep;ok;Triceramon;local_current;;high;Already matches the selected Russian reference.
29;char_LILITHMON;Lilithmon;Лилитмон;Лилитмон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
30;char_BEELZEBUMON;Beelzemon;Вельзевумон;Вельзевумон;keep;ok;Beelzebumon;local_current;;high;Already matches the selected Russian reference.
31;char_BARBAMON;Barbamon;Барбамон;Барбамон;keep;ok;Barbamon;local_current;;high;Already matches the selected Russian reference.
32;char_BARBAMON_BIG;Barbamon;Барбамон;Барбамон;keep;ok;Barbamon;local_current;;high;Already matches the selected Russian reference.
33;char_LEVIAMON;Leviamon;Левиамон;Левиамон;keep;ok;Leviamon;local_current;;high;Already matches the selected Russian reference.
34;char_LEVIAMON_BIG;Leviamon;Левиамон;Левиамон;keep;ok;Leviamon;local_current;;high;Already matches the selected Russian reference.
35;char_DEMON;Creepymon;Демон;Демон;keep;ok;Demon;local_current;;high;Already matches the selected Russian reference.
36;char_DEMON_BIG;Creepymon;Демон;Демон;keep;ok;Demon;local_current;;high;Already matches the selected Russian reference.
37;char_LUCEMON_FM;Lucemon CM;Люцимон: Падший режим;Люцимон: Падший режим;keep;ok;Lucemon: Falldown Mode;local_current;;high;Already matches the selected Russian reference.
38;char_BELPHEMON_RM;Belphemon RM;Бельфемон: Режим ярости;Бельфемон: Режим ярости;keep;no_wiki_match;;mode_abbreviation_policy;https://digimon.net/reference_en/detail.php?directory_name=belphemonragemode;medium;RM = Rage Mode. Mode abbreviation expanded from official English naming.
39;char_BELPHEMON_RM_BIG;Belphemon RM;Бельфемон: Режим ярости;Бельфемон: Режим ярости;keep;no_wiki_match;;mode_abbreviation_policy;https://digimon.net/reference_en/detail.php?directory_name=belphemonragemode;medium;RM = Rage Mode. Mode abbreviation expanded from official English naming.
40;char_PANDAMON;Pandamon;Пандамон;Пандамон;keep;ok;Pandamon;local_current;;high;Already matches the selected Russian reference.
41;char_FUNBEEMON;FunBeemon;Фанбимон;Фанбимон;keep;ok;Funbeemon;local_current;;high;Already matches the selected Russian reference.
42;char_BLACKTAILMON;BlackGatomon;Блэк Теилмон;Блэк Теилмон;keep;ok;Black Tailmon;local_current;;high;Already matches the selected Russian reference.
43;char_CATCHMAMEMON;CatchMamemon;КатчМамаемон;КатчМамаемон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
44;char_CHRONOMON;Chronomon HM;Хрономон в священном режиме;Хрономон в священном режиме;keep;ok;Chronomon Holy Mode;local_current;;high;Already matches the selected Russian reference.
45;char_CHRONOMON_DESTROY;Chronomon DM;Хрономон: Режим разрушения;Хрономон: Режим разрушения;keep;no_wiki_match;;mode_abbreviation_policy;https://digimon.net/reference_en/;medium;DM = Destroy Mode. Mode abbreviation expanded from official English naming.
46;char_MEGIDRAMON;Megidramon;Мегидрамон;Мегидрамон;keep;ok;Megidramon;local_current;;high;Already matches the selected Russian reference.
47;char_MEGIDRAMON_BIG;Megidramon;Мегидрамон;Мегидрамон;keep;ok;Megidramon;local_current;;high;Already matches the selected Russian reference.
48;char_GODDRAMON;Goldramon;Годдрамон;Годдрамон;keep;ok;Goddramon;local_current;;high;Already matches the selected Russian reference.
49;char_BANCHOLEOMON;BanchoLeomon;БанхоЛеомон;БанхоЛеомон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
50;char_AGUMON;Agumon;Агумон;Агумон;keep;ok;Agumon;local_current;;high;Already matches the selected Russian reference.
51;char_GAWAPPAMON;Gawappamon;Гаваппамон;Гаваппамон;keep;ok;Gawappamon;local_current;;high;Already matches the selected Russian reference.
52;char_KAMEMON;Kamemon;Камемон;Камемон;keep;ok;Kamemon;local_current;;high;Already matches the selected Russian reference.
53;char_KUDAMON;Kudamon;Кудамон;Кудамон;keep;ok;Kudamon;local_current;;high;Already matches the selected Russian reference.
54;char_GEOGREYMON;GeoGreymon;Гео Греймон;Гео Греймон;keep;ok;Geo Greymon;local_current;;high;Already matches the selected Russian reference.
55;char_GAOMON;Gaomon;Гаомон;Гаомон;keep;ok;Gaomon;local_current;;high;Already matches the selected Russian reference.
56;char_LALAMON;Lalamon;Лаламон;Лаламон;keep;ok;Lalamon;local_current;;high;Already matches the selected Russian reference.
57;char_ROSEMON;Rosemon;Роузмон;Роузмон;keep;ok;Rosemon;local_current;;high;Already matches the selected Russian reference.
58;char_SUNFLOWMON;Sunflowmon;Санфлаумон;Санфлаумон;keep;ok;Sunflowmon;local_current;;high;Already matches the selected Russian reference.
59;char_VOLCAMON;Volcanomon;Волканомон;Волканомон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
60;char_PILEVOLCAMON;PileVolcanomon;ПилеВолканомон;ПилеВолканомон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
61;char_MONZAEMON;Monzaemon;Мондзаэмон;Мондзаэмон;keep;ok;Monzaemon;local_current;;high;Already matches the selected Russian reference.
62;char_GAOGAMON;Gaogamon;Гаогамон;Гаогамон;keep;ok;Gaogamon;local_current;;high;Already matches the selected Russian reference.
63;char_PLATINUMNUMEMON;PlatinumNumemon;ПлатинаНумемон;ПлатинаНумемон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
64;char_NUMEMON;Numemon;Нумемон;Нумемон;keep;ok;Numemon;local_current;;high;Already matches the selected Russian reference.
65;char_RIZEGREYMON;RizeGreymon;Райз Греймон;Райз Греймон;keep;ok;Rize Greymon;local_current;;high;Already matches the selected Russian reference.
66;char_LEOMON;Leomon;Леомон;Леомон;keep;ok;Leomon;local_current;;high;Already matches the selected Russian reference.
67;char_LILAMON;Lilamon;Лиламон;Лиламон;keep;ok;Lilamon;local_current;;high;Already matches the selected Russian reference.
68;char_MACHGAOGAMON;MachGaogamon;Мах Гаогамон;Мах Гаогамон;keep;ok;Mach Gaogamon;local_current;;high;Already matches the selected Russian reference.
69;char_NEPTUNEMON;Neptunemon;Нептунмон;Нептунмон;keep;ok;Neptunemon;local_current;;high;Already matches the selected Russian reference.
70;char_SHAWUJINMON;Shaujinmon;Шауджинмон;Шауджинмон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
71;char_REPPAMON;Reppamon;Реппамон;Реппамон;keep;ok;Reppamon;local_current;;high;Already matches the selected Russian reference.
72;char_GROWMON;Growlmon;Граумон;Граумон;keep;ok;Growmon;local_current;;high;Already matches the selected Russian reference.
73;char_SUPERSTARMON;SuperStarmon;Суперстармон;Суперстармон;keep;ok;Superstarmon;local_current;;high;Already matches the selected Russian reference.
74;char_MERCURYMON;Merukimon;Мерукимон;Мерукимон;keep;no_wiki_match;;local_current;;low;"No matching Russian Digimon Wiki/Fandom page found; kept current translation for manual review."
75;char_IMPMON;Impmon;Импмон;Импмон;keep;ok;Impmon;local_current;;high;Already matches the selected Russian reference.
76;char_HIPPOGRIFFOMON;HippoGryphonmon;Гиппогрифомон;Гиппогрифомон;keep;ok;Hippogriffomon;local_current;;high;Already matches the selected Russian reference.
77;char_GRIFFOMON;Gryphonmon;Гриффомон;Гриффомон;keep;ok;Griffomon;local_current;;high;Already matches the selected Russian reference.
78;char_TYILINMON;Chirinmon;Цилиньмон;Цилиньмон;keep;ok;Tyilinmon;local_current;;high;Already matches the selected Russian reference.
79;char_VAMDEMON;Myotismon;Вамдемон;Вамдемон;keep;ok;Vamdemon;local_current;;high;Already matches the selected Russian reference.
80;char_SLEIPMON;Kentaurosmon;Слейпмон;Слейпмон;keep;ok;Sleipmon;local_current;;high;Already matches the selected Russian reference.
81;char_SLEIPMON_BIG;Kentaurosmon;Слейпмон;Слейпмон;keep;ok;Sleipmon;local_current;;high;Already matches the selected Russian reference.
82;char_ANGEMON;Angemon;Ангемон;Ангемон;keep;ok;Angemon;local_current;;high;Already matches the selected Russian reference.
83;char_OMEGAMON;Omnimon;Омегамон;Омегамон;keep;ok;Omegamon;local_current;;high;Already matches the selected Russian reference.
84;char_GUILMON;Guilmon;Гилмон;Гилмон;keep;ok;Guilmon;local_current;;high;Already matches the selected Russian reference.
85;char_STINGMON;Stingmon;Стингмон;Стингмон;keep;ok;Stingmon;local_current;;high;Already matches the selected Russian reference.
86;char_TAILMON;Gatomon;Тейлмон;Тейлмон;keep;ok;Tailmon;local_current;;high;Already matches the selected Russian reference.
87;char_DEVIMON;Devimon;Девимон;Девимон;keep;ok;Devimon;local_current;;high;Already matches the selected Russian reference.
