severity,category,package,file,row_id,line,speaker,detail,current_translation,source_game_text01
2,latin_mixed,addcont_01_text01,text/char_name_dlc01.mbe/000_Sheet1.csv,char_OMEGAMONZWART_D,12,,Defeat,Омегамон Зварт Defeat,Омегамон Зварт Defeat
2,latin_mixed,addcont_01_text01,text/char_name_dlc01.mbe/000_Sheet1.csv,char_OMEGAMONZWART_D_BIG,13,,Defeat,Омегамон Зварт Defeat,Омегамон Зварт Defeat
2,latin_mixed,addcont_01_text01,text/char_name_dlc01.mbe/000_Sheet1.csv,char_OMEGAMON_ALTER-B,14,,Alter-B,Омегамон Alter-B,Омегамон Alter-B
2,latin_mixed,addcont_01_text01,text/char_name_dlc01.mbe/000_Sheet1.csv,char_OMEGAMON_ALTER-B_BIG,15,,Alter-B,Омегамон Alter-B,Омегамон Alter-B
2,latin_mixed,addcont_01_text01,text/char_name_dlc01.mbe/000_Sheet1.csv,char_OMEGAMON_ALTER-S,10,,Alter-S,Омегамон Alter-S,Омегамон Alter-S
2,latin_mixed,addcont_01_text01,text/char_name_dlc01.mbe/000_Sheet1.csv,char_OMEGAMON_ALTER-S_BIG,11,,Alter-S,Омегамон Alter-S,Омегамон Alter-S
2,latin_mixed,addcont_01_text01,text/digimon_profile_dlc01.mbe/000_Sheet1.csv,digimon_0691_profile,5,,Alter-S,"Новая форма Омегамона, рождённая слиянием подвида
ВарГреймона БлицГреймона и подвида МеталГарурумона
КресГарурумона. Омегамон Alter-S отличается от
Омегамона, связанного с Королевскими рыцарями, но
сохраняет ту же универсальность: объединяет особые
способности двух дигимонов и обладает сопоставимой
силой. Как именно эти двое слились, неизвестно. Было
ли это чьей-то волей? Или слияние существует только
благодаря чьему-то желанию? Истина остаётся неясной.

Особым приёмом «Серая пушка» Омегамон Alter-S
стреляет плазмой из пушки в форме БлицГреймона.
А сила рассечения приёма «Гаруру-меч» зависит от
энергии, накопленной в клинке. Полностью заряженный
Гаруру-меч способен рассечь что угодно.","Новая форма Омегамона, рождённая слиянием подвида
ВарГреймона БлицГреймона и подвида МеталГарурумона
КресГарурумона. Омегамон Alter-S отличается от
Омегамона, связанного с Королевскими рыцарями, но
сохраняет ту же универсальность: объединяет особые
способности двух дигимонов и обладает сопоставимой
силой. Как именно эти двое слились, неизвестно. Было
ли это чьей-то волей? Или слияние существует только
благодаря чьему-то желанию? Истина остаётся неясной.

Особым приёмом «Серая пушка» Омегамон Alter-S
стреляет плазмой из пушки в форме БлицГреймона.
А сила рассечения приёма «Гаруру-меч» зависит от
энергии, накопленной в клинке. Полностью заряженный
Гаруру-меч способен рассечь что угодно."
2,latin_mixed,addcont_01_text01,text/digimon_profile_dlc01.mbe/000_Sheet1.csv,digimon_0692_profile,6,,"Defeat, Zwart","Форма Омегамона Цварта, превращённая неизвестной
сущностью в берсерка через вирусную программу.
Любой дигимон, пересёкший путь Омегамона Zwart Defeat,
воспринимается им как зловещий враг, а приблизившихся
ждёт беспощадный натиск. Борьба между буйным вирусом
и остаточной вакцинной программой в его теле сделала
его нестабильным: он то изнемогает, то впадает в ярость
и не способен залечить раны. В один из редких мигов,
когда вакцинная программа позволила ему вернуть
самосознание, он связал оба оружия, чтобы ограничить
ущерб, который может причинить.","Форма Омегамона Цварта, превращённая неизвестной
сущностью в берсерка через вирусную программу.
Любой дигимон, пересёкший путь Омегамона Zwart Defeat,
воспринимается им как зловещий враг, а приблизившихся
ждёт беспощадный натиск. Борьба между буйным вирусом
и остаточной вакцинной программой в его теле сделала
его нестабильным: он то изнемогает, то впадает в ярость
и не способен залечить раны. В один из редких мигов,
когда вакцинная программа позволила ему вернуть
самосознание, он связал оба оружия, чтобы ограничить
ущерб, который может причинить."
2,latin_mixed,addcont_01_text01,text/digimon_profile_dlc01.mbe/000_Sheet1.csv,digimon_0693_profile,7,,"Alter-B, Alter-S","Омегамон Alter-B — временная форма Омегамона Alter-S,
возникающая после того, как некая сущность намеренно
ввела в него Чёрный Дигитрон — вязкую субстанцию,
окрашивающую дигимонов в чёрный цвет. В этой форме
Омегамон становится сильнее, но теряет себя в
бессмысленной ярости, пока не вернётся обратно.","Омегамон Alter-B — временная форма Омегамона Alter-S,
возникающая после того, как некая сущность намеренно
ввела в него Чёрный Дигитрон — вязкую субстанцию,
окрашивающую дигимонов в чёрный цвет. В этой форме
Омегамон становится сильнее, но теряет себя в
бессмысленной ярости, пока не вернётся обратно."
2,latin_mixed,addcont_01_text01,text/item_name_dlc01.mbe/000_Sheet1.csv,40002,3,,EX,Бустер пробуждения таланта EX: 01,Бустер пробуждения таланта EX: 01
2,latin_mixed,addcont_01_text01,text/item_ruby_dlc01.mbe/000_Sheet1.csv,40002,3,,EX,Бустер пробуждения таланта EX: 01,Бустер пробуждения таланта EX: 01
2,latin_no_cyrillic,addcont_02_text01,message/d220.mbe/000_Sheet1.csv,d220_040_020,29,char_BANCHOLILIMON,Hm,...Hm?,...Hm?
2,latin_mixed,addcont_02_text01,message/d220.mbe/000_Sheet1.csv,d220_080_050,87,char_BANCHOLEOMON,GAKU-RAN,"Понятно... Значит, куртка GAKU-RAN
и у тебя на плечах...","Понятно... Значит, куртка GAKU-RAN
и у тебя на плечах..."
2,latin_mixed,addcont_02_text01,text/char_name_dlc02.mbe/000_Sheet1.csv,char_OMEGAMON:MERCIFUL MODE,4,,MM,Омегамон MM,Омегамон MM
2,latin_mixed,addcont_02_text01,text/char_name_dlc02.mbe/000_Sheet1.csv,char_OMEGAMON:MERCIFUL MODE_BIG,5,,MM,Омегамон MM,Омегамон MM
2,latin_mixed,addcont_02_text01,text/digimon_profile_dlc02.mbe/000_Sheet1.csv,digimon_0448_profile,2,,"Garuru, Grey, Hou, Photon, Spreads, Tou","Ангельская форма Омегамона с белыми крыльями,
развевающимися словно шарф. Осознав, что некоторых
можно спасти лишь через бой и поражение, Омегамон
преобразовал свою печаль и решимость в форму
Омегамон: Милосердный режим. Светло-голубые линии
Photon Spreads, похожие на слёзы на щеках, струятся
по всему телу и на короткое время резко усиливают его.
Это существо вершит суд над дигимонами, безвозвратно
сошедшими со своего пути, и тем самым спасает их.
Целями атак Омегамона: Милосердный режим всегда
становятся те, кто изначально обладал добрым сердцем.

Серый меч Омегамона преобразился в катану «Grey Tou»,
которой он одним неохотным взмахом обезглавливает
цель. Особый приём «Гаруру-пушка» также изменился:
теперь это «Garuru Hou», лазер абсолютного нуля.","Ангельская форма Омегамона с белыми крыльями,
развевающимися словно шарф. Осознав, что некоторых
можно спасти лишь через бой и поражение, Омегамон
преобразовал свою печаль и решимость в форму
Омегамон: Милосердный режим. Светло-голубые линии
Photon Spreads, похожие на слёзы на щеках, струятся
по всему телу и на короткое время резко усиливают его.
Это существо вершит суд над дигимонами, безвозвратно
сошедшими со своего пути, и тем самым спасает их.
Целями атак Омегамона: Милосердный режим всегда
становятся те, кто изначально обладал добрым сердцем.

Серый меч Омегамона преобразился в катану «Grey Tou»,
которой он одним неохотным взмахом обезглавливает
цель. Особый приём «Гаруру-пушка» также изменился:
теперь это «Garuru Hou», лазер абсолютного нуля."
2,latin_mixed,addcont_02_text01,text/digimon_profile_dlc02.mbe/000_Sheet1.csv,digimon_0485_profile,4,,GAKU-RAN,"Крайне заносчивый дигимон-насекомое, привыкший жить,
подавляя окружающих. БанчоСтингмона называют самым
высокомерным среди дигимонов: свою гордость он ставит
превыше всего. Любая попытка её задеть встречает
безжалостное возмездие, кто бы ни был виновником.
Именно эта непримиримая гордость принесла ему титул
«Банчо». Панцири разных насекомых тщательно вплетены
в его символический GAKU-RAN, делая одежду прочной
как броня. Его особые приёмы — «Кровавый финиш»,
пронзающий врагов бурами на руках, и «Взрывная гроза»,
выпускающая минных жуков, взрывающихся при контакте.","Крайне заносчивый дигимон-насекомое, привыкший жить,
подавляя окружающих. БанчоСтингмона называют самым
высокомерным среди дигимонов: свою гордость он ставит
превыше всего. Любая попытка её задеть встречает
безжалостное возмездие, кто бы ни был виновником.
Именно эта непримиримая гордость принесла ему титул
«Банчо». Панцири разных насекомых тщательно вплетены
в его символический GAKU-RAN, делая одежду прочной
как броня. Его особые приёмы — «Кровавый финиш»,
пронзающий врагов бурами на руках, и «Взрывная гроза»,
выпускающая минных жуков, взрывающихся при контакте."
2,latin_mixed,addcont_02_text01,text/digimon_profile_dlc02.mbe/000_Sheet1.csv,digimon_0486_profile,5,,"Assemble, Nightmare","Фея-дигимон в тёмно-багровой куртке токко-фуку.
Яркие лепестки, оставшиеся со времён Лилимона,
потемнели, и прежняя мягкая прелесть уступила место
суровому облику. БанчоЛилимон убеждённо сражается
за слабых в беспощадном Цифровом мире и спас
бесчисленные жизни от нападений злобных дигимонов.
Куртка токко-фуку и титул «Банчо» служат доказательством
этой решимости. Его йо-йо становятся оружием в особых
приёмах: «Абсолютная территория» рассеивает врага вместе
с пространством вокруг него, «Nightmare Assemble» бросает
йо-йо во врага и поглощает его, а «Двойной лепесток»
обрушивает молниеносные удары ногами.","Фея-дигимон в тёмно-багровой куртке токко-фуку.
Яркие лепестки, оставшиеся со времён Лилимона,
потемнели, и прежняя мягкая прелесть уступила место
суровому облику. БанчоЛилимон убеждённо сражается
за слабых в беспощадном Цифровом мире и спас
бесчисленные жизни от нападений злобных дигимонов.
Куртка токко-фуку и титул «Банчо» служат доказательством
этой решимости. Его йо-йо становятся оружием в особых
приёмах: «Абсолютная территория» рассеивает врага вместе
с пространством вокруг него, «Nightmare Assemble» бросает
йо-йо во врага и поглощает его, а «Двойной лепесток»
обрушивает молниеносные удары ногами."
2,latin_mixed,addcont_02_text01,text/digimon_profile_dlc02.mbe/000_Sheet1.csv,digimon_0487_profile,6,,"Dust, Kanshaku","Минерал-дигимон, обладающий собственной волей,
в отличие от обычного бесчувственного Големона.
БанчоГолемон — один из немногих дигимонов, носящих
титул «Банчо». Он невозмутим, суров ко всем одинаково
и не допускает в поведении даже намёка на поблажку.
Выбрав тяжёлую жизнь глубоко в горе Муген, он постоянно
подвергает себя изнурительным тренировкам. При этом
БанчоГолемон полон неожиданностей: он может не откликнуться
на просьбу о помощи, но внезапно появиться и спасти
товарища, с которым когда-то обменивался ударами. Его
подавляющая сила часто позволяет в одиночку переломить
ход битвы. Особые приёмы — «Kanshaku Dust», отражающий
луч из Кансякудамы в животе от падающих камней для
широкой атаки, и «Когтевой бур Ёбори», пронзающий врага
буром на левой руке, способным дробить даже хромдигизоид.","Минерал-дигимон, обладающий собственной волей,
в отличие от обычного бесчувственного Големона.
БанчоГолемон — один из немногих дигимонов, носящих
титул «Банчо». Он невозмутим, суров ко всем одинаково
и не допускает в поведении даже намёка на поблажку.
Выбрав тяжёлую жизнь глубоко в горе Муген, он постоянно
подвергает себя изнурительным тренировкам. При этом
БанчоГолемон полон неожиданностей: он может не откликнуться
на просьбу о помощи, но внезапно появиться и спасти
товарища, с которым когда-то обменивался ударами. Его
подавляющая сила часто позволяет в одиночку переломить
ход битвы. Особые приёмы — «Kanshaku Dust», отражающий
луч из Кансякудамы в животе от падающих камней для
широкой атаки, и «Когтевой бур Ёбори», пронзающий врага
буром на левой руке, способным дробить даже хромдигизоид."
