package,file,row_id,max_before,max_after,lines_before,lines_after
addcont_03_text01,text/digimon_profile_dlc03.mbe/000_Sheet1.csv,digimon_0357_profile,110,55,22,24
addcont_03_text01,text/digimon_profile_dlc03.mbe/000_Sheet1.csv,digimon_0358_profile,98,54,26,28
addcont_03_text01,text/digimon_profile_dlc03.mbe/000_Sheet1.csv,digimon_0468_profile,93,55,35,38
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0001_profile,78,55,12,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0002_profile,84,55,8,8
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0003_profile,78,55,7,7
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0013_profile,95,55,11,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0014_profile,85,55,12,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0016_profile,78,55,15,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0019_profile,86,54,12,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0021_profile,75,54,13,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0024_profile,86,55,13,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0025_profile,84,55,17,15
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0028_profile,80,55,20,17
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0031_profile,76,55,17,15
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0033_profile,79,55,13,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0034_profile,82,55,17,15
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0035_profile,84,55,19,17
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0037_profile,85,55,19,17
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0038_profile,85,55,14,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0040_profile,80,55,17,15
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0041_profile,84,55,12,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0042_profile,79,55,19,16
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0046_profile,92,55,23,21
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0049_profile,83,55,24,21
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0050_profile,80,55,10,9
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0052_profile,82,55,4,4
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0053_profile,83,55,12,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0055_profile,78,54,8,8
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0056_profile,80,55,6,6
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0058_profile,84,54,7,7
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0069_profile,84,55,17,15
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0071_profile,76,55,15,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0073_profile,82,55,8,8
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0074_profile,87,55,7,6
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0075_profile,87,55,14,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0076_profile,72,53,9,8
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0078_profile,81,54,12,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0079_profile,76,53,9,8
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0080_profile,78,55,16,14
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0084_profile,78,55,14,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0087_profile,75,55,13,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0088_profile,68,55,16,14
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0093_profile,87,55,13,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0097_profile,80,55,14,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0098_profile,94,55,10,10
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0100_profile,71,55,15,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0101_profile,76,55,17,14
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0104_profile,85,54,13,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0106_profile,81,55,15,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0112_profile,83,55,15,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0115_profile,92,55,15,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0117_profile,90,55,13,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0126_profile,89,55,17,15
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0128_profile,89,55,16,14
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0129_profile,83,55,12,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0130_profile,81,54,14,12
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0132_profile,83,54,15,13
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0133_profile,82,55,8,7
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0136_profile,86,55,7,7
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0139_profile,87,54,8,8
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0141_profile,71,55,9,8
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0142_profile,78,55,10,9
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0145_profile,79,55,9,8
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0147_profile,83,55,11,10
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0149_profile,89,55,11,11
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0162_profile,85,54,17,15
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0170_profile,82,55,11,9
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0171_profile,90,55,19,17
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0173_profile,79,55,11,10
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0174_profile,88,55,21,19
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0176_profile,95,55,27,26
