package,file,row_id,source_move,approved_ru,current_fragment,replacement,basis,score,margin
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0019_profile,DORU-Din,ДОРУ-Дин,DORU-Din,ДОРУ-Дин,exact_english_retained,1.000,1.000
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0036_profile,Pandemonium Lost,Утраченный пандемониум,Пандемониум Лост,Утраченный пандемониум,quoted_name_similarity,1.000,0.212
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0040_profile,Gift of Darkness,Дар тьмы,Гифт оф Даркнесс,Дар тьмы,quoted_name_similarity,1.000,0.667
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0097_profile,Demi Darts,Малые дротики,Деми Дартс,Малые дротики,quoted_name_similarity,1.000,1.000
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0193_profile,Golden Armor,Золотые Доспехи,Голден Армор,Золотые Доспехи,quoted_name_similarity,1.000,0.760
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0302_profile,Giga Destroyer,Гига-разрушитель,Гига Дэстройер,Гига-разрушитель,quoted_name_similarity,1.000,1.000
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0343_profile,Marching Fishes,Марширующие Рыбы,Марчинг Фишес,Марширующие Рыбы,quoted_name_similarity,1.000,1.000
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0373_profile,Drill Spin,Вращение сверла,Дрилл Спин,Вращение сверла,quoted_name_similarity,1.000,1.000
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0407_profile,Metal Meteor,Металлический Метеорит,Метал Метеор,Металлический Метеорит,quoted_name_similarity,1.000,0.680
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0410_profile,Pit Bomb,Яма-бомба,Пит Бомб,Яма-бомба,quoted_name_similarity,1.000,0.765
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0451_profile,Planet Destroyer,Разрушитель Планет,Планет Дэстройер,Разрушитель Планет,quoted_name_similarity,1.000,0.793
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0454_profile,Turbo Stinger,Турбожало,Турбо Стингер,Турбожало,quoted_name_similarity,1.000,1.000
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0737_profile,Accel Arm,Ускоряющая рука,Accel Arm,Ускоряющая рука,exact_english_retained,1.000,1.000
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0737_profile,Blitz Arm,Блиц-рука,Blitz Arm,Блиц-рука,exact_english_retained,1.000,1.000
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0051_profile,DJ Shooter,Диджей-шутер,Ди-джей Шутер,Диджей-шутер,quoted_name_similarity,0.960,0.960
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0306_profile,Electro Shocker,Электрошокер,Электро Шокер,Электрошокер,quoted_name_similarity,0.960,0.627
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0328_profile,Darkness-Zone,Зона тьмы,Даркнесс-Зон,Зона тьмы,quoted_name_similarity,0.960,0.960
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0397_profile,V-Nova Blast,Взрыв V-Новы,Ви-Нова Бласт,Взрыв V-Новы,quoted_name_similarity,0.960,0.960
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0195_profile,Fly Bullet,Летящая пуля,Флай Буллет,Летящая пуля,quoted_name_similarity,0.952,0.536
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0312_profile,Banana Slip,Банановый Слип,Банан Слип,Банановый Слип,quoted_name_similarity,0.952,0.759
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0773_profile,Aurvandil's Arrow,Стрела Аурвандила,Стрела Аурвандиля,Стрела Аурвандила,quoted_name_similarity,0.941,0.798
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0431_profile,Tomahawk Stinger,Жало Томагавка,Томахаук Стингер,Жало Томагавка,quoted_name_similarity,0.938,0.938
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0033_profile,Tri-Horn Attack,Трёхрогая атака,Три-Хорн Атак,Трёхрогая атака,quoted_name_similarity,0.929,0.929
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0113_profile,Goldurian Rush,Золотая Лихорадка,Голдуриан Раш,Золотая Лихорадка,quoted_name_similarity,0.929,0.929
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0118_profile,Aurora Blaster,Бластер «Аврора»,Аврора Бластер,Бластер «Аврора»,quoted_name_similarity,0.929,0.467
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0134_profile,Atomic Blaster,Атомный Бластер,Атомик Бластер,Атомный Бластер,quoted_name_similarity,0.929,0.634
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0027_profile,Great Tornado,Великий Торнадо,Грейт Торнадо,Великий Торнадо,quoted_name_similarity,0.923,0.488
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0187_profile,Penetra-Laser,Проникающий лазер,Пенетра-лазер,Проникающий лазер,quoted_name_similarity,0.923,0.627
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0391_profile,Diamond Storm,Алмазная Буря,Даймонд Сторм,Алмазная Буря,quoted_name_similarity,0.923,0.923
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0404_profile,Oblivion Bird,Птица Забвения,Обливион Бёрд,Птица Забвения,quoted_name_similarity,0.923,0.923
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0010_profile,Burning Fist,Горящий Кулак,Бернинг Фист,Горящий Кулак,quoted_name_similarity,0.917,0.917
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0060_profile,Diamond Fist,Алмазный Кулак,Даймонд Фист,Алмазный Кулак,quoted_name_similarity,0.917,0.717
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0141_profile,Tempest Wing,Крыло Бури,Темпест Винг,Крыло Бури,quoted_name_similarity,0.917,0.917
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0240_profile,Spurting Ink,Брызжущие чернила,Спёртинг Инк,Брызжущие чернила,quoted_name_similarity,0.917,0.917
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0068_profile,Spiral Blow,Спиральный удар,Спирал Блоу,Спиральный удар,quoted_name_similarity,0.909,0.909
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0305_profile,Horn Buster,Роговой сокрушитель,Хорн Бастер,Роговой сокрушитель,quoted_name_similarity,0.909,0.909
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0382_profile,Plasma Shot,Плазменный выстрел,Плазма Шот,Плазменный выстрел,quoted_name_similarity,0.909,0.909
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0390_profile,Grand Cross,Большой Крест,Гранд Кросс,Большой Крест,quoted_name_similarity,0.909,0.909
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0700_profile,Zwei Glänze,Цвай Гленце,Цвай Глянце,Цвай Гленце,quoted_name_similarity,0.909,0.636
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0419_profile,Positron Laser,Позитронный лазер,Позитрон Лазер,Позитронный лазер,quoted_name_similarity,0.903,0.630
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0054_profile,Mega Burst,Мегавзрыв,Мега Бёрст,Мегавзрыв,quoted_name_similarity,0.900,0.400
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0378_profile,Royal Nuts,Королевские Орехи,Роял Натс,Королевские Орехи,quoted_name_similarity,0.900,0.900
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0757_profile,Transcendent Sword,Трансцендентный меч,Трансцендентным Мечом,Трансцендентный меч,quoted_name_similarity,0.900,0.724
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0345_profile,Vulcan's Hammer,Молот Вулкана,Вулканс Хаммер,Молот Вулкана,quoted_name_similarity,0.897,0.897
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0742_profile,Seven's Fantasia,Фантазия семи,Фантазия Семёрки,Фантазия семи,quoted_name_similarity,0.897,0.522
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0144_profile,Gold Rush,Золотая Лихорадка,Голд Раш,Золотая Лихорадка,quoted_name_similarity,0.889,0.889
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0214_profile,Destroyed Rush,Разрушительный натиск,Дэстройд Раш,Разрушительный натиск,quoted_name_similarity,0.889,0.673
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0036_profile,Pandemonium Flame,Пламя Пандемониума,Пандемониум Флейм,Пламя Пандемониума,quoted_name_similarity,0.882,0.094
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0191_profile,Metal Armor Blade,Металлический Броневой Клинок,Метал Армор Блейд,Металлический Броневой Клинок,quoted_name_similarity,0.882,0.588
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0233_profile,Pandemonium Flame,Пламя Пандемониума,Пандемониум Флейм,Пламя Пандемониума,quoted_name_similarity,0.882,0.632
