package,file,row_id,source_move,old,new,mode,expected_count,note
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0779_profile,Aguichant Lèvres,Соблазнительные Губы,Агишан Левр,quote,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0104_profile,Ama no Habakiri,Ама но Хабакири,Ама-но Хабакири,quote,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0149_profile,Ame no Murakumo,Амэ но Муракумо,Амэ - но - Муракумо,quote,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0669_profile,Atomic Inferno,Атомный Инферно,Атомное инферно,bare,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0616_profile,Bind Red Trigger,Связывающий Красный Курок,Привязать Красный Триггер,bare,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0106_profile,Black Rain,Блэк Рейн,Чёрный дождь,quote,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0416_profile,Blade of the Dragon King,Блейд оф зе Драгон Кинг,Клинок короля драконов,quote,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0614_profile,Blade of the True,Клинок Истины,Клинок Истинного,bare,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0479_profile,Bowling Storm,Боулинг Шторм,Боулинг-шторм,bare,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0019_profile,Brave Metal,Брэйв Метал,Храбрый металл,quote,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0604_profile,Calydon Arcus,Калидонский Лук,Калидон Аркус,bare,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0632_profile,Catastrophe Cannon,Пушка Катастрофы,Пушка-катастрофа,bare,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0490_profile,Cool Edge,Крутой Край,Холодная кромка,bare,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0626_profile,Crazy Giggle,Безумный Хихикс,Сумасшедшее Хихиканье,bare,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0465_profile,Daredevil Break,Во время Лиходейского Прорыва,Во время приёма «Пробой сорвиголовы»,raw,1,preserve case agreement
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0630_profile,Data Crusher,Сокрушитель Данных,Дробилка данных,bare,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0492_profile,Deep Forest,Глухой Лес,Дремучий Лес,bare,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0704_profile,Destruction Crush,Сокрушительное Раздавливание,Разрушительный удар,bare,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0617_profile,Destruction Trigger,Курок Разрушения,Триггер разрушения,bare,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0573_profile,Downward Cleave,Нисходящий Рассекающий Удар,Нисходящий разрез,bare,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0574_profile,Dual Swallow Reversal,Двойной Ласточкин Разворот,Двойной Разворот Ласточки,bare,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0687_profile,Fifth Rush,используя Пятую Атаку,используя приём «Пятый Порыв»,raw,1,preserve syntax
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0683_profile,Flame Cannon,Пламенная Пушка,Огненная Пушка,bare,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0049_profile,Flashy Boss Punch,Флэши Босс Панч,Эффектный удар босса,quote,1,manual source-context review
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0129_profile,Forbidden Trident,Форбидден Трайдент,Запрещенный Трезубец,quote,1,manual source-context review
