package,file,row_id,source_move,approved_ru,current_fragment,replacement,basis,score,margin
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0048_profile,God Flame,Божественное Пламя,Год Флейм,Божественное Пламя,quoted_name_similarity,0.778,0.778
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0419_profile,Giga Death,Гигасмерть,Гига Дез,Гигасмерть,quoted_name_similarity,0.778,0.222
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0419_profile,Mega Death,Мегасмерть,Мега Дез,Мегасмерть,quoted_name_similarity,0.778,0.222
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0083_profile,Supersonic Voice,Сверхзвуковой голос,Суперсоник Войс,Сверхзвуковой голос,quoted_name_similarity,0.774,0.774
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0039_profile,Paradise Lost,Потерянный рай,Парадайз Лост,Потерянный рай,quoted_name_similarity,0.769,0.484
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0052_profile,Pointer Arrow,Стрелка Указателя,Пойнтер Эрроу,Стрелка Указателя,quoted_name_similarity,0.769,0.769
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0094_profile,GeoGrey Sword,Меч Гео Грея,ДжоГрей Сорд,Меч Гео Грея,quoted_name_similarity,0.769,0.538
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0168_profile,Wide Plasment,Всеохватная плазма,Вайд Пласмент,Всеохватная плазма,quoted_name_similarity,0.769,0.547
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0184_profile,Bolt Break Knockdown,"Разрыв болта, Нокдаун",Болт Брейк Наокдаун,"Разрыв болта, Нокдаун",quoted_name_similarity,0.769,0.527
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0719_profile,Desolation Claw,Коготь Запустения,Коготь Разрушения,Коготь Запустения,quoted_name_similarity,0.765,0.365
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0049_profile,Lion Slash,Львиный разрез,Лайон Слэш,Львиный разрез,quoted_name_similarity,0.762,0.512
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0422_profile,Hyper Infinity Cannon,Гиперпушка бесконечности,Гипер Инфинити Кэннон,Гиперпушка бесконечности,quoted_name_similarity,0.762,0.762
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0091_profile,Spiking Strike,Острый Удар,Спайкинг Страйк,Острый Удар,quoted_name_similarity,0.759,0.759
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0114_profile,Veemon Headbutt,Удар головой Ви-мона,Виимон Хедбатт,Удар головой Ви-мона,quoted_name_similarity,0.759,0.759
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0163_profile,Titanic Charge,Титанический заряд,Титаник Чардж,Титанический заряд,quoted_name_similarity,0.759,0.759
