package,file,row_id,source_move,approved_ru,old,expected_count,source_sentence,current_sentence
addcont_03_text01,text/digimon_profile_dlc03.mbe/000_Sheet1.csv,digimon_0357_profile,Supreme Cannon,Высшая пушка,Гаруру- пушка,1,"Its special move is Supreme Cannon, which fires a blast of air at absolute zero from its MetalGarurumon-shaped cannon to freeze the enemy.",Особый приём «Гаруру- пушка» выпускает из пушки в форме МеталГарурумона поток воздуха абсолютного нуля и замораживает врага.
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0013_profile,Death Charm,Смертельный Амулет,Дез Чарм,1,Its special move Death Charm casts a powerful curse.,Его особый приём «Дез Чарм» накладывает мощное проклятие.
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0015_profile,Glide Horn,Скользящий Рожок,Глайд Хорн,1,It slams into foes from above with its special move Glide Horn.,Он врезается во врагов сверху своим специальным движением «Глайд Хорн».
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0016_profile,Fang Strike,Удар Клыком,Фанг Страйк,1,"It uses its special move Fang Strike to heat its metal plating to red-hot levels, turning itself into a mass of flame and tackling the opponent in a fearsome maneuver.","Он использует свой особый приём «Фанг Страйк», чтобы раскалить свою металлическую броню до красна, превращаясь в массу пламени и атакуя противника в грозном маневре."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0024_profile,Ocean Love,Любовь океана,Оушен Лав,1,"Though MarineAngemon generally avoids combat, its special move Ocean Love causes foes to lose the will to fight, thereby guaranteeing victory.","Хотя МаринАнджемон обычно избегает боя, его особый приём «Оушен Лав» заставляет врагов терять волю к борьбе, тем самым гарантируя победу."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0025_profile,Ambush Crunch,Укус из засады,Амбущ Кранч,1,It performs its special move Ambush Crunch by pouncing on the enemy and biting vitals with its sharp fangs.,"Он выполняет свой особый приём «Амбущ Кранч», набрасываясь на врага и кусая жизненно важные органы своими острыми клыками."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0031_profile,Earth-Shattering Stomp,Оглушительный Топот,Сотрясающая Землю Топота,1,"Its special move is Earth-Shattering Stomp, a vicious kicking attack drawing upon Matadormon's own original martial arts style.","Его особый приём — «Сотрясающая Землю Топота», подлая атака ногами, основанная на собственном оригинальном стиле боевых искусств Матадормона."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0035_profile,Darkness Claw,Коготь Тьмы,Даркнесс Коготь,1,"Its signature move is Darkness Claw, with which it raises its sharp claws into the air and then slices through its foe.","Его фирменное движение — «Даркнесс Коготь», с помощью которого он поднимает свои острые когти в воздух и затем рассекает своего врага."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0038_profile,Flame Inferno,Пламенное инферно,Флейм Инферно,1,It uses its special move Flame Inferno to blast enemies with superheated hellfire.,"Он использует свой особый приём «Флейм Инферно», чтобы обрушить на врагов перегретый адский огонь."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0041_profile,Animal Nail,Звериный коготь,Энимал Нейл,1,"Its special move is Animal Nail, an attack with the claws normally kept hidden in its paws.","Его особый приём — «Энимал Нейл», атака когтями, обычно скрытыми в его лапах."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0042_profile,Gear Stinger,Шестерёнчатое жало,Гир Стингер,1,"FunBeemon's special move is Gear Stinger, an attack that fires off a rapid volley of tiny, serrated stingers.","Особый приём ФанБимона — «Гир Стингер», атака, которая выпускает быстрый залп крошечных зазубренных жал."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0046_profile,Chrono Devolution,Хроно-деволюция,Хроно Деволюшн,1,"It also possesses Chrono Devolution, which converts the Digital World's time data into energy that instantly ages any who touch it, reducing their data to dust.","Он также обладает «Хроно Деволюшн», которая преобразует данные времени Цифрового мира в энергию, которая мгновенно старит любого, кто к ней прикоснется, превращая их данные в пыль."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0050_profile,Pepper Breath,Малое пламя,Пеппер Бреф,1,"Its special move is Pepper Breath, spitting flames at its foes.","Его особый приём — «Пеппер Бреф», выплевывание пламени в своих врагов."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0053_profile,Blinding Ray,Ослепляющий Луч,Бландинг Рэй,1,Its special move Blinding Ray dazzles the enemy with a glaring flash emitted from its earring.,"Его особый приём «Бландинг Рэй» ослепляет врага ослепительной вспышкой, испускаемой из его сережки."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0056_profile,Seed Blast,Взрыв семян,Сид Бласт,1,Its special move Seed Blast shoots hard seeds from its mouth with a surprising degree of accuracy.,Его особый приём «Сид Бласт» выстреливает твердыми семенами из его рта с удивительной степенью точности.
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0071_profile,Trident Revolver,Револьвер «Трезубец»,Трайдент Револьвер,1,RizeGreymon's special move Trident Revolver pushes the limits of Chrondigizoid's durability by firing a three-round burst.,"Особый приём РайзГреймона «Трайдент Револьвер» проверяет пределы прочности Хромдигизоида, стреляя очередью из трех патронов."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0073_profile,Lila Shower,Сиреневый ливень,Лайла Шауэр,1,"Lilamon's special move is Lila Shower, which fires countless slender beams from its petal-like fingers.","Особый приём Лилламона — «Лайла Шауэр», которое выпускает бесчисленные тонкие лучи из ее лепесткоподобных пальцев."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0074_profile,Winning Knuckle,Победный кулак,Виннинг Накл,1,"Its special move is Winning Knuckle, a single powerful punch that packs quite a wallop.","Его особый приём — «Виннинг Накл», один мощный удар, который наносит весьма удар."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0087_profile,Heaven's Knuckle,Небесный кулак,Хевенс Накл,1,"Angemon's special move is Heaven's Knuckle, with which it pummels its foe with a shining fist of gold.","Особый приём Анджемона — «Хевенс Накл», которым он избивает своего врага сияющим кулаком из золота."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0088_profile,Transcendent Sword,Трансцендентный меч,Трансцендент Сорд,1,"Omnimon's left arm is equipped with the invincible blade, Transcendent Sword.","Левая рука Омнимона оснащена непобедимым клинком, «Трансцендент Сорд»."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0093_profile,Death Claw,Коготь Смерти,Дез Коготь,1,"Devimon's special move is Death Claw, which uses its two extendable arms to pierce its opponent.","Особый приём Дэвимона — «Дез Коготь», которое использует его две выдвижные руки, чтобы пронзить противника."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0098_profile,Megaton Hydro Laser,Мегатонный Гидро-лазер,Мегатон Гидро Лазер,1,"JumboGamemon's special moves are Megaton Hydro Laser, which shoots high-speed water currents from its mouth barrel that can penetrate anything, and Jumbo Crater, which strafes with all of its beam cannons over 360 degrees, leaving a crater in the earth in its wake.","Особые приёмы ДжамбоГеймона — «Мегатон Гидро Лазер», который стреляет высокоскоростными потоками воды из ствола во рту, способными пронзить что угодно, и «Джамбо Кратер», который обстреливает все вокруг на 360 градусов из всех своих лучевых пушек, оставляя после себя кратер на земле."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0098_profile,Jumbo Crater,Гигантский Кратер,Джамбо Кратер,1,"JumboGamemon's special moves are Megaton Hydro Laser, which shoots high-speed water currents from its mouth barrel that can penetrate anything, and Jumbo Crater, which strafes with all of its beam cannons over 360 degrees, leaving a crater in the earth in its wake.","Особые приёмы ДжамбоГеймона — «Мегатон Гидро Лазер», который стреляет высокоскоростными потоками воды из ствола во рту, способными пронзить что угодно, и «Джамбо Кратер», который обстреливает все вокруг на 360 градусов из всех своих лучевых пушек, оставляя после себя кратер на земле."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0100_profile,Howling Destroyer,Воющий Разрушитель,Хаулинг Дэстройер,1,"Its special move is Howling Destroyer, which creates a shockwave capable of shattering even boulders.","Его особый приём — «Хаулинг Дэстройер», которое создает ударную волну, способную раздробить даже валуны."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0112_profile,Metal Cannon,Металлическая Пушка,Метал Кэннон,1,"Dorumon's special move is Metal Cannon, which fires an iron ball from its mouth.","Особый приём Дорумона — «Метал Кэннон», которое выстреливает железный шар из его рта."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0115_profile,Fif Cross,Пятый Крест,Файф Кросс,1,"With its special move Fif Cross, BaoHuckmon cleaves its opponent with its sharp claws.",Своим специальным движением «Файф Кросс» БаоХакмон рассекает своего противника своими острыми когтями.
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0117_profile,Aurora Undulation,Колебание Полярного сияния,Аврора Андулейшн,1,"Its special move is Aurora Undulation, which amplifies the purifying light of Purge Shine to peak brightness before unleashing it upon its foes.","Его особый приём — «Аврора Андулейшн», которое усиливает очищающий свет Пёдж Шайна до пиковой яркости, прежде чем обрушить его на своих врагов."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0128_profile,Shine of Bee,Пчелиное сияние,Шайн оф Би,1,"TyrantKabuterimon uses Shine of Bee to unleash an unblockable incandescent explosion from its entire body, instantly reducing all hostiles to ash.","ТайрантКабутеримон использует «Шайн оф Би», чтобы развязать неблокируемое ослепительное взрывное излучение из всего своего тела, мгновенно превращая всех враждебных существ в пепел."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0130_profile,Fossil Bite,Ископаемый Укус,Фоссил Байт,1,"Coelamon's special move is Fossil Bite, which attacks enemies with its massive claws.","Особый приём Коэламона — «Фоссил Байт», которое атакует врагов его массивными когтями."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0132_profile,Lightning Javelin,Молниеносный Дротик,Лайтнинг Джавелин,1,"MegaSeadramon's special move is Lightning Javelin, which fires a powerful bolt of lightning from the blade on its forehead.","Особый приём МегаСидрамона — «Лайтнинг Джавелин», которое выпускает мощный разряд молнии из лезвия на его лбу."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0135_profile,Ice Wolf Claw,Коготь Ледяного Волка,Волчий Коготь,1,"It also possesses Ice Wolf Claw, which annihilates foes by unleashing every weapon in MetalGarurumon's arsenal at once.","Он также обладает «Волчий Коготь», который уничтожает врагов одновременным запуском всего оружия в арсенале МеталГарурумона."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0136_profile,Corona Flame,Коронное пламя,Корона Флейм,1,"Its special move is Corona Flame, which converts all of the stamina in its body into flame power to shoot a fiery missile at the enemy from its forehead.","Его особый приём — «Корона Флейм», которое преобразует всю выносливость в его теле в силу пламени, чтобы выстрелить огненной ракетой в врага со своего лба."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0139_profile,Lightning Blade,Молниеносный Клинок,Лайтнинг Блейд,1,"Lighdramon's special move is Lightning Blade, which shoots an electric sword from the lightning-imbued blade on its head.","Особый приём Лайдрамона — «Лайтнинг Блейд», которое выстреливает электрический меч из заряженного молнией лезвия на его голове."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0147_profile,Rosetta Stone,Розеттский камень,Розетта Стоун,1,"Its special move is Rosetta Stone, which summons an enormous stone tablet engraved with ancient DigiCode inscriptions to attack foes.","Его особый приём — «Розетта Стоун», которое призывает огромную каменную табличку с выгравированными древними надписями ДигиКода для атаки врагов."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0151_profile,Blue Blaster,Синий Бластер,Блю Бластер,1,Its special move is Blue Blaster.,Его особый приём — «Блю Бластер».
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0162_profile,Rain Stream,Дождевая Струя,Рейн Стрим,1,"Lanamon's special move is Rain Stream, which focuses torrential rain to crush the enemy.","Особый приём Лейнамон — «Рейн Стрим», которое фокусирует проливной дождь, чтобы раздавить врага."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0176_profile,Island Freefall,Свободное падение острова,Айленд Фрифол,1,"Ceresmon's special move is Island Freefall, with which it slams its massive body directly into its foe, sending powerful tremors and violent winds surging in a wide berth around the crash site.","Особый приём Цересмон — «Айленд Фрифол», которым оно врезается своим массивным телом прямо во врага, посылая мощные толчки и яростные ветры, бурлящий на широкой область вокруг места падения."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0176_profile,Burning Blood Shell,Горящая Кровавая Оболочка,Бернинг Блад Шелл,1,"Ceresmon also has Burning Blood Shell, which shoots a huge, scorching ball of magma from its mouth.","Цересмон также имеет «Бернинг Блад Шелл», которое выстреливает огромный, обжигающий шар магмы из его рта."
patch_text01,text/digimon_profile.mbe/000_Sheet1.csv,digimon_0179_profile,Party of the Heavens,Небесная вечеринка,Парти оф зе Хевенс,1,"Bacchusmon also has Party of the Heavens, with which it produces a form of alcohol laced with poisons that can cause drowsiness and paralysis and then blasts enemies with the concoction to stupefy them.","Бахусмон также имеет «Парти оф зе Хевенс», которым он производит форму алкоголя, содержащего яды, которые могут вызывать сонливость и паралич, а затем обстреливает врагов этим зельем, чтобы ошеломить их."
