priority,category,reason,match,scope,package,file,line,key,speaker,source_en,current_ru
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,addcont_01_text01,message/d120.mbe/000_Sheet1.csv,107,d120_110_010,char_KUREMIKYOKO,— Итак… ты действительно собираешься?,— Итак… ты действительно собираешься?
3,machine_phrase,данный/данные,данные,dialogue,addcont_01_text01,message/d130.mbe/000_Sheet1.csv,28,d130_030_080,char_SIMMONS,"«Тогда оно было почти непостижимо, но я продолжала
анализировать данные, которые тайно скопировала».","«Тогда оно было почти непостижимо, но я продолжала
анализировать данные, которые тайно скопировала»."
3,machine_phrase,довольно/действительно/различные перегруз,Действительно,dialogue,addcont_01_text01,message/digimon_chat_dlc01.mbe/000_Sheet1.csv,3,omea_001_1_replay,char_PLAYER_M,Действительно.,Действительно.
3,machine_phrase,довольно/действительно/различные перегруз,довольно,dialogue,addcont_01_text01,message/digimon_chat_dlc01.mbe/000_Sheet1.csv,10,omea_001_4_reaction_char_OMEGAMON_ALTER-S,char_OMEGAMON_ALTER-S,"Противостояние добра и зла довольно просто.
Если это твоя цель, я не возражаю.","Противостояние добра и зла довольно просто.
Если это твоя цель, я не возражаю."
3,machine_phrase,присутствие/наличие,присутствие,dialogue,addcont_01_text01,message/dlcep001_field.mbe/000_Sheet1.csv,8,dlcep001_0030_0010,char_BLITZGREYMON,"Я чувствую за дверью чьё-то присутствие.
Думаю, это наш союзник Омегамон Цварт.","Я чувствую за дверью чьё-то присутствие.
Думаю, это наш союзник Омегамон Цварт."
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,addcont_02_text01,message/d220.mbe/000_Sheet1.csv,63,d220_060_030,char_BANCHOSTINGMON,"Да, ты действительно настоящий Банчо.","Да, ты действительно настоящий Банчо."
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,addcont_02_text01,message/d220.mbe/000_Sheet1.csv,73,d220_060_130,char_BANCHOSTINGMON,"Я ценю вашу заботу.
Ты действительно очень мощная личность.","Я ценю вашу заботу.
Ты действительно очень мощная личность."
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,addcont_02_text01,message/d220.mbe/000_Sheet1.csv,89,d220_080_070,char_UNKNOWN,"Если ты действительно достоин этого ГАКУ-РАН...
Тогда пусть ваши кулаки говорят сами за себя.","Если ты действительно достоин этого ГАКУ-РАН...
Тогда пусть ваши кулаки говорят сами за себя."
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,addcont_02_text01,message/d220.mbe/000_Sheet1.csv,104,d220_090_060,char_HIROKO,"Они пришли к взаимопониманию...
Я думаю, их кулаки действительно говорили!","Они пришли к взаимопониманию...
Я думаю, их кулаки действительно говорили!"
3,machine_phrase,довольно/действительно/различные перегруз,довольно,dialogue,addcont_02_text01,message/d220.mbe/000_Sheet1.csv,126,d220_110_080,char_BANCHOMAMEMON,...довольно впечатляющая подделка.,...довольно впечатляющая подделка.
3,machine_phrase,довольно/действительно/различные перегруз,действительно,dialogue,addcont_02_text01,message/d220.mbe/000_Sheet1.csv,135,d220_120_020,char_BANCHOLEOMON,"Я пришел к такому выводу после нашей ссоры.
Ты действительно Банчо, достойный моего уважения.","Я пришел к такому выводу после нашей ссоры.
Ты действительно Банчо, достойный моего уважения."
