priority,score,package,file,key,current_text,latin_words
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,10007,Select All/Cancel All,"Select, All, Cancel, All"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,100400,{fc10M}ove to Farm,"ove, to, Farm"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,10095,Restore Default Settings,"Restore, Default, Settings"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,10403,Either of the following conditions is met:,"Either, of, the, following, conditions, is, met"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,12101,Restart from Last Save Point,"Restart, from, Last, Save, Point"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,12102,Return to Title,"Return, to, Title"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,1250,Level {d0} or higher,"Level, or, higher"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,1261,One {d0} at 100% Bond is in your roster,"One, at, Bond, is, in, your, roster"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,1262,Target Digimon has been encountered before,"Target, has, been, encountered, before"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,1269,Agent Rank {d0} or higher,"Agent, Rank, or, higher"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,1282,Mode Change Available,"Mode, Change, Available"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,1283,Perform Mode Change,"Perform, Mode, Change"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,1285,{d0}'s Personality is {d1}.,"s, Personality, is"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,13016,Values Displayed Are at Digimon's Max Level,"Values, Displayed, Are, at, Digimon's, Max, Level"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,13019,You have never encountered this Digimon.,"You, have, never, encountered, this"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,13021,Digimon to be Divided Into,"to, be, Divided, Into"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,14005,Personality Skill {d0} {fc10{d1}},"Personality, Skill, fc"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,190016,Return to Box,"Return, to, Box"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,406,Items for Sale,"Items, for, Sale"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,411,No. to Take Apart,"to, Take, Apart"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,773,Return to Data,"Return, to, Data"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,dlc_name_05,"Farm Item ""Golden Moai""","Farm, Item, Golden, Moai"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,dlc_name_10,"Outer Dungeons ""The Halls of EXP, Gold, & Materials""","Outer, Dungeons, The, Halls, of, Gold, Materials"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,dlc_name_18,"Digimon Story Time Stranger Pre-Order Bonus Pack
Protagonist Costume: High School Uniform","Story, Time, Stranger, Pre-Order, Bonus, Pack, Protagonist, Costume, High, School, Uniform"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,dlc_name_19,"Digimon Story Time Stranger Pre-Order Bonus Pack
Adventure Item Set (Boost EXP/Bond, Recovery, etc.)","Story, Time, Stranger, Pre-Order, Bonus, Pack, Adventure, Item, Set, Boost, Bond, Recovery"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,dlc_name_21,Training Item Set,"Training, Item, Set"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,icon_info_category_03,Icon Description: Battle (Status Abnormality/Change),"Icon, Description, Battle, Status, Abnormality, Change"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,icon_info_category_04,Icon Description: Battle (Buff/Debuff),"Icon, Description, Battle, Buff, Debuff"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,icon_info_category_05,Icon Description: Agent Skill,"Icon, Description, Agent, Skill"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,icon_info_compatibility,Additional damage is dealt to the attribute the arrow points toward.,"Additional, damage, is, dealt, to, the, attribute, the, arrow, points, toward"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,icon_info_description_03_18,Damage Switch: Damage dealt changed,"Damage, Switch, Damage, dealt, changed"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,icon_info_description_06_13,Skill Disc Shop,"Skill, Disc, Shop"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,icon_info_description_06_15,Farm Item Shop,"Farm, Item, Shop"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,icon_info_description_06_19,Card Battle (Won),"Card, Battle, Won"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,ui_battle_item_0010,"You can no longer use items this
turn.","You, can, no, longer, use, items, this, turn"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,ui_difficulty_explanation_01,"For players interested in a story-first experience.
Recommended for those who want to speed through battles to see what happens next.
Allows players to {fc9retry battles in Invincibility Mode if defeated}.

{fc15Note: Game difficulty can be changed later.}","For, players, interested, in, a, story-first, experience, Recommended, for, those, who, want"
high,9,app_text01,text/common_message.mbe/000_Sheet1.csv,ui_difficulty_explanation_02,"For players who want to experience a good mix of story and combat.
This is the most evenly balanced of game modes.
Players can {fc9retry battles at a lower difficulty if defeated twice}.

{fc15Note: Game difficulty can be changed later.}","For, players, who, want, to, experience, a, good, mix, of, story, and"
